film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
第三次试验,41,0.12166172106824925,11,26,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.4406779661016949
第三次试验,42,0.12462908011869436,11,27,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.4576271186440678
第三次试验,83,0.24629080118694363,10,12,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.2033898305084746
第三次试验,84,0.24925816023738873,10,17,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.288135593220339
第三次试验,144,0.42729970326409494,11,11,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.1864406779661017
第三次试验,145,0.43026706231454004,11,10,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.1694915254237288
第三次试验,193,0.5727002967359051,12,15,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.2542372881355932
第三次试验,196,0.5816023738872403,10,9,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.15254237288135594
第三次试验,250,0.7418397626112759,14,19,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.3220338983050847
第三次试验,251,0.744807121661721,16,21,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.3559322033898305
第三次试验,265,0.7863501483679525,12,34,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.576271186440678
第三次试验,266,0.7893175074183977,12,38,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.6440677966101694
第三次试验,267,0.7922848664688428,10,32,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.5423728813559322
第三次试验,272,0.8071216617210683,11,50,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.847457627118644
第三次试验,273,0.8100890207715133,12,59,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,1.0
第三次试验,299,0.887240356083086,15,24,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.4067796610169492
第三次试验,300,0.8902077151335311,14,22,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.3728813559322034
第三次试验,301,0.8931750741839762,14,21,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.3559322033898305
第三次试验,302,0.8961424332344213,10,10,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.1694915254237288
第三次试验,303,0.8991097922848664,10,9,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.15254237288135594
第三次试验,306,0.9080118694362018,11,11,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.1864406779661017
第三次试验,307,0.9109792284866469,10,14,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.23728813559322035
第三次试验,321,0.9525222551928784,10,19,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.3220338983050847
第三次试验,322,0.9554896142433235,10,11,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.1864406779661017
第三次试验,323,0.9584569732937686,12,17,Shanghai (state),Haiyan Film Studio,1958,Artistic Documentary,0.288135593220339
一天一夜,188,0.21123595505617979,12,17,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.3333333333333333
一天一夜,189,0.21235955056179776,11,37,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.7254901960784313
一天一夜,190,0.21348314606741572,12,15,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.29411764705882354
一天一夜,209,0.2348314606741573,11,9,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.17647058823529413
一天一夜,212,0.23820224719101124,10,13,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.2549019607843137
一天一夜,213,0.2393258426966292,11,12,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.23529411764705882
一天一夜,215,0.24157303370786518,13,43,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.8431372549019608
一天一夜,216,0.24269662921348314,10,15,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.29411764705882354
一天一夜,376,0.42247191011235957,11,21,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.4117647058823529
一天一夜,384,0.4314606741573034,10,24,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.47058823529411764
一天一夜,405,0.4550561797752809,11,28,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.5490196078431373
一天一夜,407,0.45730337078651684,10,18,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.35294117647058826
一天一夜,408,0.4584269662921348,10,19,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.37254901960784315
一天一夜,420,0.47191011235955055,10,31,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.6078431372549019
一天一夜,422,0.47415730337078654,10,9,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.17647058823529413
一天一夜,426,0.4786516853932584,14,29,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.5686274509803921
一天一夜,427,0.4797752808988764,11,33,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.6470588235294118
一天一夜,428,0.48089887640449436,12,26,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.5098039215686274
一天一夜,429,0.4820224719101124,10,14,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.27450980392156865
一天一夜,440,0.4943820224719101,11,19,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.37254901960784315
一天一夜,442,0.4966292134831461,10,14,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.27450980392156865
一天一夜,443,0.49775280898876406,10,17,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.3333333333333333
一天一夜,447,0.5022471910112359,13,14,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.27450980392156865
一天一夜,448,0.503370786516854,11,13,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.2549019607843137
一天一夜,471,0.5292134831460674,11,12,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.23529411764705882
一天一夜,472,0.5303370786516854,10,11,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.21568627450980393
一天一夜,483,0.5426966292134832,10,51,Beijing,Beijing Film Studio,1958,Artistic Documentary,1.0
一天一夜,484,0.5438202247191011,11,26,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.5098039215686274
一天一夜,536,0.6022471910112359,10,8,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.1568627450980392
一天一夜,537,0.6033707865168539,10,10,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.19607843137254902
一天一夜,538,0.604494382022472,10,11,Beijing,Beijing Film Studio,1958,Artistic Documentary,0.21568627450980393
