film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
青松岭,922,0.6720116618075802,13,47,Northeast,Changchun Film Studio,1965,Feature,1.0
飞越天险,167,0.15769593956562794,11,115,Beijing,Beijing Film Studio,1959,Feature,1.0
春暖花开,813,0.7291479820627803,10,91,Beijing,Beijing Film Studio,1960,Feature,1.0
脚印,366,0.9312977099236641,12,16,Beijing,August First Film Studio,1955,Feature,1.0
一贯害人道,1266,0.9882903981264637,10,69,Beijing,Beijing Film Studio,1952,Feature,1.0
红色邮路,706,0.6691943127962086,13,49,Beijing,Beijing Film Studio,1966,Feature,1.0
我们是一代人,106,0.09013605442176871,10,38,Northeast,Changchun Film Studio,1960,Feature,1.0
怒潮,66,0.05560235888795282,16,154,Beijing,August First Film Studio,1963,Feature,1.0
暴风骤雨,1295,0.9984579799537394,14,85,Beijing,Beijing Film Studio,1961,Feature,1.0
哈森与加米拉,163,0.1380186282811177,10,111,Shanghai (state),Shanghai Film Studio,1955,Feature,1.0
两家人,289,0.31828193832599116,10,32,Northeast,Changchun Film Studio,1963,Feature,1.0
前哨,587,0.4945240101095198,12,23,Northeast,Changchun Film Studio,1959,Feature,1.0
黄沙绿浪,1176,0.9325931800158604,12,177,Shanghai (state),Haiyan Film Studio,1965,Feature,1.0
马,83,0.152014652014652,14,21,Northeast,Changchun Film Studio,1956,Feature,1.0
马,396,0.7252747252747253,10,21,Northeast,Changchun Film Studio,1956,Feature,1.0
渡江探险,43,0.044605809128630707,10,68,Beijing,August First Film Studio,1958,Feature,1.0
自有后来人,261,0.22538860103626943,14,77,Northeast,Changchun Film Studio,1963,Feature,1.0
十二次列车,848,0.9177489177489178,10,70,Beijing,August First Film Studio,1960,Feature,1.0
渔岛之子,355,0.4318734793187348,11,50,Canton,Pearl River Film Studio,1959,Feature,1.0
一件提案,121,0.12913553895410887,13,164,Beijing,Beijing Film Studio,1954,Feature,1.0
我们村里的年轻人（续集）,233,0.2159406858202039,11,31,Northeast,Changchun Film Studio,1963,Feature,1.0
十三陵水库畅想曲,31,0.029580152671755726,10,62,Beijing,Beijing Film Studio,1958,Feature,1.0
民主青年进行曲,67,0.05587989991659716,12,135,Beijing,Beijing Film Studio,1950,Feature,1.0
地雷战,193,0.21208791208791208,14,79,Beijing,August First Film Studio,1962,Feature,1.0
三毛流浪记,809,0.9711884753901561,11,169,Shanghai (private),Kunlun Film Company,1949,Feature,1.0
画中人,830,0.6882255389718076,11,38,Northeast,Changchun Film Studio,1958,Feature,1.0
新儿女英雄传,338,0.20634920634920634,11,100,Beijing,Beijing Film Studio,1951,Feature,1.0
羊城暗哨,95,0.08217993079584775,14,48,Shanghai (state),Haiyan Film Studio,1957,Feature,1.0
斩断魔爪,111,0.10561370123691723,10,44,Shanghai (state),Shanghai Film Studio,1954,Feature,1.0
云雾山中,737,0.7421953675730111,10,39,Northeast,Changchun Film Studio,1959,Feature,1.0
狼牙山五壮士,402,0.4123076923076923,10,50,Beijing,August First Film Studio,1958,Feature,1.0
秋翁遇仙记,926,0.932527693856999,11,26,Shanghai (state),Shanghai Film Studio,1956,Feature,1.0
英雄儿女,672,0.5213343677269201,11,183,Northeast,Changchun Film Studio,1964,Feature,1.0
