film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
蔓萝花,22,0.023732470334412083,12,18,Shanghai (state),Haiyan Film Studio,1961,Musical,0.18181818181818182
蔓萝花,25,0.02696871628910464,10,17,Shanghai (state),Haiyan Film Studio,1961,Musical,0.1717171717171717
蔓萝花,26,0.028047464940668825,12,20,Shanghai (state),Haiyan Film Studio,1961,Musical,0.20202020202020202
蔓萝花,27,0.02912621359223301,14,35,Shanghai (state),Haiyan Film Studio,1961,Musical,0.35353535353535354
蔓萝花,28,0.030204962243797196,10,29,Shanghai (state),Haiyan Film Studio,1961,Musical,0.29292929292929293
蔓萝花,29,0.03128371089536138,10,26,Shanghai (state),Haiyan Film Studio,1961,Musical,0.26262626262626265
蔓萝花,35,0.037756202804746494,13,29,Shanghai (state),Haiyan Film Studio,1961,Musical,0.29292929292929293
蔓萝花,53,0.05717367853290183,10,46,Shanghai (state),Haiyan Film Studio,1961,Musical,0.46464646464646464
蔓萝花,54,0.05825242718446602,11,24,Shanghai (state),Haiyan Film Studio,1961,Musical,0.24242424242424243
蔓萝花,95,0.10248112189859762,14,20,Shanghai (state),Haiyan Film Studio,1961,Musical,0.20202020202020202
蔓萝花,98,0.10571736785329018,10,57,Shanghai (state),Haiyan Film Studio,1961,Musical,0.5757575757575758
蔓萝花,100,0.10787486515641856,12,48,Shanghai (state),Haiyan Film Studio,1961,Musical,0.48484848484848486
蔓萝花,103,0.1111111111111111,12,39,Shanghai (state),Haiyan Film Studio,1961,Musical,0.3939393939393939
蔓萝花,104,0.1121898597626753,12,33,Shanghai (state),Haiyan Film Studio,1961,Musical,0.3333333333333333
蔓萝花,108,0.11650485436893204,12,19,Shanghai (state),Haiyan Film Studio,1961,Musical,0.1919191919191919
蔓萝花,112,0.12081984897518878,11,9,Shanghai (state),Haiyan Film Studio,1961,Musical,0.09090909090909091
蔓萝花,113,0.12189859762675297,11,33,Shanghai (state),Haiyan Film Studio,1961,Musical,0.3333333333333333
蔓萝花,114,0.12297734627831715,11,18,Shanghai (state),Haiyan Film Studio,1961,Musical,0.18181818181818182
蔓萝花,115,0.12405609492988134,12,26,Shanghai (state),Haiyan Film Studio,1961,Musical,0.26262626262626265
蔓萝花,116,0.12513484358144553,10,29,Shanghai (state),Haiyan Film Studio,1961,Musical,0.29292929292929293
蔓萝花,117,0.1262135922330097,10,13,Shanghai (state),Haiyan Film Studio,1961,Musical,0.13131313131313133
蔓萝花,120,0.12944983818770225,14,22,Shanghai (state),Haiyan Film Studio,1961,Musical,0.2222222222222222
蔓萝花,122,0.13160733549083065,10,21,Shanghai (state),Haiyan Film Studio,1961,Musical,0.21212121212121213
蔓萝花,124,0.133764832793959,14,29,Shanghai (state),Haiyan Film Studio,1961,Musical,0.29292929292929293
蔓萝花,126,0.13592233009708737,13,35,Shanghai (state),Haiyan Film Studio,1961,Musical,0.35353535353535354
蔓萝花,127,0.13700107874865156,16,37,Shanghai (state),Haiyan Film Studio,1961,Musical,0.37373737373737376
蔓萝花,128,0.13807982740021574,12,27,Shanghai (state),Haiyan Film Studio,1961,Musical,0.2727272727272727
蔓萝花,130,0.14023732470334413,11,31,Shanghai (state),Haiyan Film Studio,1961,Musical,0.31313131313131315
蔓萝花,131,0.1413160733549083,10,22,Shanghai (state),Haiyan Film Studio,1961,Musical,0.2222222222222222
蔓萝花,132,0.1423948220064725,11,29,Shanghai (state),Haiyan Film Studio,1961,Musical,0.29292929292929293
蔓萝花,135,0.14563106796116504,13,39,Shanghai (state),Haiyan Film Studio,1961,Musical,0.3939393939393939
蔓萝花,136,0.14670981661272922,12,20,Shanghai (state),Haiyan Film Studio,1961,Musical,0.20202020202020202
蔓萝花,137,0.14778856526429343,12,23,Shanghai (state),Haiyan Film Studio,1961,Musical,0.23232323232323232
蔓萝花,138,0.1488673139158576,11,17,Shanghai (state),Haiyan Film Studio,1961,Musical,0.1717171717171717
蔓萝花,139,0.1499460625674218,11,32,Shanghai (state),Haiyan Film Studio,1961,Musical,0.32323232323232326
蔓萝花,141,0.15210355987055016,10,25,Shanghai (state),Haiyan Film Studio,1961,Musical,0.25252525252525254
蔓萝花,142,0.15318230852211434,11,45,Shanghai (state),Haiyan Film Studio,1961,Musical,0.45454545454545453
