film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
红花遍地开,39,0.042483660130718956,11,117,Beijing,Beijing Film Studio,1960,Performance,0.6573033707865169
红花遍地开,40,0.04357298474945534,10,116,Beijing,Beijing Film Studio,1960,Performance,0.651685393258427
红花遍地开,42,0.0457516339869281,13,164,Beijing,Beijing Film Studio,1960,Performance,0.9213483146067416
红花遍地开,43,0.046840958605664486,12,166,Beijing,Beijing Film Studio,1960,Performance,0.9325842696629213
红花遍地开,44,0.04793028322440087,10,172,Beijing,Beijing Film Studio,1960,Performance,0.9662921348314607
红花遍地开,45,0.049019607843137254,10,168,Beijing,Beijing Film Studio,1960,Performance,0.9438202247191011
红花遍地开,46,0.05010893246187364,15,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,47,0.05119825708061002,12,37,Beijing,Beijing Film Studio,1960,Performance,0.20786516853932585
红花遍地开,50,0.054466230936819175,11,38,Beijing,Beijing Film Studio,1960,Performance,0.21348314606741572
红花遍地开,51,0.05555555555555555,19,22,Beijing,Beijing Film Studio,1960,Performance,0.12359550561797752
红花遍地开,57,0.06209150326797386,11,127,Beijing,Beijing Film Studio,1960,Performance,0.7134831460674157
红花遍地开,59,0.06427015250544663,12,176,Beijing,Beijing Film Studio,1960,Performance,0.9887640449438202
红花遍地开,60,0.06535947712418301,10,128,Beijing,Beijing Film Studio,1960,Performance,0.7191011235955056
红花遍地开,75,0.08169934640522876,14,51,Beijing,Beijing Film Studio,1960,Performance,0.28651685393258425
红花遍地开,86,0.09368191721132897,13,37,Beijing,Beijing Film Studio,1960,Performance,0.20786516853932585
红花遍地开,90,0.09803921568627451,11,14,Beijing,Beijing Film Studio,1960,Performance,0.07865168539325842
红花遍地开,93,0.10130718954248366,10,15,Beijing,Beijing Film Studio,1960,Performance,0.08426966292134831
红花遍地开,94,0.10239651416122005,10,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,95,0.10348583877995643,11,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,102,0.1111111111111111,12,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,108,0.11764705882352941,10,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,110,0.11982570806100218,10,12,Beijing,Beijing Film Studio,1960,Performance,0.06741573033707865
红花遍地开,111,0.12091503267973856,10,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,121,0.1318082788671024,10,7,Beijing,Beijing Film Studio,1960,Performance,0.03932584269662921
红花遍地开,123,0.13398692810457516,10,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,125,0.13616557734204793,11,18,Beijing,Beijing Film Studio,1960,Performance,0.10112359550561797
红花遍地开,126,0.13725490196078433,10,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,128,0.1394335511982571,10,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,131,0.14270152505446623,10,14,Beijing,Beijing Film Studio,1960,Performance,0.07865168539325842
红花遍地开,137,0.14923747276688454,10,12,Beijing,Beijing Film Studio,1960,Performance,0.06741573033707865
红花遍地开,138,0.1503267973856209,10,12,Beijing,Beijing Film Studio,1960,Performance,0.06741573033707865
红花遍地开,141,0.15359477124183007,10,33,Beijing,Beijing Film Studio,1960,Performance,0.1853932584269663
红花遍地开,147,0.16013071895424835,10,16,Beijing,Beijing Film Studio,1960,Performance,0.0898876404494382
红花遍地开,150,0.16339869281045752,12,15,Beijing,Beijing Film Studio,1960,Performance,0.08426966292134831
红花遍地开,230,0.25054466230936817,12,14,Beijing,Beijing Film Studio,1960,Performance,0.07865168539325842
红花遍地开,235,0.2559912854030501,10,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,238,0.25925925925925924,10,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,245,0.2668845315904139,10,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,246,0.2679738562091503,10,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,249,0.27124183006535946,10,16,Beijing,Beijing Film Studio,1960,Performance,0.0898876404494382
红花遍地开,251,0.27342047930283225,10,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,253,0.275599128540305,10,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,254,0.2766884531590414,10,13,Beijing,Beijing Film Studio,1960,Performance,0.07303370786516854
红花遍地开,255,0.2777777777777778,11,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,260,0.28322440087145967,10,9,Beijing,Beijing Film Studio,1960,Performance,0.05056179775280899
红花遍地开,278,0.3028322440087146,10,8,Beijing,Beijing Film Studio,1960,Performance,0.0449438202247191
红花遍地开,289,0.3148148148148148,12,30,Beijing,Beijing Film Studio,1960,Performance,0.16853932584269662
红花遍地开,295,0.3213507625272331,13,35,Beijing,Beijing Film Studio,1960,Performance,0.19662921348314608
红花遍地开,309,0.3366013071895425,11,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,320,0.3485838779956427,10,14,Beijing,Beijing Film Studio,1960,Performance,0.07865168539325842
红花遍地开,330,0.35947712418300654,14,53,Beijing,Beijing Film Studio,1960,Performance,0.29775280898876405
红花遍地开,332,0.3616557734204793,10,39,Beijing,Beijing Film Studio,1960,Performance,0.21910112359550563
红花遍地开,336,0.3660130718954248,13,24,Beijing,Beijing Film Studio,1960,Performance,0.1348314606741573
红花遍地开,344,0.3747276688453159,10,7,Beijing,Beijing Film Studio,1960,Performance,0.03932584269662921
红花遍地开,421,0.45860566448801743,11,28,Beijing,Beijing Film Studio,1960,Performance,0.15730337078651685
红花遍地开,423,0.46078431372549017,15,25,Beijing,Beijing Film Studio,1960,Performance,0.1404494382022472
红花遍地开,424,0.46187363834422657,13,29,Beijing,Beijing Film Studio,1960,Performance,0.16292134831460675
红花遍地开,425,0.46296296296296297,15,20,Beijing,Beijing Film Studio,1960,Performance,0.11235955056179775
红花遍地开,428,0.4662309368191721,12,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,429,0.4673202614379085,12,8,Beijing,Beijing Film Studio,1960,Performance,0.0449438202247191
红花遍地开,432,0.47058823529411764,10,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,433,0.47167755991285404,13,22,Beijing,Beijing Film Studio,1960,Performance,0.12359550561797752
红花遍地开,434,0.47276688453159044,14,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,435,0.4738562091503268,11,17,Beijing,Beijing Film Studio,1960,Performance,0.09550561797752809
红花遍地开,436,0.4749455337690632,13,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,437,0.4760348583877996,10,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,443,0.48257080610021785,14,20,Beijing,Beijing Film Studio,1960,Performance,0.11235955056179775
红花遍地开,447,0.4869281045751634,10,13,Beijing,Beijing Film Studio,1960,Performance,0.07303370786516854
红花遍地开,483,0.5261437908496732,10,8,Beijing,Beijing Film Studio,1960,Performance,0.0449438202247191
红花遍地开,547,0.5958605664488017,14,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,548,0.5969498910675382,12,18,Beijing,Beijing Film Studio,1960,Performance,0.10112359550561797
红花遍地开,549,0.5980392156862745,10,20,Beijing,Beijing Film Studio,1960,Performance,0.11235955056179775
红花遍地开,550,0.599128540305011,13,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,551,0.6002178649237473,13,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,553,0.6023965141612201,11,12,Beijing,Beijing Film Studio,1960,Performance,0.06741573033707865
红花遍地开,558,0.6078431372549019,10,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,559,0.6089324618736384,12,13,Beijing,Beijing Film Studio,1960,Performance,0.07303370786516854
红花遍地开,560,0.6100217864923747,11,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,561,0.6111111111111112,13,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,562,0.6122004357298475,12,24,Beijing,Beijing Film Studio,1960,Performance,0.1348314606741573
红花遍地开,563,0.6132897603485838,13,25,Beijing,Beijing Film Studio,1960,Performance,0.1404494382022472
红花遍地开,564,0.6143790849673203,13,26,Beijing,Beijing Film Studio,1960,Performance,0.14606741573033707
红花遍地开,565,0.6154684095860566,10,23,Beijing,Beijing Film Studio,1960,Performance,0.12921348314606743
红花遍地开,566,0.616557734204793,12,20,Beijing,Beijing Film Studio,1960,Performance,0.11235955056179775
红花遍地开,569,0.6198257080610022,11,14,Beijing,Beijing Film Studio,1960,Performance,0.07865168539325842
红花遍地开,575,0.6263616557734205,10,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,581,0.6328976034858388,10,14,Beijing,Beijing Film Studio,1960,Performance,0.07865168539325842
红花遍地开,582,0.6339869281045751,10,13,Beijing,Beijing Film Studio,1960,Performance,0.07303370786516854
红花遍地开,585,0.6372549019607843,12,19,Beijing,Beijing Film Studio,1960,Performance,0.10674157303370786
红花遍地开,602,0.6557734204793029,10,14,Beijing,Beijing Film Studio,1960,Performance,0.07865168539325842
红花遍地开,608,0.6623093681917211,15,27,Beijing,Beijing Film Studio,1960,Performance,0.15168539325842698
红花遍地开,609,0.6633986928104575,19,22,Beijing,Beijing Film Studio,1960,Performance,0.12359550561797752
红花遍地开,613,0.6677559912854031,12,18,Beijing,Beijing Film Studio,1960,Performance,0.10112359550561797
红花遍地开,614,0.6688453159041394,17,21,Beijing,Beijing Film Studio,1960,Performance,0.11797752808988764
红花遍地开,615,0.6699346405228758,16,23,Beijing,Beijing Film Studio,1960,Performance,0.12921348314606743
红花遍地开,616,0.6710239651416122,17,23,Beijing,Beijing Film Studio,1960,Performance,0.12921348314606743
红花遍地开,618,0.673202614379085,15,25,Beijing,Beijing Film Studio,1960,Performance,0.1404494382022472
红花遍地开,622,0.6775599128540305,10,9,Beijing,Beijing Film Studio,1960,Performance,0.05056179775280899
红花遍地开,629,0.6851851851851852,19,24,Beijing,Beijing Film Studio,1960,Performance,0.1348314606741573
红花遍地开,635,0.6917211328976035,15,20,Beijing,Beijing Film Studio,1960,Performance,0.11235955056179775
红花遍地开,636,0.6928104575163399,13,20,Beijing,Beijing Film Studio,1960,Performance,0.11235955056179775
红花遍地开,637,0.6938997821350763,13,15,Beijing,Beijing Film Studio,1960,Performance,0.08426966292134831
红花遍地开,643,0.7004357298474946,11,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,654,0.7124183006535948,13,18,Beijing,Beijing Film Studio,1960,Performance,0.10112359550561797
红花遍地开,664,0.7233115468409586,12,58,Beijing,Beijing Film Studio,1960,Performance,0.3258426966292135
红花遍地开,665,0.724400871459695,13,66,Beijing,Beijing Film Studio,1960,Performance,0.3707865168539326
红花遍地开,666,0.7254901960784313,13,68,Beijing,Beijing Film Studio,1960,Performance,0.38202247191011235
红花遍地开,667,0.7265795206971678,13,71,Beijing,Beijing Film Studio,1960,Performance,0.398876404494382
红花遍地开,668,0.7276688453159041,13,66,Beijing,Beijing Film Studio,1960,Performance,0.3707865168539326
红花遍地开,669,0.7287581699346405,13,72,Beijing,Beijing Film Studio,1960,Performance,0.4044943820224719
红花遍地开,671,0.7309368191721133,11,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,673,0.7331154684095861,10,47,Beijing,Beijing Film Studio,1960,Performance,0.2640449438202247
红花遍地开,674,0.7342047930283224,11,46,Beijing,Beijing Film Studio,1960,Performance,0.25842696629213485
红花遍地开,676,0.7363834422657952,10,41,Beijing,Beijing Film Studio,1960,Performance,0.2303370786516854
红花遍地开,677,0.7374727668845316,12,61,Beijing,Beijing Film Studio,1960,Performance,0.34269662921348315
红花遍地开,678,0.738562091503268,12,48,Beijing,Beijing Film Studio,1960,Performance,0.2696629213483146
红花遍地开,681,0.7418300653594772,12,71,Beijing,Beijing Film Studio,1960,Performance,0.398876404494382
红花遍地开,682,0.7429193899782135,12,68,Beijing,Beijing Film Studio,1960,Performance,0.38202247191011235
红花遍地开,683,0.7440087145969498,12,68,Beijing,Beijing Film Studio,1960,Performance,0.38202247191011235
红花遍地开,684,0.7450980392156863,13,67,Beijing,Beijing Film Studio,1960,Performance,0.37640449438202245
红花遍地开,685,0.7461873638344226,12,65,Beijing,Beijing Film Studio,1960,Performance,0.3651685393258427
红花遍地开,686,0.7472766884531591,12,65,Beijing,Beijing Film Studio,1960,Performance,0.3651685393258427
红花遍地开,687,0.7483660130718954,11,68,Beijing,Beijing Film Studio,1960,Performance,0.38202247191011235
红花遍地开,688,0.7494553376906318,13,35,Beijing,Beijing Film Studio,1960,Performance,0.19662921348314608
红花遍地开,689,0.7505446623093682,17,40,Beijing,Beijing Film Studio,1960,Performance,0.2247191011235955
红花遍地开,691,0.7527233115468409,11,58,Beijing,Beijing Film Studio,1960,Performance,0.3258426966292135
红花遍地开,692,0.7538126361655774,13,64,Beijing,Beijing Film Studio,1960,Performance,0.3595505617977528
红花遍地开,693,0.7549019607843137,13,63,Beijing,Beijing Film Studio,1960,Performance,0.3539325842696629
红花遍地开,694,0.7559912854030502,13,63,Beijing,Beijing Film Studio,1960,Performance,0.3539325842696629
红花遍地开,695,0.7570806100217865,13,61,Beijing,Beijing Film Studio,1960,Performance,0.34269662921348315
红花遍地开,696,0.7581699346405228,11,66,Beijing,Beijing Film Studio,1960,Performance,0.3707865168539326
红花遍地开,753,0.8202614379084967,10,10,Beijing,Beijing Film Studio,1960,Performance,0.056179775280898875
红花遍地开,778,0.8474945533769063,10,11,Beijing,Beijing Film Studio,1960,Performance,0.06179775280898876
红花遍地开,832,0.906318082788671,10,165,Beijing,Beijing Film Studio,1960,Performance,0.9269662921348315
红花遍地开,833,0.9074074074074074,12,164,Beijing,Beijing Film Studio,1960,Performance,0.9213483146067416
红花遍地开,836,0.9106753812636166,13,164,Beijing,Beijing Film Studio,1960,Performance,0.9213483146067416
红花遍地开,837,0.9117647058823529,19,24,Beijing,Beijing Film Studio,1960,Performance,0.1348314606741573
红花遍地开,838,0.9128540305010894,18,22,Beijing,Beijing Film Studio,1960,Performance,0.12359550561797752
红花遍地开,839,0.9139433551198257,17,38,Beijing,Beijing Film Studio,1960,Performance,0.21348314606741572
红花遍地开,842,0.9172113289760349,10,161,Beijing,Beijing Film Studio,1960,Performance,0.9044943820224719
