Video Name,Analysed Frames
宋士杰,1165
青松岭,1372
无名岛,1018
飞越天险,1059
春暖花开,1115
脚印,393
一贯害人道,1281
红色邮路,1055
打铜锣补锅,515
我们是一代人,1176
怒潮,1187
暴风骤雨,1297
哈森与加米拉,1181
两家人,908
前哨,1187
黄沙绿浪,1261
马,546
渡江探险,964
自有后来人,1158
十二次列车,924
渔岛之子,822
一件提案,937
我们村里的年轻人（续集）,1079
十三陵水库畅想曲,1048
民主青年进行曲,1199
好媳妇,598
地雷战,910
三毛流浪记,833
双推磨,513
画中人,1206
新儿女英雄传,1638
羊城暗哨,1156
斩断魔爪,1051
云雾山中,993
狼牙山五壮士,975
罗汉钱,1218
秋翁遇仙记,993
英雄儿女,1289
游园惊梦,427
抗旱曲,738
奇袭,894
锦上添花,854
金银滩,1241
花木兰,1227
蔓萝花,927
翠岗红旗,1154
党的女儿,1083
年青的一代,1302
青春的园地,959
地下航线,1247
鬼神不灵,476
女司机,987
我这一辈子,1253
康庄大道,952
钢珠飞车,871
水手长的故事,1174
哥俩好,949
李双双,1160
英雄坦克手,826
山间铃响马帮来,1027
冰上姐妹,1187
冲破黎明前的黑暗,1122
大地重光,1092
春风吹到诺敏河,1272
冰山上的来客,1219
情探,1014
如此多情,642
水乡的春天,1271
边寨烽火,999
不夜城,1355
江山多娇,1083
刘三姐,1364
蚕花姑娘,1174
北国江南,1416
海阔天空,1164
沙家店粮站,1045
荒山泪,1268
芦笙恋歌,1090
水,584
一百个放心,877
红梅岭,1095
哥哥和妹妹,780
工地青年,1013
凤凰之歌,1095
军歌嘹亮,1109
中华女儿,1027
马兰花,945
双教子,766
青春的脚步,962
妈妈要我出嫁,898
夏天的故事,1007
野火春风斗古城,1193
战上海,1223
和平保卫者,647
今天我休息,1014
战火中的青春,1099
丽人行,1240
百岁挂帅,1376
上金山,315
孙悟空三打白骨精,1138
花为媒,1289
耕云播雨,877
激流,1168
红孩子,1277
大李小李和老李,985
胜利重逢,1094
农家乐,984
箭杆河边,1264
望江亭,1097
上饶集中营,1136
花好月圆,1260
摩雅傣,1223
暑假的礼物,806
心连心,1105
游园惊梦(1960),767
冬梅,1067
天罗地网,1152
七十二家房客,972
平原游击队,1073
母女教师,1003
上海姑娘,1051
梅兰芳的舞台艺术（上集）,1313
第三次试验,337
三关排宴,1457
椰林曲,1170
无穷的潜力,1009
逆风千里,1191
猛河的黎明,1201
万木春,965
谁是被抛弃的人,942
