film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
Grapes of Wrath,785,0.50417469492614,0,43,United States,Hollywood,1940,Feature,0.5308641975308642
Grapes of Wrath,799,0.5131663455362877,0,57,United States,Hollywood,1940,Feature,0.7037037037037037
Grapes of Wrath,807,0.5183044315992292,0,32,United States,Hollywood,1940,Feature,0.3950617283950617
Grapes of Wrath,823,0.5285806037251124,0,23,United States,Hollywood,1940,Feature,0.2839506172839506
Grapes of Wrath,828,0.5317919075144508,0,36,United States,Hollywood,1940,Feature,0.4444444444444444
Grapes of Wrath,838,0.5382145150931278,0,56,United States,Hollywood,1940,Feature,0.691358024691358
Grapes of Wrath,839,0.5388567758509955,0,52,United States,Hollywood,1940,Feature,0.6419753086419753
Grapes of Wrath,842,0.5407835581245986,0,14,United States,Hollywood,1940,Feature,0.1728395061728395
Grapes of Wrath,846,0.5433526011560693,0,17,United States,Hollywood,1940,Feature,0.20987654320987653
Grapes of Wrath,847,0.5439948619139371,0,14,United States,Hollywood,1940,Feature,0.1728395061728395
Grapes of Wrath,853,0.5478484264611432,0,16,United States,Hollywood,1940,Feature,0.19753086419753085
Grapes of Wrath,860,0.552344251766217,0,11,United States,Hollywood,1940,Feature,0.13580246913580246
Grapes of Wrath,915,0.5876685934489403,0,21,United States,Hollywood,1940,Feature,0.25925925925925924
Grapes of Wrath,960,0.6165703275529865,0,81,United States,Hollywood,1940,Feature,1.0
Grapes of Wrath,961,0.6172125883108542,0,72,United States,Hollywood,1940,Feature,0.8888888888888888
Grapes of Wrath,963,0.6184971098265896,0,40,United States,Hollywood,1940,Feature,0.49382716049382713
Grapes of Wrath,968,0.6217084136159281,0,18,United States,Hollywood,1940,Feature,0.2222222222222222
Grapes of Wrath,975,0.626204238921002,0,20,United States,Hollywood,1940,Feature,0.24691358024691357
Grapes of Wrath,976,0.6268464996788696,0,24,United States,Hollywood,1940,Feature,0.2962962962962963
Grapes of Wrath,985,0.6326268464996788,0,21,United States,Hollywood,1940,Feature,0.25925925925925924
Grapes of Wrath,1020,0.6551059730250481,0,17,United States,Hollywood,1940,Feature,0.20987654320987653
Grapes of Wrath,1310,0.8413615928066795,0,22,United States,Hollywood,1940,Feature,0.2716049382716049
Grapes of Wrath,1314,0.8439306358381503,0,12,United States,Hollywood,1940,Feature,0.14814814814814814
Grapes of Wrath,1323,0.8497109826589595,0,31,United States,Hollywood,1940,Feature,0.38271604938271603
Grapes of Wrath,1348,0.8657675016056519,0,57,United States,Hollywood,1940,Feature,0.7037037037037037
Grapes of Wrath,1349,0.8664097623635196,0,63,United States,Hollywood,1940,Feature,0.7777777777777778
Grapes of Wrath,1358,0.8721901091843288,0,22,United States,Hollywood,1940,Feature,0.2716049382716049
Notorious,201,0.16461916461916462,0,17,United States,Hollywood,1940,Feature,0.2786885245901639
Notorious,226,0.1850941850941851,0,19,United States,Hollywood,1940,Feature,0.3114754098360656
Notorious,227,0.18591318591318592,0,22,United States,Hollywood,1940,Feature,0.36065573770491804
Notorious,233,0.19082719082719082,0,12,United States,Hollywood,1940,Feature,0.19672131147540983
Notorious,235,0.19246519246519248,0,16,United States,Hollywood,1940,Feature,0.26229508196721313
Notorious,243,0.19901719901719903,0,16,United States,Hollywood,1940,Feature,0.26229508196721313
Notorious,245,0.20065520065520065,0,14,United States,Hollywood,1940,Feature,0.22950819672131148
Notorious,261,0.21375921375921375,0,14,United States,Hollywood,1940,Feature,0.22950819672131148
Notorious,603,0.49385749385749383,0,11,United States,Hollywood,1940,Feature,0.18032786885245902
Notorious,612,0.5012285012285013,0,16,United States,Hollywood,1940,Feature,0.26229508196721313
Notorious,751,0.6150696150696151,0,58,United States,Hollywood,1940,Feature,0.9508196721311475
Notorious,752,0.6158886158886159,0,61,United States,Hollywood,1940,Feature,1.0
Notorious,753,0.6167076167076168,0,35,United States,Hollywood,1940,Feature,0.5737704918032787
Notorious,766,0.6273546273546273,0,22,United States,Hollywood,1940,Feature,0.36065573770491804
Notorious,1081,0.8853398853398854,0,15,United States,Hollywood,1940,Feature,0.2459016393442623
Casablanca,48,0.03899268887083672,0,26,United States,Hollywood,1940,Feature,0.45614035087719296
Casablanca,50,0.04061738424045491,0,27,United States,Hollywood,1940,Feature,0.47368421052631576
Casablanca,59,0.0479285134037368,0,36,United States,Hollywood,1940,Feature,0.631578947368421
Casablanca,63,0.05117790414297319,0,46,United States,Hollywood,1940,Feature,0.8070175438596491
Casablanca,64,0.05199025182778229,0,24,United States,Hollywood,1940,Feature,0.42105263157894735
Casablanca,65,0.05280259951259139,0,28,United States,Hollywood,1940,Feature,0.49122807017543857
Casablanca,66,0.05361494719740049,0,17,United States,Hollywood,1940,Feature,0.2982456140350877
Casablanca,84,0.06823720552396426,0,27,United States,Hollywood,1940,Feature,0.47368421052631576
Casablanca,86,0.06986190089358245,0,21,United States,Hollywood,1940,Feature,0.3684210526315789
Casablanca,91,0.07392363931762795,0,13,United States,Hollywood,1940,Feature,0.22807017543859648
Casablanca,99,0.08042242079610074,0,19,United States,Hollywood,1940,Feature,0.3333333333333333
Casablanca,123,0.09991876523151909,0,18,United States,Hollywood,1940,Feature,0.3157894736842105
Casablanca,145,0.11779041429731925,0,12,United States,Hollywood,1940,Feature,0.21052631578947367
Casablanca,146,0.11860276198212835,0,12,United States,Hollywood,1940,Feature,0.21052631578947367
Casablanca,156,0.12672623883021933,0,41,United States,Hollywood,1940,Feature,0.7192982456140351
Casablanca,157,0.12753858651502845,0,46,United States,Hollywood,1940,Feature,0.8070175438596491
