film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
The District Secretary,145,0.14132553606237816,10,20,Non-Chinese,Non-Chinese,1950,Feature,0.30303030303030304
The District Secretary,172,0.16764132553606237,12,48,Non-Chinese,Non-Chinese,1950,Feature,0.7272727272727273
The District Secretary,176,0.17153996101364521,12,40,Non-Chinese,Non-Chinese,1950,Feature,0.6060606060606061
The District Secretary,180,0.17543859649122806,13,24,Non-Chinese,Non-Chinese,1950,Feature,0.36363636363636365
The District Secretary,187,0.18226120857699804,18,27,Non-Chinese,Non-Chinese,1950,Feature,0.4090909090909091
The District Secretary,234,0.22807017543859648,11,12,Non-Chinese,Non-Chinese,1950,Feature,0.18181818181818182
The District Secretary,255,0.24853801169590642,11,17,Non-Chinese,Non-Chinese,1950,Feature,0.25757575757575757
The District Secretary,257,0.25048732943469787,12,16,Non-Chinese,Non-Chinese,1950,Feature,0.24242424242424243
The District Secretary,261,0.2543859649122807,11,20,Non-Chinese,Non-Chinese,1950,Feature,0.30303030303030304
The District Secretary,353,0.34405458089668617,12,9,Non-Chinese,Non-Chinese,1950,Feature,0.13636363636363635
The District Secretary,476,0.46393762183235865,14,32,Non-Chinese,Non-Chinese,1950,Feature,0.48484848484848486
The District Secretary,498,0.4853801169590643,15,34,Non-Chinese,Non-Chinese,1950,Feature,0.5151515151515151
The District Secretary,513,0.5,19,64,Non-Chinese,Non-Chinese,1950,Feature,0.9696969696969697
The District Secretary,514,0.5009746588693957,14,66,Non-Chinese,Non-Chinese,1950,Feature,1.0
The District Secretary,515,0.5019493177387915,15,29,Non-Chinese,Non-Chinese,1950,Feature,0.4393939393939394
The District Secretary,520,0.50682261208577,12,26,Non-Chinese,Non-Chinese,1950,Feature,0.3939393939393939
The District Secretary,557,0.5428849902534113,11,8,Non-Chinese,Non-Chinese,1950,Feature,0.12121212121212122
The District Secretary,562,0.5477582846003899,11,14,Non-Chinese,Non-Chinese,1950,Feature,0.21212121212121213
The District Secretary,647,0.6306042884990254,17,36,Non-Chinese,Non-Chinese,1950,Feature,0.5454545454545454
The District Secretary,648,0.631578947368421,16,15,Non-Chinese,Non-Chinese,1950,Feature,0.22727272727272727
The District Secretary,735,0.716374269005848,11,17,Non-Chinese,Non-Chinese,1950,Feature,0.25757575757575757
The District Secretary,817,0.7962962962962963,11,10,Non-Chinese,Non-Chinese,1950,Feature,0.15151515151515152
Pavel Korchagin,51,0.043852106620808254,12,30,Non-Chinese,Non-Chinese,1950,Feature,0.7317073170731707
Pavel Korchagin,53,0.04557179707652623,12,17,Non-Chinese,Non-Chinese,1950,Feature,0.4146341463414634
Pavel Korchagin,58,0.04987102321582115,11,41,Non-Chinese,Non-Chinese,1950,Feature,1.0
Pavel Korchagin,59,0.05073086844368014,11,41,Non-Chinese,Non-Chinese,1950,Feature,1.0
Pavel Korchagin,60,0.051590713671539126,12,36,Non-Chinese,Non-Chinese,1950,Feature,0.8780487804878049
Pavel Korchagin,197,0.16938950988822013,11,24,Non-Chinese,Non-Chinese,1950,Feature,0.5853658536585366
Pavel Korchagin,203,0.17454858125537404,12,25,Non-Chinese,Non-Chinese,1950,Feature,0.6097560975609756
Pavel Korchagin,206,0.177128116938951,12,21,Non-Chinese,Non-Chinese,1950,Feature,0.5121951219512195
Pavel Korchagin,209,0.17970765262252794,17,40,Non-Chinese,Non-Chinese,1950,Feature,0.975609756097561
Pavel Korchagin,217,0.18658641444539983,14,14,Non-Chinese,Non-Chinese,1950,Feature,0.34146341463414637
Pavel Korchagin,227,0.1951848667239897,16,10,Non-Chinese,Non-Chinese,1950,Feature,0.24390243902439024
Pavel Korchagin,241,0.20722269991401548,11,15,Non-Chinese,Non-Chinese,1950,Feature,0.36585365853658536
Pavel Korchagin,309,0.2656921754084265,11,22,Non-Chinese,Non-Chinese,1950,Feature,0.5365853658536586
Pavel Korchagin,311,0.26741186586414445,12,23,Non-Chinese,Non-Chinese,1950,Feature,0.5609756097560976
Pavel Korchagin,360,0.30954428202923473,12,14,Non-Chinese,Non-Chinese,1950,Feature,0.34146341463414637
Pavel Korchagin,462,0.39724849527085127,13,19,Non-Chinese,Non-Chinese,1950,Feature,0.4634146341463415
Pavel Korchagin,903,0.7764402407566638,12,15,Non-Chinese,Non-Chinese,1950,Feature,0.36585365853658536
Pavel Korchagin,909,0.7815993121238177,17,25,Non-Chinese,Non-Chinese,1950,Feature,0.6097560975609756
Pavel Korchagin,910,0.7824591573516767,16,33,Non-Chinese,Non-Chinese,1950,Feature,0.8048780487804879
Pavel Korchagin,933,0.8022355975924333,11,18,Non-Chinese,Non-Chinese,1950,Feature,0.43902439024390244
Pavel Korchagin,939,0.8073946689595872,13,33,Non-Chinese,Non-Chinese,1950,Feature,0.8048780487804879
Pavel Korchagin,943,0.8108340498710233,16,20,Non-Chinese,Non-Chinese,1950,Feature,0.4878048780487805
Pavel Korchagin,944,0.8116938950988822,15,19,Non-Chinese,Non-Chinese,1950,Feature,0.4634146341463415
Pavel Korchagin,945,0.8125537403267412,16,22,Non-Chinese,Non-Chinese,1950,Feature,0.5365853658536586
Pavel Korchagin,990,0.8512467755803955,12,36,Non-Chinese,Non-Chinese,1950,Feature,0.8780487804878049
Pavel Korchagin,1003,0.8624247635425624,12,22,Non-Chinese,Non-Chinese,1950,Feature,0.5365853658536586
Brave People,180,0.15477214101461736,15,29,Non-Chinese,Non-Chinese,1950,Feature,0.31521739130434784
Brave People,195,0.16766981943250214,11,9,Non-Chinese,Non-Chinese,1950,Feature,0.09782608695652174
Brave People,199,0.1711092003439381,12,13,Non-Chinese,Non-Chinese,1950,Feature,0.14130434782608695
Brave People,201,0.17282889079965605,18,21,Non-Chinese,Non-Chinese,1950,Feature,0.22826086956521738
Brave People,205,0.176268271711092,13,14,Non-Chinese,Non-Chinese,1950,Feature,0.15217391304347827
Brave People,257,0.22098022355975924,13,23,Non-Chinese,Non-Chinese,1950,Feature,0.25
Brave People,259,0.2226999140154772,13,21,Non-Chinese,Non-Chinese,1950,Feature,0.22826086956521738
