Film Key,Film Title,Production,Category,Has Downloadable Source on 1905 (False for films with limited source and empty for no source)
fu fu jin xing qu,夫妇进行曲,Changjiang Film Studio,Shanghai (private),True
zi mei yuan jia,姊妹冤家,中企影艺社,Shanghai (private),
yan hua nv er fan shen ji,烟花女儿翻身记,Beijing Film Studio,Beijing,
fu nv chun qiu,妇女春秋,Guotai Film Company & 华东影片经理公司,Shanghai (private),
zai sheng feng huang,再生凤凰,Guotai Film Company,Shanghai (private),
jiang nan chun xiao,江南春晓,Guotai Film Company,Shanghai (private),
qing deng yuan,青灯怨,Guotai Film Company,Shanghai (private),
ye lai feng yu sheng,夜来风雨声,新时代影业公司 (Hong Kong),Shanghai (private),
sen lin da xue an,森林大血案,中企影艺社,Shanghai (private),
han shan si zhong sheng,寒山寺钟声,中企影艺社,Shanghai (private),
nian nian ru yi,年年如意,华光影业制片厂,Shanghai (private),
tong xin jie,同心结,嘉年影业公司,Shanghai (private),
e ren xing,饿人行,嘉年影业公司,Shanghai (private),
nv er chun,女儿春,Datong Film Company,Shanghai (private),
ren shou zhi jian,人兽之间,嘉年影业公司,Shanghai (private),
ren zai wu yan xia,人在屋檐下,华侨影业公司 (Hong Kong),Shanghai (private),
nv da heng,女大亨,黎明影业公司,Shanghai (private),
tai ping qiao de nu chao,太平桥的怒潮,新中华影业公司,Shanghai (private),
jiang cun you xia zhuan,江村游侠传,新中华影业公司,Shanghai (private),
da jia huan xi,大家欢喜,新中华影业公司,Shanghai (private),
huan nan fu qi,患难夫妻,Da Guangming Film Company & Guotai Film Company,Shanghai (private),
hun yan da shi,婚姻大事,惠昌商务有限公司,Shanghai (private),
san bai liu shi hang,三百六十行,Da Guangming Film Company & Guotai Film Company,Shanghai (private),
shuo huang de zhang fu,说谎的丈夫,东华影业公司,Shanghai (private),
yin yang jie,阴阳界,东华影业公司,Shanghai (private),
shi liu hong,石榴红,中国五彩电影实验工场,Shanghai (private),
zhi bu guo shi ai qing,只不过是爱情,中国五彩电影实验工场,Shanghai (private),
da lei yu,大雷雨,远东影业公司,Shanghai (private),
ye ying qu,夜莺曲,雷电影业公司,Shanghai (private),
shi li chuan jia,诗礼传家,Da Guangming Film Company,Shanghai (private),
ying mi zhuan,影迷传,Datong Film Company,Shanghai (private),
zi you tian di,自由天地,Datong Film Company,Shanghai (private),
tai tai wen ti,太太问题,Guotai Film Company,Shanghai (private),
huan tian xi di,欢天喜地,Datong Film Company,Shanghai (private),
die lian hua,蝶恋花,Datong Film Company,Shanghai (private),
wang chuan qiu shui,望穿秋水,Datong Film Company,Shanghai (private),
shi qu de ai qing,失去的爱情,Datong Film Company,Shanghai (private),
yi xiang tian kai,异想天开,Guotai Film Company,Shanghai (private),
nv zei,女贼,嘉华影业公司,Shanghai (private),
wan huo de nv ren,玩火的女人,大华电影企业公司,Shanghai (private),
sheng ming jiao xiang qu,生命交响曲,Guotai Film Company,Shanghai (private),
yue ju jing hua,越剧菁华,Wenhua Film Company,Shanghai (private),
xun meng ji,寻梦记,中央电影摄影场一厂,Shanghai (roc),
shi er xiao shi de qi ji,十二小时的奇迹,Guotai Film Company,Shanghai (private),
xi ying chun,喜迎春,中央电影摄影场二厂,Shanghai (roc),
xi wang zai ren jian,希望在人间,Kunlun Film Company,Shanghai (private),
qiao,桥,Northeast Film Studio,Northeast,
hui dao zi ji dui wu lai,回到自己队伍来,Northeast Film Studio,Northeast,
guang mang wan zhang,光芒万丈,Northeast Film Studio,Northeast,True
zhong hua nv er,中华女儿,Northeast Film Studio,Northeast,True
bai yi zhan shi,白衣战士,Northeast Film Studio,Northeast,False
wu xing de zhan xian,无形的战线,Northeast Film Studio,Northeast,True
biao,表,Wenhua Film Company,Shanghai (private),False
er bai wu xiao zhuan,二百五小传,Datong Film Company,Shanghai (private),False
wu ya yu ma que,乌鸦与麻雀,Kunlun Film Company,Shanghai (private),True
san mao liu lang ji,三毛流浪记,Kunlun Film Company,Shanghai (private),True
zhao yi man,赵一曼,Northeast Film Studio,Northeast,True
guang rong ren jia,光荣人家,Northeast Film Studio,Northeast,True
wei guo bao jia,卫国保家,Northeast Film Studio,Northeast,True
hong qi ge,红旗歌,Northeast Film Studio,Northeast,True
gang tie zhan shi,钢铁战士,Northeast Film Studio,Northeast,True
gao ge meng jin,高歌猛进,Northeast Film Studio,Northeast,True
liu hu lan,刘胡兰,Northeast Film Studio,Northeast,True
liao yuan de xiang cun,辽远的乡村,Northeast Film Studio,Northeast,True
nei meng ren min de sheng li,内蒙人民的胜利,Northeast Film Studio,Northeast,
bai mao nv,白毛女,Northeast Film Studio,Northeast,True
ren min de zhan shi,人民的战士,Northeast Film Studio,Northeast,
bao wei sheng li guo shi,保卫胜利果实,Northeast Film Studio,Northeast,
zai qian jin de dao lu shang,在前进的道路上,Northeast Film Studio,Northeast,
lv liang ying xiong,吕梁英雄,Beijing Film Studio,Beijing,True
gui shen bu ling,鬼神不灵,Beijing Film Studio,Beijing,True
min zhu qing nian jin xing qu,民主青年进行曲,Beijing Film Studio,Beijing,True
er nv qin shi,儿女亲事,Beijing Film Studio,Beijing,True
he ping bao wei zhe,和平保卫者,Beijing Film Studio,Beijing,True
