Production,Start Year,First Film
Northeast Film Studio,1949,qiao
Wenhua Film Company,1949,biao
Datong Film Company,1949,er bai wu xiao zhuan
Kunlun Film Company,1949,wu ya yu ma que
新时代影业公司 (Hong Kong),1949,ye lai feng yu sheng
中企影艺社,1949,sen lin da xue an
华光影业制片厂,1949,nian nian ru yi
嘉年影业公司,1949,tong xin jie
华侨影业公司 (Hong Kong),1949,ren zai wu yan xia
新中华影业公司,1949,tai ping qiao de nu chao
远东影业公司,1949,da lei yu
Guotai Film Company,1949,yi xiang tian kai
嘉华影业公司,1949,nv zei
大华电影企业公司,1949,wan huo de nv ren
中央电影摄影场一厂,1949,xun meng ji
中央电影摄影场二厂,1949,xi ying chun
Beijing Film Studio,1950,lv liang ying xiong
Shanghai Film Studio,1950,nong jia le
黎明影业公司,1950,nv da heng
Da Guangming Film Company,1950,huan nan fu qi
惠昌商务有限公司,1950,hun yan da shi
东华影业公司,1950,shuo huang de zhang fu
中国五彩电影实验工场,1950,shi liu hong
雷电影业公司,1950,ye ying qu
Changjiang Film Studio,1951,liang jia chun
Changjiang-Kunlun Associated Film Studio,1952,lao dong hua kai
Shandong Film Studio,1954,gai jiao tian de wu tai yi shu
Central Newsreel and Documentary Film Studio,1954,chuan ju ji jin
Changchun Film Studio,1955,zu guo de hua duo
August First Film Studio,1955,jiao yin
Haiyan Film Studio,1957,yang cheng an shao
Tianma Film Studio,1957,ye lin qu
Jiangnan Film Studio,1957,luo han qian
Studio of Beijing Film Academy,1957,chuan shan ju long
Lanzhou Film Studio,1958,kuai ma jia bian
Garance Productions (France),1958,feng zheng
Anhui Film Studio,1958,liu hu xin song
Jiangsu Film Studio,1958,hong se de zhong zi
Pearl River Film Studio,1958,jie ban ren
Harbin Film Studio,1959,xiao zhu yan kai
Moscow Film Studio,1959,feng cong dong fang lai
Inner Mongolia Film Studio,1959,cao yuan chen qu
Xinjiang Film Studio,1959,lv zhou kai ge
Hunan Film Studio,1959,sheng si pai
Xi'an Film Studio,1959,xue hai yin shan
Zhejiang Film Studio,1959,ren xiao zhi da
Wuhan Film Studio,1959,er du mei
Tianjin Film Studio,1960,hong qi pu
Qinghai Film Studio,1960,cao yuan feng bao
Emei Film Studio,1960,jia ling jiang bian
Hong Kong Jinsheng Film Company,1962,yang nai wu yu xiao bai cai
Hong Kong Dapeng Film Company,1962,ye zhu lin
Hong Kong Hongtu Film Company,1962,qi wang qiu jiang
Hong Kong Fanhua Film Company,1963,mu gui ying da zhan hong zhou
Hong Kong Changhong Film Company,1963,huai yin ji
Shanghai Animation Film Studio,1965,fu jian gong yi xin hua
