city,geo_category,latitude,longitude,total_films,year,films_in_year,colour_film_ratio_in_year,suggested_plot_size
Changchun,Northeast,43.816,125.3236,188,1949-12-31,6,0.0,60.0
Changchun,Northeast,43.816,125.3236,188,1950-12-31,19,0.0,190.0
Changchun,Northeast,43.816,125.3236,188,1951-12-31,20,0.0,200.0
Changchun,Northeast,43.816,125.3236,188,1952-12-31,22,0.0,220.0
Changchun,Northeast,43.816,125.3236,188,1953-12-31,26,0.0,260.0
Changchun,Northeast,43.816,125.3236,188,1954-12-31,34,0.0,340.0
Changchun,Northeast,43.816,125.3236,188,1955-12-31,44,0.0,440.0
Changchun,Northeast,43.816,125.3236,188,1956-12-31,59,0.0,590.0
Changchun,Northeast,43.816,125.3236,188,1957-12-31,73,0.0136986301369863,730.0
Changchun,Northeast,43.816,125.3236,188,1958-12-31,104,0.04807692307692308,1040.0
Changchun,Northeast,43.816,125.3236,188,1959-12-31,130,0.13076923076923078,1300.0
Changchun,Northeast,43.816,125.3236,188,1960-12-31,146,0.1232876712328767,1460.0
Changchun,Northeast,43.816,125.3236,188,1961-12-31,152,0.13157894736842105,1520.0
Changchun,Northeast,43.816,125.3236,188,1962-12-31,157,0.14012738853503184,1570.0
Changchun,Northeast,43.816,125.3236,188,1963-12-31,166,0.15060240963855423,1660.0
Changchun,Northeast,43.816,125.3236,188,1964-12-31,174,0.1724137931034483,1740.0
Changchun,Northeast,43.816,125.3236,188,1965-12-31,186,0.1935483870967742,1860.0
Changchun,Northeast,43.816,125.3236,188,1966-12-31,188,0.19680851063829788,1880.0
Beijing,Beijing,39.9042,116.4074,171,1949-12-31,0,0.0,0.0
Beijing,Beijing,39.9042,116.4074,171,1950-12-31,6,0.0,60.0
Beijing,Beijing,39.9042,116.4074,171,1951-12-31,9,0.0,90.0
Beijing,Beijing,39.9042,116.4074,171,1952-12-31,11,0.0,110.0
Beijing,Beijing,39.9042,116.4074,171,1953-12-31,13,0.0,130.0
Beijing,Beijing,39.9042,116.4074,171,1954-12-31,16,0.0,160.0
Beijing,Beijing,39.9042,116.4074,171,1955-12-31,19,0.05263157894736842,190.0
Beijing,Beijing,39.9042,116.4074,171,1956-12-31,27,0.18518518518518517,270.0
Beijing,Beijing,39.9042,116.4074,171,1957-12-31,38,0.2631578947368421,380.0
Beijing,Beijing,39.9042,116.4074,171,1958-12-31,61,0.2459016393442623,610.0
Beijing,Beijing,39.9042,116.4074,171,1959-12-31,82,0.35365853658536583,820.0
Beijing,Beijing,39.9042,116.4074,171,1960-12-31,101,0.36633663366336633,1010.0
Beijing,Beijing,39.9042,116.4074,171,1961-12-31,108,0.37962962962962965,1080.0
Beijing,Beijing,39.9042,116.4074,171,1962-12-31,122,0.3770491803278688,1220.0
Beijing,Beijing,39.9042,116.4074,171,1963-12-31,134,0.3656716417910448,1340.0
Beijing,Beijing,39.9042,116.4074,171,1964-12-31,149,0.3825503355704698,1490.0
Beijing,Beijing,39.9042,116.4074,171,1965-12-31,166,0.3855421686746988,1660.0
Beijing,Beijing,39.9042,116.4074,171,1966-12-31,171,0.38011695906432746,1710.0
Jinan,Shandong,36.6518,117.1201,2,1949-12-31,0,0.0,0.0
Jinan,Shandong,36.6518,117.1201,2,1950-12-31,0,0.0,0.0
Jinan,Shandong,36.6518,117.1201,2,1951-12-31,0,0.0,0.0
Jinan,Shandong,36.6518,117.1201,2,1952-12-31,0,0.0,0.0
Jinan,Shandong,36.6518,117.1201,2,1953-12-31,0,0.0,0.0
Jinan,Shandong,36.6518,117.1201,2,1954-12-31,1,0.0,10.0
Jinan,Shandong,36.6518,117.1201,2,1955-12-31,1,0.0,10.0
Jinan,Shandong,36.6518,117.1201,2,1956-12-31,1,0.0,10.0
Jinan,Shandong,36.6518,117.1201,2,1957-12-31,1,0.0,10.0
Jinan,Shandong,36.6518,117.1201,2,1958-12-31,1,0.0,10.0
Jinan,Shandong,36.6518,117.1201,2,1959-12-31,2,0.0,20.0
Jinan,Shandong,36.6518,117.1201,2,1960-12-31,2,0.0,20.0
Jinan,Shandong,36.6518,117.1201,2,1961-12-31,2,0.0,20.0
Jinan,Shandong,36.6518,117.1201,2,1962-12-31,2,0.0,20.0
Jinan,Shandong,36.6518,117.1201,2,1963-12-31,2,0.0,20.0
Jinan,Shandong,36.6518,117.1201,2,1964-12-31,2,0.0,20.0
Jinan,Shandong,36.6518,117.1201,2,1965-12-31,2,0.0,20.0
Jinan,Shandong,36.6518,117.1201,2,1966-12-31,2,0.0,20.0
Lanzhou,Gansu,36.0614,103.8342,1,1949-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1950-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1951-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1952-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1953-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1954-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1955-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1956-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1957-12-31,0,0.0,0.0
Lanzhou,Gansu,36.0614,103.8342,1,1958-12-31,1,0.0,10.0
Lanzhou,Gansu,36.0614,103.8342,1,1959-12-31,1,0.0,10.0
Lanzhou,Gansu,36.0614,103.8342,1,1960-12-31,1,0.0,10.0
Lanzhou,Gansu,36.0614,103.8342,1,1961-12-31,1,0.0,10.0
Lanzhou,Gansu,36.0614,103.8342,1,1962-12-31,1,0.0,10.0
Lanzhou,Gansu,36.0614,103.8342,1,1963-12-31,1,0.0,10.0
Lanzhou,Gansu,36.0614,103.8342,1,1964-12-31,1,0.0,10.0
Lanzhou,Gansu,36.0614,103.8342,1,1965-12-31,1,0.0,10.0
Lanzhou,Gansu,36.0614,103.8342,1,1966-12-31,1,0.0,10.0
Paris,Western Europe,48.8566,2.3522,1,1949-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1950-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1951-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1952-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1953-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1954-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1955-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1956-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1957-12-31,0,0.0,0.0
Paris,Western Europe,48.8566,2.3522,1,1958-12-31,1,1.0,10.0
