Network ID,Name,Debut Year,Last Appearance,Debut from Private Studio,Debut Region,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
2527,梁树魁,1957,1957,false,Northeast,,,,,,,,,Northeast [1],,,,,,,,,
612,胡晓光,1950,1965,false,Northeast,,Northeast [1],,,,,,,,Beijing [3],Beijing [1],,Beijing [1],,Beijing [1],,Beijing [1],
4147,王爱焕,1959,1959,false,Beijing,,,,,,,,,,,Beijing [1],,,,,,,
389,吴必克,1950,1960,false,Northeast,,Northeast [2],,,,Northeast [1],Northeast [1],,Northeast [3],Northeast [1],Northeast [5],Northeast [1],,,,,,
6912,丁一,1950,1950,true,Shanghai (private),,Shanghai (private) [1],,,,,,,,,,,,,,,,
2506,徐润,1956,1964,false,Beijing,,,,,,,,Beijing [1],Beijing [2],Beijing [2],Beijing [2],Beijing [1],,Beijing [1],,Beijing [1],,
6278,杨振兴,1964,1964,false,Shanghai (state),,,,,,,,,,,,,,,,Shanghai (state) [1],,
400,白德彰,1950,1966,false,Northeast,,Northeast [3],,,,Northeast [1],Northeast [1],,Northeast [1],Northeast [1],Northeast [2],Xi'an [1] & Northeast [1],,Xi'an [1] & Northeast [1],Northeast [1],,Northeast [1],Northeast [1]
1021,葛伟卿,1950,1964,true,Shanghai (private),,Shanghai (private) [1],Shanghai (private) [2],,,Northeast [1],Northeast [1],Northeast [2],,Northeast [3],Northeast [1],,,,,Northeast [1] & Hong Kong [1],,
51,于钟黎,1949,1949,false,Northeast,Northeast [1],,,,,,,,,,,,,,,,,
3625,黄虹,1959,1959,false,Northeast,,,,,,,,,,,Northeast [1],,,,,,,
6860,姚长安,1966,1966,false,Xi'an,,,,,,,,,,,,,,,,,,Xi'an [1]
4409,庄严,1960,1960,false,Northeast,,,,,,,,,,,,Northeast [1],,,,,,
1867,孙勇刚,1954,1954,false,Shandong,,,,,,Shandong [1],,,,,,,,,,,,
2895,苑森,1958,1958,false,Northeast,,,,,,,,,,Northeast [1],,,,,,,,
3462,杜明新,1958,1958,false,Beijing,,,,,,,,,,Beijing [1],,,,,,,,
6227,战强,1964,1965,false,Beijing,,,,,,,,,,,,,,,,Beijing [1],Beijing [1],
1607,王存生,1953,1953,true,Shanghai (private),,,,,Shanghai (private) [1],,,,,,,,,,,,,
3262,沈寂,1958,1958,false,Shanghai (state),,,,,,,,,,Shanghai (state) [1],,,,,,,,
3136,韩永昌,1958,1961,false,Beijing,,,,,,,,,,Beijing [2] & Anhui [1],,,Anhui [1],,,,,
5879,刘声远,1963,1963,false,Shanghai (state),,,,,,,,,,,,,,,Shanghai (state) [1],,,
3138,王亚耕,1958,1958,false,Beijing / Anhui,,,,,,,,,,Beijing [1] & Anhui [1],,,,,,,,
3323,魏宗林,1958,1958,false,Shanghai (state),,,,,,,,,,Shanghai (state) [1],,,,,,,,
3316,李志高,1958,1958,false,Shanghai (state),,,,,,,,,,Shanghai (state) [1],,,,,,,,
6033,王金山,1963,1963,false,Beijing,,,,,,,,,,,,,,,Beijing [1],,,
2623,马崇仁,1957,1957,false,Beijing,,,,,,,,,Beijing [1],,,,,,,,,
6104,朱锦华,1964,1964,false,Hong Kong / Northeast,,,,,,,,,,,,,,,,Northeast [1] & Hong Kong [1],,
5365,吴素英,1962,1962,false,Beijing / Hong Kong,,,,,,,,,,,,,,Hong Kong [1] & Beijing [1],,,,
4621,桑平,1960,1962,false,Beijing,,,,,,,,,,,,Beijing [2],,Beijing [1],,,,
1544,娜雷,1953,1953,false,Beijing,,,,,Beijing [1],,,,,,,,,,,,,
2801,许陆初,1957,1960,false,Beijing,,,,,,,,,Beijing [1],Beijing [2],Beijing [1],Beijing [1],,,,,,
823,刘佳,1950,1950,false,Beijing,,Beijing [1],,,,,,,,,,,,,,,,
4327,赵金闹,1960,1960,false,Northeast,,,,,,,,,,,,Northeast [1],,,,,,
154,赵鸿钧,1949,1950,false,Northeast,Northeast [1],Northeast [2],,,,,,,,,,,,,,,,
1208,费俊痒,1951,1951,false,Shanghai (state),,,Shanghai (state) [1],,,,,,,,,,,,,,,
710,金保生,1950,1953,false,Beijing,,Beijing [1],Beijing [1],,Beijing [1],,,,,,,,,,,,,
3175,何宁康,1958,1958,false,Shanghai (state),,,,,,,,,,Shanghai (state) [1],,,,,,,,
2019,张蝶芬,1955,1955,false,Beijing,,,,,,,Beijing [1],,,,,,,,,,,
2862,王炳彧,1957,1966,false,Beijing,,,,,,,,,Beijing [1],,,Beijing [1],Beijing [1],Beijing [2],Beijing [1],,Beijing [2],Beijing [1]
3560,任文秀,1959,1959,false,Northeast,,,,,,,,,,,Northeast [1],,,,,,,
6534,周连章,1965,1965,false,Beijing,,,,,,,,,,,,,,,,,Beijing [1],
2251,张德勋,1956,1956,false,Northeast,,,,,,,,Northeast [1],,,,,,,,,,
6443,崔广林,1965,1965,false,Northeast,,,,,,,,,,,,,,,,,Northeast [1],
1659,巴彦芳,1954,1954,false,Northeast,,,,,,Northeast [1],,,,,,,,,,,,
128,刘武县,1949,1950,false,Northeast,Northeast [1],Northeast [3],,,,,,,,,,,,,,,,
4346,杨吉松,1960,1960,false,Northeast,,,,,,,,,,,,Northeast [1],,,,,,
3350,邢云亭,1958,1958,false,Shanghai (state),,,,,,,,,,Shanghai (state) [1],,,,,,,,
330,郭玲,1949,1951,true,Shanghai (private),Shanghai (private) [1],Northeast [2],Northeast [1],,,,,,,,,,,,,,,
5402,黄宗洛,1962,1962,false,Beijing,,,,,,,,,,,,,,Beijing [1],,,,
5328,孙敬修,1962,1962,false,Beijing,,,,,,,,,,,,,,Beijing [1],,,,
6854,徐清,1966,1966,false,Canton,,,,,,,,,,,,,,,,,,Canton [1]
1673,吴子存,1954,1954,false,Northeast,,,,,,Northeast [1],,,,,,,,,,,,
2240,赵丽蓉,1956,1963,false,Northeast,,,,,,,,Northeast [1],,,,,,,Northeast [1],,,
