id,name,debut,last,pri,dg,yr,cat,lat,long
0,王滨,1949,1959,false,Northeast,1949,Northeast,43.95183,125.37517
0,王滨,1949,1959,false,Northeast,1950,Northeast,44.15444,125.49794
0,王滨,1949,1959,false,Northeast,1951,Stay,43.82954,125.39290
0,王滨,1949,1959,false,Northeast,1952,Stay,44.16462,125.40092
0,王滨,1949,1959,false,Northeast,1953,Stay,44.26169,125.79526
0,王滨,1949,1959,false,Northeast,1954,Stay,43.83439,125.47054
0,王滨,1949,1959,false,Northeast,1955,Northeast,44.04666,125.50885
0,王滨,1949,1959,false,Northeast,1956,Northeast,43.86969,125.74800
0,王滨,1949,1959,false,Northeast,1957,Stay,44.14614,125.81505
0,王滨,1949,1959,false,Northeast,1958,Northeast,44.09566,125.43562
0,王滨,1949,1959,false,Northeast,1959,Northeast,43.82138,125.61524
1,于敏,1949,1962,false,Northeast,1949,Northeast,44.19790,125.66688
1,于敏,1949,1962,false,Northeast,1950,Northeast,43.83952,125.53621
1,于敏,1949,1962,false,Northeast,1951,Stay,44.07882,125.43517
1,于敏,1949,1962,false,Northeast,1952,Stay,43.98707,125.52007
1,于敏,1949,1962,false,Northeast,1953,Stay,44.05761,125.55329
1,于敏,1949,1962,false,Northeast,1954,Northeast,44.16117,125.33080
1,于敏,1949,1962,false,Northeast,1955,Stay,44.08981,125.78007
1,于敏,1949,1962,false,Northeast,1956,Stay,44.29627,125.77482
1,于敏,1949,1962,false,Northeast,1957,Stay,43.83394,125.34273
1,于敏,1949,1962,false,Northeast,1958,Northeast,43.82353,125.37751
1,于敏,1949,1962,false,Northeast,1959,Stay,44.24591,125.50385
1,于敏,1949,1962,false,Northeast,1960,Stay,44.25370,125.77877
1,于敏,1949,1962,false,Northeast,1961,Stay,43.93982,125.57069
1,于敏,1949,1962,false,Northeast,1962,Northeast,43.81994,125.71154
2,王家乙,1949,1965,false,Northeast,1949,Northeast,44.31328,125.82080
2,王家乙,1949,1965,false,Northeast,1950,Northeast,43.91680,125.60495
2,王家乙,1949,1965,false,Northeast,1951,Northeast,43.89943,125.72323
2,王家乙,1949,1965,false,Northeast,1952,Northeast,43.82384,125.61025
2,王家乙,1949,1965,false,Northeast,1953,Stay,44.07386,125.56686
2,王家乙,1949,1965,false,Northeast,1954,Stay,43.90776,125.68237
2,王家乙,1949,1965,false,Northeast,1955,Northeast,44.11440,125.66909
2,王家乙,1949,1965,false,Northeast,1956,Stay,44.15604,125.76199
2,王家乙,1949,1965,false,Northeast,1957,Northeast,44.18472,125.72684
2,王家乙,1949,1965,false,Northeast,1958,Northeast,44.00636,125.59448
2,王家乙,1949,1965,false,Northeast,1959,Northeast,44.08816,125.58919
2,王家乙,1949,1965,false,Northeast,1960,Northeast,44.00158,125.79025
2,王家乙,1949,1965,false,Northeast,1961,Northeast,44.11757,125.77657
2,王家乙,1949,1965,false,Northeast,1962,Stay,43.81758,125.37840
2,王家乙,1949,1965,false,Northeast,1963,Stay,44.00887,125.44468
2,王家乙,1949,1965,false,Northeast,1964,Stay,44.18294,125.33054
2,王家乙,1949,1965,false,Northeast,1965,Northeast,43.89138,125.69329
3,吕班,1949,1957,false,Northeast,1949,Northeast,44.13330,125.33488
3,吕班,1949,1957,false,Northeast,1950,Beijing,40.30448,116.73324
3,吕班,1949,1957,false,Northeast,1951,Beijing,40.00938,116.56586
3,吕班,1949,1957,false,Northeast,1952,Northeast,43.93610,125.61301
3,吕班,1949,1957,false,Northeast,1953,Stay,44.23206,125.48362
3,吕班,1949,1957,false,Northeast,1954,Northeast,44.20290,125.73811
3,吕班,1949,1957,false,Northeast,1955,Beijing,40.22990,116.66544
3,吕班,1949,1957,false,Northeast,1956,Northeast,44.05017,125.73827
3,吕班,1949,1957,false,Northeast,1957,Northeast,43.98616,125.42382
4,江浩,1949,1950,false,Northeast,1949,Northeast,43.92493,125.44566
4,江浩,1949,1950,false,Northeast,1950,Northeast,44.00614,125.37207
5,陈强,1949,1965,false,Northeast,1949,Northeast,44.03990,125.72473
5,陈强,1949,1965,false,Northeast,1950,Northeast,44.27013,125.48466
5,陈强,1949,1965,false,Northeast,1951,Stay,43.82328,125.73951
5,陈强,1949,1965,false,Northeast,1952,Stay,43.97726,125.76216
5,陈强,1949,1965,false,Northeast,1953,Northeast,44.25352,125.40028
5,陈强,1949,1965,false,Northeast,1954,Beijing,40.37804,116.75928
5,陈强,1949,1965,false,Northeast,1955,Stay,40.16830,116.55397
5,陈强,1949,1965,false,Northeast,1956,Stay,39.93645,116.58456
5,陈强,1949,1965,false,Northeast,1957,Stay,39.93597,116.87887
