city,geo_category,latitude,longitude,total_films,year,films_in_year,colour_film_ratio_in_year,suggested_plot_size
Changchun,Northeast,43.816,125.3236,188,1949-12-31,6,0.0,60.0
Changchun,Northeast,43.816,125.3236,188,1950-12-31,13,0.0,130.0
Changchun,Northeast,43.816,125.3236,188,1951-12-31,1,0.0,10.0
Changchun,Northeast,43.816,125.3236,188,1952-12-31,2,0.0,20.0
Changchun,Northeast,43.816,125.3236,188,1953-12-31,4,0.0,40.0
Changchun,Northeast,43.816,125.3236,188,1954-12-31,8,0.0,80.0
Changchun,Northeast,43.816,125.3236,188,1955-12-31,10,0.0,100.0
Changchun,Northeast,43.816,125.3236,188,1956-12-31,15,0.0,150.0
Changchun,Northeast,43.816,125.3236,188,1957-12-31,14,0.07142857142857142,140.0
Changchun,Northeast,43.816,125.3236,188,1958-12-31,31,0.12903225806451613,310.0
Changchun,Northeast,43.816,125.3236,188,1959-12-31,26,0.46153846153846156,260.0
Changchun,Northeast,43.816,125.3236,188,1960-12-31,16,0.0625,160.0
Changchun,Northeast,43.816,125.3236,188,1961-12-31,6,0.3333333333333333,60.0
Changchun,Northeast,43.816,125.3236,188,1962-12-31,5,0.4,50.0
Changchun,Northeast,43.816,125.3236,188,1963-12-31,9,0.3333333333333333,90.0
Changchun,Northeast,43.816,125.3236,188,1964-12-31,8,0.625,80.0
Changchun,Northeast,43.816,125.3236,188,1965-12-31,12,0.5,120.0
Changchun,Northeast,43.816,125.3236,188,1966-12-31,2,0.5,20.0
Beijing,Beijing,39.9042,116.4074,171,1949-12-31,0,0.0,0.0
Beijing,Beijing,39.9042,116.4074,171,1950-12-31,6,0.0,60.0
Beijing,Beijing,39.9042,116.4074,171,1951-12-31,3,0.0,30.0
Beijing,Beijing,39.9042,116.4074,171,1952-12-31,2,0.0,20.0
Beijing,Beijing,39.9042,116.4074,171,1953-12-31,2,0.0,20.0
Beijing,Beijing,39.9042,116.4074,171,1954-12-31,3,0.0,30.0
Beijing,Beijing,39.9042,116.4074,171,1955-12-31,3,0.3333333333333333,30.0
Beijing,Beijing,39.9042,116.4074,171,1956-12-31,8,0.5,80.0
Beijing,Beijing,39.9042,116.4074,171,1957-12-31,11,0.45454545454545453,110.0
Beijing,Beijing,39.9042,116.4074,171,1958-12-31,23,0.21739130434782608,230.0
Beijing,Beijing,39.9042,116.4074,171,1959-12-31,21,0.6666666666666666,210.0
Beijing,Beijing,39.9042,116.4074,171,1960-12-31,19,0.42105263157894735,190.0
Beijing,Beijing,39.9042,116.4074,171,1961-12-31,7,0.5714285714285714,70.0
Beijing,Beijing,39.9042,116.4074,171,1962-12-31,14,0.35714285714285715,140.0
Beijing,Beijing,39.9042,116.4074,171,1963-12-31,12,0.25,120.0
Beijing,Beijing,39.9042,116.4074,171,1964-12-31,15,0.5333333333333333,150.0
