city,geo_category,latitude,longitude,total_films,year,films_in_year,colour_film_ratio_in_year,suggested_plot_size
Shanghai,Shanghai (roc),-706.0,1606.0,4,1949-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1950-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1951-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1952-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1953-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1954-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1955-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1956-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1957-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1958-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1959-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1960-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1961-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1962-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1963-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1964-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1965-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),-706.0,1606.0,4,1966-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1949-12-31,35,0.029411764705882353,350.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1950-12-31,23,0.0,230.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1951-12-31,21,0.0,210.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1952-12-31,4,0.0,40.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1953-12-31,3,0.0,30.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1954-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1955-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1956-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1957-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1958-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1959-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1960-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1961-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1962-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1963-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1964-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1965-12-31,0,0.0,0.0
Shanghai,Shanghai (private),-708.0,1605.0,86,1966-12-31,0,0.0,0.0
Changchun,Northeast,-536.0,1648.0,189,1949-12-31,6,0.0,60.0
Changchun,Northeast,-536.0,1648.0,189,1950-12-31,13,0.0,130.0
Changchun,Northeast,-536.0,1648.0,189,1951-12-31,1,0.0,10.0
Changchun,Northeast,-536.0,1648.0,189,1952-12-31,2,0.0,20.0
Changchun,Northeast,-536.0,1648.0,189,1953-12-31,4,0.0,40.0
Changchun,Northeast,-536.0,1648.0,189,1954-12-31,8,0.0,80.0
Changchun,Northeast,-536.0,1648.0,189,1955-12-31,10,0.0,100.0
Changchun,Northeast,-536.0,1648.0,189,1956-12-31,15,0.0,150.0
Changchun,Northeast,-536.0,1648.0,189,1957-12-31,14,0.07142857142857142,140.0
Changchun,Northeast,-536.0,1648.0,189,1958-12-31,32,0.125,320.0
Changchun,Northeast,-536.0,1648.0,189,1959-12-31,26,0.46153846153846156,260.0
Changchun,Northeast,-536.0,1648.0,189,1960-12-31,16,0.0625,160.0
Changchun,Northeast,-536.0,1648.0,189,1961-12-31,6,0.3333333333333333,60.0
Changchun,Northeast,-536.0,1648.0,189,1962-12-31,5,0.4,50.0
Changchun,Northeast,-536.0,1648.0,189,1963-12-31,9,0.3333333333333333,90.0
Changchun,Northeast,-536.0,1648.0,189,1964-12-31,8,0.625,80.0
Changchun,Northeast,-536.0,1648.0,189,1965-12-31,12,0.5,120.0
Changchun,Northeast,-536.0,1648.0,189,1966-12-31,2,0.5,20.0
Beijing,Beijing,-584.0,1555.0,172,1949-12-31,0,0.0,0.0
Beijing,Beijing,-584.0,1555.0,172,1950-12-31,6,0.0,60.0
Beijing,Beijing,-584.0,1555.0,172,1951-12-31,3,0.0,30.0
Beijing,Beijing,-584.0,1555.0,172,1952-12-31,2,0.0,20.0
Beijing,Beijing,-584.0,1555.0,172,1953-12-31,2,0.0,20.0
Beijing,Beijing,-584.0,1555.0,172,1954-12-31,3,0.0,30.0
Beijing,Beijing,-584.0,1555.0,172,1955-12-31,3,0.3333333333333333,30.0
Beijing,Beijing,-584.0,1555.0,172,1956-12-31,8,0.5,80.0
