city,geo_category,latitude,longitude,total_films,year,films_in_year,colour_film_ratio_in_year,suggested_plot_size
Shanghai,Shanghai (roc),31.048,121.7493,2,1949-12-31,2,0.0,0.1
Shanghai,Shanghai (roc),31.048,121.7493,2,1950-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1951-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1952-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1953-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1954-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1955-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1956-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1957-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1958-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1959-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1960-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1961-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1962-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1963-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1964-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1965-12-31,0,0.0,0.0
Shanghai,Shanghai (roc),31.048,121.7493,2,1966-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1949-12-31,23,0.08333333333333333,1.1500000000000001
Shanghai,Shanghai (private),31.0324,121.2265,67,1950-12-31,21,0.0,1.05
Shanghai,Shanghai (private),31.0324,121.2265,67,1951-12-31,16,0.0,0.8
Shanghai,Shanghai (private),31.0324,121.2265,67,1952-12-31,4,0.0,0.2
Shanghai,Shanghai (private),31.0324,121.2265,67,1953-12-31,3,0.0,0.15000000000000002
Shanghai,Shanghai (private),31.0324,121.2265,67,1954-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1955-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1956-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1957-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1958-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1959-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1960-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1961-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1962-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1963-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1964-12-31,0,0.0,0.0
Shanghai,Shanghai (private),31.0324,121.2265,67,1965-12-31,0,0.0,0.0
