city,geo_category,latitude,longitude,total_films,year,films_in_year,colour_film_ratio_in_year,suggested_plot_size
Shanghai,Shanghai (roc),31.048,121.7493,4,1949-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1950-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1951-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1952-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1953-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1954-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1955-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1956-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1957-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1958-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1959-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1960-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1961-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1962-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1963-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1964-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1965-12-31,4,0.0,40.0
Shanghai,Shanghai (roc),31.048,121.7493,4,1966-12-31,4,0.0,40.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1949-12-31,35,0.029411764705882353,350.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1950-12-31,58,0.017543859649122806,580.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1951-12-31,79,0.01282051282051282,790.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1952-12-31,83,0.012195121951219513,830.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1953-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1954-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1955-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1956-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1957-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1958-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1959-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1960-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1961-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1962-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1963-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1964-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1965-12-31,86,0.011764705882352941,860.0
Shanghai,Shanghai (private),31.0324,121.2265,86,1966-12-31,86,0.011764705882352941,860.0
Changchun,Northeast,43.816,125.3236,189,1949-12-31,6,0.0,60.0
Changchun,Northeast,43.816,125.3236,189,1950-12-31,19,0.0,190.0
Changchun,Northeast,43.816,125.3236,189,1951-12-31,20,0.0,200.0
Changchun,Northeast,43.816,125.3236,189,1952-12-31,22,0.0,220.0
Changchun,Northeast,43.816,125.3236,189,1953-12-31,26,0.0,260.0
Changchun,Northeast,43.816,125.3236,189,1954-12-31,34,0.0,340.0
Changchun,Northeast,43.816,125.3236,189,1955-12-31,44,0.0,440.0
Changchun,Northeast,43.816,125.3236,189,1956-12-31,59,0.0,590.0
Changchun,Northeast,43.816,125.3236,189,1957-12-31,73,0.0136986301369863,730.0
Changchun,Northeast,43.816,125.3236,189,1958-12-31,105,0.047619047619047616,1050.0
Changchun,Northeast,43.816,125.3236,189,1959-12-31,131,0.1297709923664122,1310.0
Changchun,Northeast,43.816,125.3236,189,1960-12-31,147,0.12244897959183673,1470.0
Changchun,Northeast,43.816,125.3236,189,1961-12-31,153,0.13071895424836602,1530.0
Changchun,Northeast,43.816,125.3236,189,1962-12-31,158,0.13924050632911392,1580.0
Changchun,Northeast,43.816,125.3236,189,1963-12-31,167,0.1497005988023952,1670.0
Changchun,Northeast,43.816,125.3236,189,1964-12-31,175,0.17142857142857143,1750.0
Changchun,Northeast,43.816,125.3236,189,1965-12-31,187,0.1925133689839572,1870.0
Changchun,Northeast,43.816,125.3236,189,1966-12-31,189,0.19576719576719576,1890.0
Beijing,Beijing,39.9042,116.4074,172,1949-12-31,0,0.0,0.0
