Source,Target,Weight,SourceName,TargetName
30,4,5,"Soviet Union & Northeast","Beijing"
7,4,4,"Anhui","Beijing"
19,4,1,"Sichuan","Beijing"
30,0,2,"Soviet Union & Northeast","Shanghai (state)"
42,19,1,"Sichuan & Northeast","Sichuan"
4,8,2,"Beijing","Shanghai (private)"
8,32,1,"Shanghai (private)","Shanghai (state) & Shandong"
34,1,8,"Xi'an & Northeast","Northeast"
1,10,2,"Northeast","Hubei"
21,16,6,"Shanghai (state) & Xinjiang","Xinjiang"
23,4,1,"Shandong","Beijing"
31,4,1,"Shanghai (state) & Canton","Beijing"
38,4,3,"Beijing & Shanghai (state)","Beijing"
8,27,2,"Shanghai (private)","Shanghai (state) & Northeast"
4,31,1,"Beijing","Shanghai (state) & Canton"
1,23,2,"Northeast","Shandong"
16,4,2,"Xinjiang","Beijing"
8,1,35,"Shanghai (private)","Northeast"
16,1,2,"Xinjiang","Northeast"
29,8,5,"Shanghai (roc) & Shanghai (private)","Shanghai (private)"
17,1,1,"Shanghai (state) & Jiangsu","Northeast"
36,1,7,"Gansu & Northeast","Northeast"
1,3,1,"Northeast","Shanghai (state) & Anhui"
1,35,4,"Northeast","Beijing & Tianjin"
4,27,1,"Beijing","Shanghai (state) & Northeast"
1,12,1,"Northeast","Hong Kong & Canton"
1,0,80,"Northeast","Shanghai (state)"
6,7,1,"Beijing & Anhui","Anhui"
4,33,4,"Beijing","Hong Kong & Northeast"
32,0,2,"Shanghai (state) & Shandong","Shanghai (state)"
0,4,71,"Shanghai (state)","Beijing"
1,11,33,"Northeast","Xi'an"
8,30,1,"Shanghai (private)","Soviet Union & Northeast"
1,4,198,"Northeast","Beijing"
16,0,1,"Xinjiang","Shanghai (state)"
0,30,4,"Shanghai (state)","Soviet Union & Northeast"
10,12,7,"Hubei","Hong Kong & Canton"
0,12,4,"Shanghai (state)","Hong Kong & Canton"
1,38,1,"Northeast","Beijing & Shanghai (state)"
11,1,3,"Xi'an","Northeast"
23,12,1,"Shandong","Hong Kong & Canton"
27,4,1,"Shanghai (state) & Northeast","Beijing"
0,23,8,"Shanghai (state)","Shandong"
8,13,5,"Shanghai (private)","Shanghai (state) & Hong Kong"
11,16,1,"Xi'an","Xinjiang"
4,9,9,"Beijing","Canton"
1,8,2,"Northeast","Shanghai (private)"
4,18,1,"Beijing","Shanghai (state) & Hubei"
0,8,5,"Shanghai (state)","Shanghai (private)"
6,21,1,"Beijing & Anhui","Shanghai (state) & Xinjiang"
9,4,4,"Canton","Beijing"
1,9,7,"Northeast","Canton"
8,19,2,"Shanghai (private)","Sichuan"
31,9,2,"Shanghai (state) & Canton","Canton"
28,1,1,"Inner Mongolia & Northeast","Northeast"
29,1,1,"Shanghai (roc) & Shanghai (private)","Northeast"
19,0,1,"Sichuan","Shanghai (state)"
17,0,1,"Shanghai (state) & Jiangsu","Shanghai (state)"
8,11,1,"Shanghai (private)","Xi'an"
5,1,2,"Beijing & Northeast","Northeast"
0,9,27,"Shanghai (state)","Canton"
23,13,1,"Shandong","Shanghai (state) & Hong Kong"
4,42,1,"Beijing","Sichuan & Northeast"
1,24,1,"Northeast","Zhejiang"
4,0,42,"Beijing","Shanghai (state)"
7,13,3,"Anhui","Shanghai (state) & Hong Kong"
0,11,5,"Shanghai (state)","Xi'an"
14,4,1,"Xi'an & Qinghai","Beijing"
1,17,2,"Northeast","Shanghai (state) & Jiangsu"
13,0,3,"Shanghai (state) & Hong Kong","Shanghai (state)"
0,19,3,"Shanghai (state)","Sichuan"
1,20,2,"Northeast","Beijing & Xi'an"
38,0,1,"Beijing & Shanghai (state)","Shanghai (state)"
0,33,3,"Shanghai (state)","Hong Kong & Northeast"
1,19,2,"Northeast","Sichuan"
4,16,3,"Beijing","Xinjiang"
11,4,4,"Xi'an","Beijing"
8,26,1,"Shanghai (private)","Beijing & Hong Kong"
8,23,3,"Shanghai (private)","Shandong"
0,16,2,"Shanghai (state)","Xinjiang"
8,9,2,"Shanghai (private)","Canton"
24,0,3,"Zhejiang","Shanghai (state)"
27,1,3,"Shanghai (state) & Northeast","Northeast"
0,7,11,"Shanghai (state)","Anhui"
1,26,2,"Northeast","Beijing & Hong Kong"
5,4,5,"Beijing & Northeast","Beijing"
1,6,1,"Northeast","Beijing & Anhui"
16,17,1,"Xinjiang","Shanghai (state) & Jiangsu"
25,4,1,"Beijing & Xinjiang","Beijing"
35,4,6,"Beijing & Tianjin","Beijing"
37,0,1,"Beijing & Western Europe","Shanghai (state)"
7,0,2,"Anhui","Shanghai (state)"
38,30,1,"Beijing & Shanghai (state)","Soviet Union & Northeast"
1,25,1,"Northeast","Beijing & Xinjiang"
8,7,2,"Shanghai (private)","Anhui"
8,4,29,"Shanghai (private)","Beijing"
0,35,3,"Shanghai (state)","Beijing & Tianjin"
8,0,285,"Shanghai (private)","Shanghai (state)"
20,11,1,"Beijing & Xi'an","Xi'an"
43,4,1,"Beijing & Hubei","Beijing"
4,11,10,"Beijing","Xi'an"
27,0,1,"Shanghai (state) & Northeast","Shanghai (state)"
4,19,4,"Beijing","Sichuan"
9,1,2,"Canton","Northeast"
8,12,2,"Shanghai (private)","Hong Kong & Canton"
8,3,1,"Shanghai (private)","Shanghai (state) & Anhui"
4,7,5,"Beijing","Anhui"
35,1,1,"Beijing & Tianjin","Northeast"
0,34,1,"Shanghai (state)","Xi'an & Northeast"
39,4,1,"Beijing & Sichuan","Beijing"
26,4,10,"Beijing & Hong Kong","Beijing"
0,1,64,"Shanghai (state)","Northeast"
22,0,1,"Tianjin","Shanghai (state)"
15,0,15,"Shanghai (roc)","Shanghai (state)"
23,0,10,"Shandong","Shanghai (state)"
3,7,1,"Shanghai (state) & Anhui","Anhui"
0,5,2,"Shanghai (state)","Beijing & Northeast"
42,1,1,"Sichuan & Northeast","Northeast"
4,10,1,"Beijing","Hubei"
9,0,2,"Canton","Shanghai (state)"
4,34,2,"Beijing","Xi'an & Northeast"
38,7,1,"Beijing & Shanghai (state)","Anhui"
19,9,1,"Sichuan","Canton"
19,13,1,"Sichuan","Shanghai (state) & Hong Kong"
