Source,Target,Weight,SourceName,TargetName,StartYear,EndYear
0,1,2,"Shanghai (state) & Anhui","Shanghai (state)",1959,1963
2,3,2,"","Canton",1957,1962
2,4,2,"","Northeast",1949,1955
5,3,1,"Shanghai (private)","Canton",1950,1964
2,1,5,"","Shanghai (state)",1955,1959
2,4,4,"","Northeast",1949,1954
2,1,2,"","Shanghai (state)",1955,1958
2,4,1,"","Northeast",1949,1953
2,1,2,"","Shanghai (state)",1955,1957
2,1,5,"","Shanghai (state)",1955,1956
4,1,1,"Northeast","Shanghai (state)",1952,1954
2,4,1,"","Northeast",1949,1958
2,4,1,"","Northeast",1949,1957
6,7,1,"Beijing","Hubei",1956,1960
4,4,8,"Northeast","Northeast",1957,1959
4,4,101,"Northeast","Northeast",1957,1958
2,4,1,"","Northeast",1949,1962
2,4,1,"","Northeast",1949,1960
6,6,12,"Beijing","Beijing",1959,1963
6,6,24,"Beijing","Beijing",1959,1962
6,6,34,"Beijing","Beijing",1959,1961
6,6,126,"Beijing","Beijing",1959,1960
4,8,1,"Northeast","Xi'an",1961,1962
6,6,1,"Beijing","Beijing",1959,1964
2,1,2,"","Shanghai (state)",1955,1960
4,6,1,"Northeast","Beijing",1951,1954
2,9,7,"","Anhui",1958,1961
2,4,10,"","Northeast",1950,1958
2,4,1,"","Northeast",1950,1959
2,4,1,"","Northeast",1949,1965
10,10,1,"Sichuan","Sichuan",1960,1962
2,4,1,"","Northeast",1949,1963
2,1,1,"","Shanghai (state)",1955,1965
5,11,1,"Shanghai (private)","Shanghai (state) & Hong Kong",1951,1963
2,4,7,"","Northeast",1950,1956
12,3,3,"Hong Kong & Canton","Canton",1962,1965
2,4,3,"","Northeast",1950,1957
2,4,18,"","Northeast",1950,1954
2,4,10,"","Northeast",1950,1955
12,3,1,"Hong Kong & Canton","Canton",1962,1964
2,4,17,"","Northeast",1950,1952
2,4,20,"","Northeast",1950,1953
2,4,12,"","Northeast",1950,1951
6,4,1,"Beijing","Northeast",1956,1957
2,11,2,"","Shanghai (state) & Hong Kong",1955,1963
2,13,1,"","Beijing & Hong Kong",1961,1962
2,4,2,"","Northeast",1950,1960
1,6,1,"Shanghai (state)","Beijing",1958,1960
6,6,1,"Beijing","Beijing",1952,1963
6,6,1,"Beijing","Beijing",1952,1966
2,6,5,"","Beijing",1960,1961
6,6,1,"Beijing","Beijing",1952,1965
