GeoCategory,Year,Count,Colour,Length
Beijing,1957,7,0.14285714285714285,7.285714285714286
Beijing,1956,5,0.2,7.8
Beijing,1959,17,0.6470588235294118,10.235294117647058
Beijing,1958,18,0.16666666666666666,9.38888888888889
All,1960,45,0.17777777777777778,9.6
All,1961,21,0.3333333333333333,10.25
Beijing,1951,3,0.0,10.666666666666666
Beijing,1950,5,0.0,7.6
Beijing,1953,2,0.0,9.0
Beijing,1952,2,0.0,11.5
Canton,1958,1,0.0,5.0
Beijing,1955,1,0.0,4.0
Canton,1959,1,0.0,7.0
Northeast,1949,6,0.0,9.5
Beijing,1954,2,0.0,8.5
All,1964,25,0.44,10.32
All,1965,23,0.17391304347826086,10.391304347826088
All,1962,25,0.28,9.92
All,1963,31,0.12903225806451613,10.333333333333334
All,1966,9,0.1111111111111111,9.222222222222221
Shanghai (state),1950,2,0.0,9.5
Shanghai (state),1951,6,0.0,9.833333333333334
Shanghai (state),1952,1,0.0,13.0
All,1950,42,0.0,10.074074074074074
Shanghai (state),1957,15,0.2,10.0
Beijing,1960,15,0.26666666666666666,9.8
Shanghai (state),1958,22,0.045454545454545456,8.5
Shanghai (state),1959,20,0.45,10.055555555555555
Beijing,1962,13,0.3076923076923077,9.692307692307692
Beijing,1961,6,0.5,10.666666666666666
Shanghai (state),1953,1,0.0,12.0
Xi'an,1961,2,0.0,10.0
Beijing,1964,11,0.45454545454545453,9.727272727272727
Shanghai (state),1954,10,0.0,9.7
Xi'an,1960,5,0.2,9.0
Beijing,1963,9,0.1111111111111111,10.555555555555555
Shanghai (state),1955,8,0.0,10.375
Xi'an,1963,1,0.0,12.0
Beijing,1966,5,0.2,10.0
Shanghai (state),1956,13,0.0,9.846153846153847
Xi'an,1962,2,0.0,9.5
Beijing,1965,10,0.0,10.9
Xi'an,1965,1,0.0,10.0
Xi'an,1964,1,1.0,12.0
All,1959,63,0.49206349206349204,10.081967213114755
Xi'an,1966,1,0.0,4.0
All,1953,9,0.0,9.555555555555555
All,1954,18,0.0,9.666666666666666
All,1951,31,0.0,9.882352941176471
All,1952,9,0.0,11.125
All,1957,33,0.15151515151515152,9.121212121212121
All,1958,65,0.1076923076923077,8.828125
All,1955,17,0.0,9.647058823529411
All,1956,31,0.03225806451612903,8.774193548387096
Shanghai (state),1960,9,0.3333333333333333,10.333333333333334
Shanghai (state),1961,6,0.3333333333333333,10.4
Shanghai (state),1962,6,0.3333333333333333,9.833333333333334
Shanghai (state),1963,12,0.08333333333333333,10.454545454545455
Northeast,1966,1,0.0,8.0
Northeast,1965,6,0.3333333333333333,9.833333333333334
Northeast,1964,5,0.4,10.8
Northeast,1963,7,0.2857142857142857,9.857142857142858
Shanghai (state),1964,8,0.5,10.875
Shanghai (state),1965,6,0.3333333333333333,10.166666666666666
Shanghai (state),1966,1,0.0,8.0
All,1949,44,0.0,10.0
Xi'an,1959,2,0.0,7.5
Northeast,1962,3,0.3333333333333333,10.0
Northeast,1961,5,0.4,10.0
Northeast,1960,10,0.0,9.5
Northeast,1959,21,0.5238095238095238,10.523809523809524
Northeast,1958,24,0.125,8.869565217391305
Northeast,1957,11,0.09090909090909091,9.090909090909092
Northeast,1956,13,0.0,8.076923076923077
Northeast,1955,8,0.0,9.625
Northeast,1954,6,0.0,10.0
Northeast,1953,3,0.0,9.333333333333334
Northeast,1952,2,0.0,10.0
Canton,1964,2,0.5,11.0
Shanghai (private),1949,34,0.0,10.75
Canton,1966,1,0.0,13.0
Shanghai (private),1951,21,0.0,10.571428571428571
Shanghai (private),1952,4,0.0,11.0
Shanghai (private),1953,3,0.0,9.333333333333334
Canton,1960,3,0.0,9.0
Canton,1962,1,0.0,13.0
Canton,1963,2,0.0,9.5
Northeast,1951,1,0.0,3.0
Northeast,1950,13,0.0,10.0
Shanghai (private),1950,22,0.0,12.142857142857142
