GeoCategory,Count,Colour,Length
Gansu,1,0.0,9.0
Hunan,1,0.0,12.0
Shanghai (roc),4,0.0,NaN
Hong Kong,16,0.75,12.4
Inner Mongolia,2,0.5,11.5
Shanghai (private),86,0.011764705882352941,10.958333333333334
Anhui,6,0.16666666666666666,9.333333333333334
Shandong,2,0.0,9.5
Xi'an,22,0.13636363636363635,9.181818181818182
Western Europe,1,1.0,10.0
Xinjiang,5,0.4,9.4
Tianjin,2,0.5,12.5
Beijing,172,0.38372093023255816,9.552941176470588
Sichuan,3,0.3333333333333333,10.333333333333334
Shanghai (state),224,0.23660714285714285,9.495412844036696
Hubei,5,0.2,10.25
Zhejiang,1,0.0,7.0
Jiangsu,2,0.0,11.0
Qinghai,1,0.0,9.0
Canton,25,0.36,9.458333333333334
Soviet Union,1,1.0,21.0
Northeast,189,0.19576719576719576,9.585106382978724
