Studio,Year,Count,Colour,Length
Northeast Film Studio,1952,2,0.0,10.0
Datong Film Company,1949,6,0.0,11.0
Northeast Film Studio,1953,3,0.0,9.333333333333334
Northeast Film Studio,1950,13,0.0,10.0
Beijing Film Studio,1966,3,0.3333333333333333,11.0
Northeast Film Studio,1951,1,0.0,3.0
Beijing Film Studio,1965,5,0.0,11.6
Beijing Film Studio,1964,6,0.6666666666666666,9.5
Beijing Film Studio,1963,4,0.25,11.0
Beijing Film Studio,1962,6,0.5,9.833333333333334
Beijing Film Studio,1961,3,0.6666666666666666,11.666666666666666
August First Film Studio,1966,2,0.0,8.5
Northeast Film Studio,1949,6,0.0,9.5
Haiyan Film Studio,1960,6,0.5,10.166666666666666
August First Film Studio,1965,5,0.0,10.2
August First Film Studio,1964,5,0.2,10.0
August First Film Studio,1963,5,0.0,10.2
August First Film Studio,1962,7,0.14285714285714285,9.571428571428571
August First Film Studio,1961,3,0.3333333333333333,9.666666666666666
August First Film Studio,1960,7,0.2857142857142857,9.714285714285714
Tianma Film Studio,1960,5,0.4,10.6
Tianma Film Studio,1961,3,0.3333333333333333,11.0
Tianma Film Studio,1962,4,0.25,8.75
Tianma Film Studio,1963,6,0.16666666666666666,10.666666666666666
Haiyan Film Studio,1966,1,0.0,8.0
Tianma Film Studio,1964,3,0.3333333333333333,11.0
Haiyan Film Studio,1965,3,0.3333333333333333,10.0
Haiyan Film Studio,1964,5,0.6,10.8
Tianma Film Studio,1965,3,0.3333333333333333,10.333333333333334
Haiyan Film Studio,1963,6,0.0,10.2
Haiyan Film Studio,1962,2,0.5,12.0
Haiyan Film Studio,1961,3,0.3333333333333333,10.0
Tianma Film Studio,1958,7,0.14285714285714285,7.857142857142857
Xi'an Film Studio,1960,5,0.2,9.0
Tianma Film Studio,1959,8,0.25,9.714285714285714
Xi'an Film Studio,1961,2,0.0,10.0
Datong Film Company,1951,2,0.0,10.0
Datong Film Company,1950,2,0.0,NaN
Xi'an Film Studio,1964,1,1.0,12.0
Xi'an Film Studio,1965,1,0.0,10.0
Beijing Film Studio,1959,8,0.75,11.0
Xi'an Film Studio,1962,2,0.0,9.5
Beijing Film Studio,1958,6,0.5,9.833333333333334
Xi'an Film Studio,1963,1,0.0,12.0
Jiangnan Film Studio,1957,5,0.4,10.4
Beijing Film Studio,1956,1,1.0,10.0
Beijing Film Studio,1954,2,0.0,8.5
Jiangnan Film Studio,1958,6,0.0,9.5
Beijing Film Studio,1953,2,0.0,9.0
Beijing Film Studio,1952,2,0.0,11.5
Beijing Film Studio,1951,3,0.0,10.666666666666666
Beijing Film Studio,1950,5,0.0,7.6
Beijing Film Studio,1960,7,0.2857142857142857,10.857142857142858
Xi'an Film Studio,1959,2,0.0,7.5
Tianma Film Studio,1957,5,0.2,10.0
Haiyan Film Studio,1959,12,0.5833333333333334,10.272727272727273
Haiyan Film Studio,1958,9,0.0,8.333333333333334
Northeast Film Studio,1954,6,0.0,10.0
Haiyan Film Studio,1957,5,0.0,9.6
Wenhua Film Company,1952,1,0.0,11.0
Wenhua Film Company,1951,5,0.0,10.666666666666666
Changchun Film Studio,1960,10,0.0,9.5
Wenhua Film Company,1953,1,0.0,10.0
Changchun Film Studio,1961,5,0.4,10.0
Changchun Film Studio,1962,3,0.3333333333333333,10.0
Changchun Film Studio,1963,7,0.2857142857142857,9.857142857142858
Wenhua Film Company,1950,5,0.0,12.75
Changchun Film Studio,1964,5,0.4,10.8
Changchun Film Studio,1965,6,0.3333333333333333,9.833333333333334
Guotai Film Company,1951,4,0.0,12.0
Guotai Film Company,1950,6,0.0,NaN
Changchun Film Studio,1966,1,0.0,8.0
Pearl River Film Studio,1958,1,0.0,5.0
Pearl River Film Studio,1959,1,0.0,7.0
Guotai Film Company,1949,5,0.0,NaN
Changchun Film Studio,1955,8,0.0,9.625
Changchun Film Studio,1956,13,0.0,8.076923076923077
Changchun Film Studio,1957,11,0.09090909090909091,9.090909090909092
Changchun Film Studio,1958,24,0.125,8.869565217391305
Changchun Film Studio,1959,21,0.5238095238095238,10.523809523809524
Pearl River Film Studio,1966,1,0.0,13.0
Pearl River Film Studio,1963,2,0.0,9.5
Pearl River Film Studio,1964,2,0.5,11.0
Pearl River Film Studio,1962,1,0.0,13.0
Pearl River Film Studio,1960,3,0.0,9.0
Xi'an Film Studio,1966,1,0.0,4.0
Shanghai Film Studio,1955,8,0.0,10.375
Shanghai Film Studio,1956,13,0.0,9.846153846153847
Wenhua Film Company,1949,3,0.0,11.0
Shanghai Film Studio,1950,2,0.0,9.5
August First Film Studio,1959,9,0.5555555555555556,9.555555555555555
Shanghai Film Studio,1953,1,0.0,12.0
August First Film Studio,1958,12,0.0,9.166666666666666
Shanghai Film Studio,1954,10,0.0,9.7
August First Film Studio,1957,5,0.0,8.8
Shanghai Film Studio,1951,6,0.0,9.833333333333334
August First Film Studio,1956,2,0.0,9.0
Shanghai Film Studio,1952,1,0.0,13.0
August First Film Studio,1955,1,0.0,4.0
