Studio,Count,Colour,Length
东华影业公司,2,0.0,NaN
Jiangsu Film Studio,2,0.0,11.0
启华影片公司 (Hong Kong),1,0.0,NaN
Shandong Film Studio,2,0.0,9.5
Hunan Film Studio,1,0.0,12.0
Zhejiang Film Studio,1,0.0,7.0
华星影业公司 (Hong Kong),1,0.0,NaN
Xinjiang Film Studio,5,0.4,9.4
嘉年影业公司,3,0.0,NaN
雷电影业公司,1,0.0,NaN
大华电影企业公司,1,0.0,NaN
Hong Kong Dapeng Film Company,3,1.0,12.666666666666666
Shanghai Animation Film Studio,3,1.0,2.6666666666666665
Garance Productions (France),1,1.0,10.0
Tianjin Film Studio,2,0.5,12.5
August First Film Studio,74,0.25675675675675674,9.356164383561644
华光影业制片厂,1,0.0,NaN
Changjiang-Kunlun Associated Film Studio,3,0.0,9.666666666666666
Tianma Film Studio,69,0.30434782608695654,9.515151515151516
Qinghai Film Studio,1,0.0,9.0
Emei Film Studio,3,0.3333333333333333,10.333333333333334
Northeast Film Studio,34,0.0,9.352941176470589
Wenhua Film Company,16,0.0625,11.5
Jiangnan Film Studio,23,0.08695652173913043,9.304347826086957
Guotai Film Company,15,0.0,12.0
Haiyan Film Studio,76,0.3157894736842105,9.917808219178083
中央电影摄影场一厂,2,0.0,NaN
Xi'an Film Studio,22,0.13636363636363635,9.181818181818182
Changjiang Film Studio,3,0.0,10.0
Central Newsreel and Documentary Film Studio,6,0.16666666666666666,8.333333333333334
Hong Kong Hongtu Film Company,6,0.3333333333333333,11.0
Datong Film Company,10,0.0,10.5
中央电影摄影场二厂,2,0.0,NaN
华东影片经理公司,1,0.0,NaN
新时代影业公司 (Hong Kong),2,0.0,NaN
Hong Kong Changhong Film Company,1,1.0,11.0
中企影艺社,3,0.0,NaN
Anhui Film Studio,6,0.16666666666666666,9.333333333333334
Da Guangming Film Company,4,0.0,11.0
Shanghai Film Studio,55,0.09090909090909091,9.4
Wuhan Film Studio,5,0.2,10.25
Moscow Film Studio,1,1.0,21.0
Kunlun Film Company,8,0.0,10.833333333333334
中联影业公司 (Hong Kong),1,0.0,NaN
华侨影业公司 (Hong Kong),2,0.0,NaN
Beijing Film Studio,91,0.5164835164835165,10.144444444444444
惠昌商务有限公司,2,0.0,NaN
远东影业公司,1,0.0,NaN
Studio of Beijing Film Academy,3,0.3333333333333333,3.3333333333333335
嘉华影业公司,1,0.0,NaN
新中华影业公司,3,0.0,NaN
Hong Kong Jinsheng Film Company,4,1.0,13.75
中国五彩电影实验工场,2,0.0,NaN
Inner Mongolia Film Studio,2,0.5,11.5
Hong Kong Fanhua Film Company,2,1.0,13.5
Lanzhou Film Studio,1,0.0,9.0
Changchun Film Studio,155,0.23870967741935484,9.636363636363637
黎明影业公司,1,0.0,NaN
Pearl River Film Studio,25,0.36,9.458333333333334
Harbin Film Studio,1,1.0,12.0
