Id,Label,GeoCategory,Affilations,Main Role,All Roles,Debut Year,Debut Region,Debut at Private Studio,lat,lon
0,"王滨","Northeast","Northeast Film Studio (2) & Changchun Film Studio (4)","Director","Director (4) & Scriptwriter (2) & Acting (1)",1949,"Northeast","False",43.20651291173163,126.24362914436779
1,"于敏","Northeast","Northeast Film Studio (4) & Changchun Film Studio (2)","Scriptwriter","Scriptwriter (6)",1949,"Northeast","False",44.75950121463936,125.6568660322038
2,"王家乙","Northeast","Northeast Film Studio (5) & Changchun Film Studio (8) & Beijing Film Studio (1) & Garance Productions (France) (1) & Emei Film Studio (1)","Director","Acting (2) & Director (11) & Scriptwriter (5)",1949,"Northeast","False",43.04056419286514,124.43388622672994
3,"吕班","Northeast","Northeast Film Studio (4) & Beijing Film Studio (2) & Central Newsreel and Documentary Film Studio (1) & Changchun Film Studio (3)","Director","Acting (2) & 副导演 (1) & Director (8) & Scriptwriter (2)",1949,"Northeast","False",44.304878686177844,126.11718422630888
4,"江浩","Northeast","Northeast Film Studio (3)","Acting","剧务 (1) & Acting (2) & 剧务主任 (1) & 副制片主任 (1)",1949,"Northeast","False",44.18675539825401,124.72139670628896
5,"陈强","Northeast","Northeast Film Studio (4) & Beijing Film Studio (4) & Changchun Film Studio (6) & Tianma Film Studio (2)","Acting","Acting (16)",1949,"Northeast","False",42.93973692926584,126.20077922399454
6,"杜德夫","Northeast","Northeast Film Studio (9) & Changchun Film Studio (2) & Beijing Film Studio (5)","Acting","Acting (16)",1949,"Northeast","False",43.835739408388775,125.45405329139005
7,"于洋","Beijing","Northeast Film Studio (5) & Beijing Film Studio (12) & Shanghai Film Studio (1) & Changchun Film Studio (1) & August First Film Studio (1) & Pearl River Film Studio (1)","Acting","Acting (21)",1949,"Northeast","False",38.93284004693213,116.48999862202308
8,"鲁非","Beijing","Northeast Film Studio (9) & Beijing Film Studio (11) & Tianjin Film Studio (1) & Xinjiang Film Studio (1)","Acting","Acting (20)",1949,"Northeast","False",40.64761117835766,116.2419875588972
9,"傅杰","Northeast","Northeast Film Studio (6) & Beijing Film Studio (4)","Acting","Acting (7) & Director (3) & Scriptwriter (1)",1949,"Northeast","False",44.37591394776729,124.49290947354457
