Id,Label,GeoCategory,Affilations,Main Role,All Roles
0,"黄粲","Northeast","Changchun Film Studio (2)","Director","Director (2) & Scriptwriter (1)"
1,"王家乙","Northeast","Changchun Film Studio (1)","Director","Director (1)"
2,"凌鹤","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
3,"潘凤霞","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
4,"董庆祁","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
5,"乐一生","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
6,"杨桂仙","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
7,"邹莉莉","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
8,"祝盛增","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
9,"熊中彬","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
10,"王春泉","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
11,"张晕","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
12,"史维钩","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
13,"刘金乃","Northeast","Changchun Film Studio (3)","美术","美工 (1) & 美术 (2)"
14,"乘舟","Northeast","Changchun Film Studio (1)","音乐","音乐 (1)"
15,"张禹田","Northeast","Changchun Film Studio (2)","音乐设计 | 音乐","音乐 (1) & 音乐设计 (1)"
16,"林秉成","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
17,"张凤侣","Northeast","Changchun Film Studio (2)","录音","录音 (2)"
18,"赖静","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
19,"赵心水","Northeast","Changchun Film Studio (2)","Director","Director (2)"
20,"常甄华","Northeast","Changchun Film Studio (2)","Acting | 副导演 | Director","Director (1) & Acting (1) & 副导演 (1)"
21,"第四创作组集体创作-张天民","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)"
22,"刘世龙","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
23,"潘德民","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
24,"恩和森","Northeast","Changchun Film Studio (2) & Xi'an Film Studio (1)","Acting","Acting (2)"
25,"李希达","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
26,"贺小书","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
27,"赵文瑜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
28,"方化","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
29,"许蓝","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
30,"吴凤兰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
31,"刘永臻","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
32,"王桂枝","Northeast","Changchun Film Studio (2)","美工","美工 (2)"
33,"雷振邦","Northeast","Changchun Film Studio (2)","作曲","作曲 (2)"
34,"隋锡忠","Northeast","Changchun Film Studio (3)","录音","录音 (3)"
35,"尹升山","Northeast","Changchun Film Studio (6)","指挥","指挥 (6)"
36,"王逸","Northeast","Changchun Film Studio (1)","Director","Director (1)"
37,"任颐","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
38,"夏佩杰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
39,"郭小晞","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
40,"张辉","Northeast","Changchun Film Studio (4)","Acting","Acting (4)"
41,"金伯海","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
42,"沙娜","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
43,"张凤来","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
44,"李万城","Northeast","Changchun Film Studio (5)","Acting","Acting (5)"
45,"梁音","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
46,"张勤箴","Northeast","Changchun Film Studio (2)","Acting","Acting (2)"
47,"刘振中","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
48,"蓝群","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
49,"徐迅行","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
50,"王延盛","Northeast","Changchun Film Studio (3)","Acting","Acting (3)"
51,"章薇","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
52,"汪一之","Northeast","Changchun Film Studio (2)","摄影","摄影 (2)"
53,"李俊杰","Northeast","Changchun Film Studio (1)","美术","美术 (1)"
54,"林雪松","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)"
55,"阎冀","Northeast","Changchun Film Studio (2)","录音","录音 (2)"
56,"张凤翔","Northeast","Changchun Film Studio (2)","Acting | 副导演","副导演 (1) & Acting (1)"
57,"陈戈","Northeast","Changchun Film Studio (2)","Acting | Director","Director (1) & Acting (1)"
58,"林栋志","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
59,"王梅金","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
60,"林元","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
61,"陈兆加","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
62,"朱金顺","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
63,"王国金","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
64,"傅清连","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
65,"傅起云","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
66,"吴国相","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
67,"黄瑞椿","Northeast","Changchun Film Studio (1)","Acting","Acting (1)"
68,"冯桂庭","Northeast","Changchun Film Studio (1)","摄影","摄影 (1)"
69,"李凡","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
70,"王继贤","Northeast","Changchun Film Studio (1)","美工","美工 (1)"
71,"陈其芬","Northeast","Changchun Film Studio (4)","作曲","音乐设计 (1) & 作曲 (2) & 配曲 (1)"
72,"申顾礼","Northeast","Changchun Film Studio (1)","录音","录音 (1)"
73,"韩敏","Northeast","Changchun Film Studio (1)","副导演","副导演 (1)"
74,"袁乃晨","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting | Director","Director (1) & Acting (1)"
75,"李西林","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Scriptwriter","Scriptwriter (1)"
76,"白德彰","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (1)"
