ye lai feng yu sheng,新时代影业公司 (Hong Kong),Shanghai (private)
sen lin da xue an,中企影艺社,Shanghai (private)
han shan si zhong sheng,中企影艺社,Shanghai (private)
nian nian ru yi,华光影业制片厂,Shanghai (private)
tong xin jie,嘉年影业公司,Shanghai (private)
e ren xing,嘉年影业公司,Shanghai (private)
nv er chun,Datong Film Company,Shanghai (private)
ren shou zhi jian,嘉年影业公司,Shanghai (private)
ren zai wu yan xia,华侨影业公司 (Hong Kong),Shanghai (private)
nv da heng,黎明影业公司,Shanghai (private)
tai ping qiao de nu chao,新中华影业公司,Shanghai (private)
jiang cun you xia zhuan,新中华影业公司,Shanghai (private)
da jia huan xi,新中华影业公司,Shanghai (private)
huan nan fu qi,Da Guangming Film Company,Shanghai (private)
hun yan da shi,惠昌商务有限公司,Shanghai (private)
san bai liu shi hang,Da Guangming Film Company,Shanghai (private)
shuo huang de zhang fu,东华影业公司,Shanghai (private)
yin yang jie,东华影业公司,Shanghai (private)
shi liu hong,中国五彩电影实验工场,Shanghai (private)
zhi bu guo shi ai qing,中国五彩电影实验工场,Shanghai (private)
da lei yu,远东影业公司,Shanghai (private)
ye ying qu,雷电影业公司,Shanghai (private)
shi li chuan jia,Da Guangming Film Company,Shanghai (private)
ying mi zhuan,Datong Film Company,Shanghai (private)
zi you tian di,Datong Film Company,Shanghai (private)
tai tai wen ti,Guotai Film Company,Shanghai (private)
huan tian xi di,Datong Film Company,Shanghai (private)
die lian hua,Datong Film Company,Shanghai (private)
wang chuan qiu shui,Datong Film Company,Shanghai (private)
shi qu de ai qing,Datong Film Company,Shanghai (private)
yi xiang tian kai,Guotai Film Company,Shanghai (private)
nv zei,嘉华影业公司,Shanghai (private)
wan huo de nv ren,大华电影企业公司,Shanghai (private)
sheng ming jiao xiang qu,Guotai Film Company,Shanghai (private)
yue ju jing hua,Wenhua Film Company,Shanghai (private)
xun meng ji,中央电影摄影场一厂,Shanghai (state)
shi er xiao shi de qi ji,Guotai Film Company,Shanghai (private)
xi ying chun,中央电影摄影场二厂,Shanghai (state)
xi wang zai ren jian,Kunlun Film Company,Shanghai (private)
qiao,Northeast Film Studio,Northeast
hui dao zi ji dui wu lai,Northeast Film Studio,Northeast
guang mang wan zhang,Northeast Film Studio,Northeast
zhong hua nv er,Northeast Film Studio,Northeast
bai yi zhan shi,Northeast Film Studio,Northeast
wu xing de zhan xian,Northeast Film Studio,Northeast
biao,Wenhua Film Company,Shanghai (private)
er bai wu xiao zhuan,Datong Film Company,Shanghai (private)
wu ya yu ma que,Kunlun Film Company,Shanghai (private)
san mao liu lang ji,Kunlun Film Company,Shanghai (private)
zhao yi man,Northeast Film Studio,Northeast
guang rong ren jia,Northeast Film Studio,Northeast
wei guo bao jia,Northeast Film Studio,Northeast
hong qi ge,Northeast Film Studio,Northeast
gang tie zhan shi,Northeast Film Studio,Northeast
gao ge meng jin,Northeast Film Studio,Northeast
liu hu lan,Northeast Film Studio,Northeast
liao yuan de xiang cun,Northeast Film Studio,Northeast
nei meng ren min de sheng li,Northeast Film Studio,Northeast
bai mao nv,Northeast Film Studio,Northeast
ren min de zhan shi,Northeast Film Studio,Northeast
bao wei sheng li guo shi,Northeast Film Studio,Northeast
zai qian jin de dao lu shang,Northeast Film Studio,Northeast
lv liang ying xiong,Beijing Film Studio,Beijing
gui shen bu ling,Beijing Film Studio,Beijing
min zhu qing nian jin xing qu,Beijing Film Studio,Beijing
er nv qin shi,Beijing Film Studio,Beijing
