key,full name
梁树魁,梁树魁(Liang Shukui)
中央新闻纪录电影制片厂合唱队,中央新闻纪录电影制片厂合唱队(Central News Documentary Film Studio Chorus)
胡晓光,胡晓光(Hu Xiaoguang)
王爱焕,王爱焕(Wang Aihuan)
吴必克,吴必克(Wu Bike)
丁一,丁一(Ding Yi)
徐润,徐润(Xu Run)
杨振兴,杨振兴(Yang Zhenxing)
白德彰,白德彰(Bai Dezhang)
葛伟卿,葛伟卿(Ge Weiqing)
于钟黎,于钟黎(Yu Zhongli)
黄虹,黄虹(Huang Hong)
姚长安,姚长安(Yao Zhangan)
张丙生,张丙生(Zhang Bingsheng)
庄严,庄严(Zhuang Yan)
孙勇刚,孙勇刚(Sun Yonggang)
苑森,苑森(Yuan Sen)
杜明新,杜明新(Du Mingxin)
战强,战强(Zhan Qiang)
王存生,王存生(Wang Cunsheng)
沈寂,沈寂(Shen Ji)
韩永昌,韩永昌(Han Yongchang)
刘声远,刘声远(Liu Shengyuan)
王亚耕,王亚耕(Wang Yageng)
魏宗林,魏宗林(Wei Zonglin)
李志高,李志高(Li Zhigao)
王金山,王金山(Wang Jinshan)
马崇仁,马崇仁(Ma Chongren)
朱锦华,朱锦华(Zhu Jinhua)
吴素英,吴素英(Wu Suying)
桑平,桑平(Sang Ping)
娜雷,娜雷(Na Lei)
许陆初,许陆初(Xu Luchu)
刘佳,刘佳(Liu Jia)
赵金闹,赵金闹(Zhao Jinnao)
长影管弦乐队,长影管弦乐队(Long Shadow Orchestra)
赵鸿钧,赵鸿钧(Zhao Hongjun)
费俊痒,费俊痒(Fei Junyang)
金保生,金保生(Jin Baosheng)
何宁康,何宁康(He Ningkang)
张蝶芬,张蝶芬(Zhang Diefen)
王炳彧,王炳彧(Wang Bingyu)
任文秀,任文秀(Ren Wenxiu)
周连章,周连章(Zhou Lianzhang)
张德勋,张德勋(Zhang Dexun)
崔广林,崔广林(Cui Guanglin)
巴彦芳,巴彦芳(Ba Yanfang)
刘武县,刘武县(Liu Wuxian)
杨吉松,杨吉松(Yang Jisong)
邢云亭,邢云亭(Xing Yunting)
郭玲,郭玲(Guo Ling)
黄宗洛,黄宗洛(Huang Zongluo)
孙敬修,孙敬修(Sun Jingxiu)
徐清,徐清(Xu Qing)
吴子存,吴子存(Wu Zicun)
赵丽蓉,赵丽蓉(Zhao Lirong)
陶玉玲,陶玉玲(Tao Yuling)
方世燕,方世燕(Fang Shiyan)
赵彦,赵彦(Zhao Yan)
徐剑云,徐剑云(Xu Jianyun)
小六龄童,小六龄童(Zhang Jinxing)
法斯特·加布列拉,法斯特·加布列拉(Fast Gabriela (Spanish; src))
白杨,白杨(Bai Yang)
玉英,玉英(Yu Ying)
赵彬,赵彬(Zhao Bin)
王芳,王芳(Wang Fang)
土尔逊,土尔逊(Tu Erxun)
毛烽,毛烽(Mao Feng)
冯湘茹,冯湘茹(Feng Xiangru)
徐渭,徐渭(Xu Wei)
肖湘,肖湘(Xiao Xiang)
陈新为,陈新为(Chen Xinwei)
京剧一团乐队,京剧一团乐队(Peking Opera Orchestra)
上海实验歌剧院合唱队,上海实验歌剧院合唱队(Shanghai Experimental Opera House Chorus)
