哈尔滨之夏(音乐舞蹈）, 长春电影制片厂摄制,彩色 7本,导演：荣 磊{LINE_CUT}摄影：郭镇铤 {LINE_CUT}美工：徐渭{LINE_CUT}录音：韩维钧 {LINE_CUT}制片：常德荣{LINE_CUT}化妆：李景文{LINE_CUT}剪接：唐国儒,,影片纪录了一九六五年八月黑龙江省第五届音乐、舞蹈观摩演出会的部分节目。
雁鸿岭下, 长春电影制片厂摄制,黑白 8本,编剧：杨佩瑾{LINE_CUT}导演：常甄华 {LINE_CUT}摄影：常彦{LINE_CUT}美术：王崇、王继贤 {LINE_CUT}作曲：全如玢{LINE_CUT}作词：乔羽{LINE_CUT}指挥：国亮、吴致光,史健-杨青琥{LINE_CUT}赵文瑜-徐老师 {LINE_CUT}白德彰-青琥爸爸{LINE_CUT}张园-青琥妈妈 {LINE_CUT}陈燕-青妞{LINE_CUT}徐牧-王小刚 {LINE_CUT}周文彬-徐工程师{LINE_CUT}李亚林-舰长{LINE_CUT}庄焰-奶奶{LINE_CUT}李瑛-魏兰 ,雁鸿岭下铁路职工子弟学校的五年级学生杨青琥，一心想做一个黄继光式的英雄人物，对平凡劳动不重视，有一次山洪暴发.他主动参加抗洪，认为干这样的事才算英雄。后来在徐老师的说服下，才转为帮助妈妈为旅客服务。{LINE_CUT}暑假期间，徐老师带领“少年服务队”驾船把草袋送到铁路抢修工地，她有意识地派青琥单独给大桥工地送信。青琥起初不愿，后来勉强接受了任务。徐老师在信中委托自己的父亲徐工程师，结合工地先进事迹对青琥进行教育，从而帮助青琥搞清楚了做平凡工作和学习英雄的关系。青琥的认识提高后，积极参加了车站少年服务队的工作，为旅客们做了许多好事。
红色邮路,北京电影制片厂摄制,黑白 10本,编剧：集体创作，马尔路执笔{LINE_CUT}导演：马尔路{LINE_CUT}摄影：陈国梁{LINE_CUT}美术：程荣远 {LINE_CUT}作曲：郑律成{LINE_CUT}录音：傅英杰 {LINE_CUT}剪辑：杨宗琦{LINE_CUT}化妆：吴燕{LINE_CUT}制片：黄非{LINE_CUT}照明：蒋国良{LINE_CUT}合唱：中国人民解放军海军政治部文工团歌剧团合唱队{LINE_CUT}演奏：北京电影乐团{LINE_CUT}指挥：姚关荣,李百万-于长水{LINE_CUT}李连生-秦立明 {LINE_CUT}郑保民-王礼和{LINE_CUT}杜德夫-郭林 {LINE_CUT}黄非-赵文长{LINE_CUT}侯冠群-孙明义{LINE_CUT}李春荣-王义德{LINE_CUT}袁玫-王玉莲 {LINE_CUT}于中义-李志华{LINE_CUT}阎增和-会计 {LINE_CUT}张莹-吴新成{LINE_CUT}周森冠-李师傅 {LINE_CUT}安震江-张治上{LINE_CUT}王善尊-小王 {LINE_CUT}俞立文-姜万林{LINE_CUT}袁其励-张金凤,京西山区某邮电支局投递组组长于长水，不辞辛苦，在群众的帮助下，将一封“瞎信”送到收信人手里，使在旧社会失散了二十多年的亲人得到团聚，山区人民迫切希望能看到当天报纸。思想保守的老邮递员王礼和主张增添邮递员。于长水则提出新的投递线路，得到领导和群众的支持。刚参加工作不久的初中毕业生秦立明，出于青年人的热情，坚持要走这条新邮路。不慎在大雪纷飞的严冬摔伤了脚。因此产生了畏难情绪。王礼和以此为理由继续反对于长水的建议。这时，于长水主动提出和小秦调换线路，并且还开辟了新邮路，使山区人民看到了当天的报纸。于长水的模范行动，感动了小秦和老王。由于于长水工作十六年如一日，在平凡的工作中作出了很大的成绩，被评选为“五好职工”，全邮局掀起了一个向于长水学习的运动。
女飞行员,北京电影制片厂摄制,彩色 12本,编剧：冯德英{LINE_CUT}导演：成荫、董克娜 {LINE_CUT}摄影：高洪涛{LINE_CUT}美术，俞翼如 {LINE_CUT}作曲：黄河、丁家岐{LINE_CUT}录音：刘士达{LINE_CUT}演奏：空军政治部文工团管弦乐队{LINE_CUT}指挥：王世儒,许燕-林雪征{LINE_CUT}李玲修-杨巧妹 {LINE_CUT}陈祖荣-项菲{LINE_CUT}哈子刚-王政委 {LINE_CUT}赵振涛-杨德{LINE_CUT}刘惦晨-郭华翔 {LINE_CUT}韩秀黎-杨巧妹母{LINE_CUT}曾静-李檬 {LINE_CUT}仲玉兰-于虹{LINE_CUT}周素萍-肖玲玲 {LINE_CUT}丹兵-校长,{LINE_CUT}革命烈士的后代林雪征和来自农村、在旧社会当过童养媳的杨巧妹，以及出身于教师家庭的中学生项非，三个女青年考入了空军航校学飞行。林雪征和杨巧妹文化水平低，在学习航空理论时遇到了困难。在飞行训练中，林雪征又因腿部负过伤，在飞机着陆时产生了“左偏”难点，面临被淘汰的可能。项菲虽然文化水平较高，理论学习较好，但沾染了资产阶级思想，自信好胜，参加过二万五千里长征的航校王政委，针对每个人的不同情况，给予不同的教育和帮助。杨巧妹从毛主席著作《愚公移山》中找到了攻克理论难关的力量，经过勤学苦练，第一个飞上了天。林雪征顽强地练腿功，终于克服了“左偏”难点。项菲在第一次放单飞时没合格，加之男朋友-资本家的儿子李檬的影响，在困难面前动摇了，想离开部队。经过党组织的教育和同志们的帮助，终于树立了为人民服务的思想，最后也飞上了天。
红石钟声,北京电影制片厂摄制,黑白 11本,改编：房纯如、杨舒慧{LINE_CUT}导演：傅杰 {LINE_CUT}摄影：聂晶{LINE_CUT}美工：秦威 {LINE_CUT}作曲：秦咏诚{LINE_CUT}录音：王韵华 {LINE_CUT}剪辑：王诚、李敏{LINE_CUT}照明：颜燕铭{LINE_CUT}置景：王春朴{LINE_CUT}化妆：邵杰{LINE_CUT}服装：姜锦明{LINE_CUT}道具：谢庆恒{LINE_CUT}副导演：于清{LINE_CUT}制片：胡其明{LINE_CUT}演奏：新影乐团{LINE_CUT}指挥：冯光涛{LINE_CUT}独唱：李双江、李谷一{LINE_CUT}合唱：中央乐团{LINE_CUT}指挥：秋里,田 丹-郭长青{LINE_CUT}于绍康-车富 {LINE_CUT}鲁非-公社书记{LINE_CUT}齐桂荣-车凤 {LINE_CUT}黄 魁-小奎{LINE_CUT}康桂秋-郭妻 {LINE_CUT}侯冠群-郭 宏{LINE_CUT}徐景山-梁志强 {LINE_CUT}赵炎-李成武{LINE_CUT}江 丹-李三嫂 {LINE_CUT}王炳彧-徐海波{LINE_CUT}李荣春-张福 {LINE_CUT}李孟尧-傅万成{LINE_CUT}佟明林-贾玉花 ,五年前，郭长青从红石村调到富屯来当领导之后，富屯真的富了，而红石在满足于现状的队长车富的领导下，生产则停滞不前，于是公社党委决定，把郭长青再调回红石任党支书，让他在红石为全公社树起一面治山治水的大旗。郭长青说服老伴放弃在富屯好不容易才盖起的三间新房，共同来到红石。{LINE_CUT}郭长青与车富从小一起给地主扛活，解放后又共同搞土改，闹合作化。如今长青的儿子郭宏和车富的女儿车凤订了婚，俩人又成了儿女亲家。在郭长青回红石的前夕，经人介绍，车富续了外村的贾玉花为妻。贾玉花刚来到车家，就乘车富不在家时偷着动用了队里的公款为自家买了羊。{LINE_CUT}郭长青来到红石后，决定修建扬水站，把大龙湾的水引上山解决这里十年九旱的问题。对此，红石的干部、群众都很高兴而车富却对这个计划很不满意，他说郭长青是故意要把红石搞垮，贾玉花乘机挑拨说：“他搞垮了红石，还有个退路，人家在富屯把大新房子盖起来了，儿子又住上了工厂，你能和人家比。”并以此鼓动车富，去拉石头为自家盖羊圈。{LINE_CUT}修扬水站的工程开始后，公社要给工程拨一笔贷款，被郭长静拒绝了，他决定自力更生，亲往富屯筹备资金。郭长青走后，贾玉花打着车富的名义从扬水站工地抽了七、八个劳力为她家盖羊圈，车凤因此与父亲、继母闹翻，被撵出家门。此时工地上的人们也因受了车富的影响，纷纷离开工地，有的去搞小开荒、有的上山刨药材、有的去赶集……。车凤见此情景，索性在工地住了下来。就在这时，郭长青回来了。原来他去富屯卖了自己的新房，为扬水站买了柴油机，还把儿子郭宏从工厂领到红石来参加生产建设。当车富得知这些真情后，深为郭长青的行为所感动，郭长青又进一步对他进行了诚恳的帮助，并告诉他，经过公社调查和本队社员张福的证实，贾玉花是个隐瞒成份的富农分子。这一切使车富清醒过来，他和贾玉花断绝了关系，并令她等候处理，自己和郭长青一起投入了建设扬水站的工作。{LINE_CUT}
他们在成长,海燕电影制片厂摄制,黑白 8本,编剧：费礼文{LINE_CUT}导演：天然、赵焕章 {LINE_CUT}摄影：彭恩礼{LINE_CUT}美术：仲永清 {LINE_CUT}作曲：王云阶、梁寒光 录音：刘广阶{LINE_CUT}剪辑：张淳{LINE_CUT}化妆：沈克强{LINE_CUT}制片：张万春{LINE_CUT}演奏：上影乐团{LINE_CUT}指挥：宋光海,虞桂春-李小松{LINE_CUT}江山-赵师傅 {LINE_CUT}仲星火-张阿根{LINE_CUT}李明-杨玉华 {LINE_CUT}金肇渠-刘小捷{LINE_CUT}于振寰-马少武 {LINE_CUT}姚德冰-小周{LINE_CUT}唐学芳-张金娣 ,“长江”发电厂扩建工地的青年小组长李小松，为了加速安装工程，团结群众，大搞技术革新，研究成功了代替手工操作的“电动坡口机”。青工刘小捷，追求个人荣誉，独自试制“轻便弯管机”，想一鸣惊人，和李争高低，李几次要帮助他解决弯管机的技术困难，刘认为李是想来分享他的荣誉而冷言拒绝。一次，刘小捷使用尚未成功的弯管机弯坏了一根管子，被检查出来，他怕丢面子，不敢承认。后来，在一个风雨之夜，李小松在绑扎布篷时被那根弯坏的管子碰伤了手腕。刘小捷为此很难过，经过李小松和老工人对他的教育，他承认了错误。最后，刘小捷在李小松的帮助下，将弯管机试制成功。
山村新苗,上海美术电影制片厂摄制,黑白 4本,编剧：包 蕾、章超群 导演：章超群 {LINE_CUT}摄影：朱丁元、乔元正 作曲：段时俊、吴应炬,,影片表现了农村少年儿童以行政村建队的好处，以及在党、团组织的关怀和带领下，少先队员们在力所能及的情况下参加了三大革命的实践和生动丰富的社会活动，从而使他们在德智体名方面都得到了发展。
上海工艺美术,上海美术电影制片厂摄制,彩色 1本,导演：詹同渲{LINE_CUT}摄影：钟立人 {LINE_CUT}背景设计：王昌诚{LINE_CUT}作曲：陈钟驹,,影片纪录了一九六六年上海工艺美术展览会上的部分作品。{LINE_CUT}
一百个放心(话剧),八一电影制片厂摄制,黑白 8本,编剧：解放军南京6297部队、战士业余小话剧队{LINE_CUT}导演：陈鹰 {LINE_CUT}摄影：陈俊{LINE_CUT}美工：费兰心 {LINE_CUT}作曲：龙溪{LINE_CUT}录音：郭大震 {LINE_CUT}合唱：南京6387部队四连{LINE_CUT}演奏：南京6472部队战士乐队{LINE_CUT}指挥：夫泉,,本片由三个独幕话剧组成。{LINE_CUT}《一对红的故事》{LINE_CUT}刺杀标兵雷大海和新战士江小冬结成了“一对红”，练刺杀时小冬不愿练基本功，一心想学“花花动作”，大海虽然对他诚恳相劝，但因没抓准问题所在，两人反而闹翻了。在班长的帮助下，大海找到了小冬不愿练基本功的原因，是他不知道练基本功的重要性。小冬的思想问题解决了，大海、小冬又言归于好。{LINE_CUT}《烧煤问题》{LINE_CUT}在连续三年保持五好食堂称号的先进集体里，矿工出身的战士小王提出改灶节煤的建议，但在试用新灶时遇到了阻力，炊事员小李嫌烧新灶麻烦，又觉得节约一铲半铲煤没什么意义，炊事班长怕试验新灶影响四好评比。小王通过算节约账和讲述旧社会煤矿工人的悲惨命运，使小王和班长的思想转变过来，终于将新灶试验成功。{LINE_CUT}《-百个放心》{LINE_CUT}一位家属老爷爷到部队看孙子。他孙子在家时娇生惯养，老爷爷担心他过不惯部队生活，怕他闯祸。老爷爷来到部队后，看到孙子当了五好战士，从“不放心”变成“一百个放心”。
青春红似火(话剧),八一电影制片厂摄制,黑白 9本,编剧：济南部队前卫话剧团、歌剧团{LINE_CUT}导演：王苹{LINE_CUT},主要演员：洪万生、王志刚、柳成 ,《在工地上》{LINE_CUT}王杰带伤参加国防施工.施工中出现了险情，王杰和战友们一起学习《毛主席语录》，他不顾危险，亲自排除险石。{LINE_CUT}《革命战友》{LINE_CUT}王杰所在的二排暂缺排长，新战士小牛满以为王杰班长该提升了，不料提升的却是一排副周洪。王杰却表示以张思德为榜样，为了革命事业，不计较个人得失，在军事训练中，王杰主张抓政治思想工作，结果使全班的军事训练取得了好成绩。{LINE_CUT}《青春红似火》{LINE_CUT}部队在农村野营十五天中，王杰替社员做好事，辅导他们学习毛主席著作。在帮助民兵训练爆破时，炸药包发生意外事故，他为掩护十二个民兵而英勇牺牲。
游乡(河南曲剧),珠江电影制片厂摄制,彩色 6本,编剧：河南省项城影剧剧目组，赵淑忍执笔{LINE_CUT}导演：谭友六{LINE_CUT}摄影：沈民辉{LINE_CUT}美工：黄炽铭 {LINE_CUT}音乐设计：吕宪增、王咏声{LINE_CUT}录音：林光 {LINE_CUT}舞台导演：马德山{LINE_CUT}副导演：罗树琪{LINE_CUT}剪辑：冯惠林{LINE_CUT}化妆：雷静{LINE_CUT}绘景：谢兰昆{LINE_CUT}制片主任：徐双修{LINE_CUT}伴奏：河南省曲剧团乐队{LINE_CUT}演出：河南省曲剧团,王秀玲-杜娟{LINE_CUT}马金婵-王大嫂 {LINE_CUT}耿庚辰-姚三元,供销社售货员杜娟经常送货下乡，深受群众欢迎。一天杜娟下乡卖货时，从王大嫂买的一把梳子发现联营组售货员姚三元把降价货物按原价卖，从中投机赚钱，急忙追赶姚三元。姚三元心中有鬼，见杜娟追来，挑担逃跑，慌乱中掉了钱包，恰被随后赶来作证的王大嫂拾到。{LINE_CUT}杜娟追上姚三元之后，批评姚的错误。开始姚三元还搪塞.抵赖，王大嫂赶到后，当面揭发了姚三元的投机行为，姚只得承认，并要把卖梳子多赚的钱退还给王大嫂，但当他拿钱时，发现钱包丢了，急忙寻找，王大嫂把捡到的钱包还给了他。在杜娟和王大嫂的帮助下，姚三元终于认识了错误，保证以后不再干这种投机的事，还要把多赚的钱全部退还给买主。
