桥,东北电影制片厂摄制,黑白 10本,编剧：于敏{LINE_CUT}导演：王滨{LINE_CUT}摄影：包杰{LINE_CUT}美术：刘学尧{LINE_CUT}作曲：何士德{LINE_CUT}录音：吕宪昌{LINE_CUT}照明：马天文{LINE_CUT}特技：世为{LINE_CUT}剧务：江浩{LINE_CUT}场记：宋杰{LINE_CUT}场务：潘英、董志国{LINE_CUT}服装：牟华、蔺娜{LINE_CUT}化妆：毕泽普{LINE_CUT}道具：贾益三{LINE_CUT}洗印：鲁潍{LINE_CUT}剪接：安芙梅、祖述志{LINE_CUT}演奏：东影乐队,王家乙-梁日升{LINE_CUT}吕班-厂长{LINE_CUT}江浩-总工程师{LINE_CUT}陈强-侯占喜{LINE_CUT}杜德夫-席卜祥{LINE_CUT}于洋-吴一竹{LINE_CUT}鲁非-工程部长{LINE_CUT}傅杰-老工人{LINE_CUT}袁月华-梁妻{LINE_CUT}高均-参谋{LINE_CUT}王利夫-技术科长{LINE_CUT}金风-军事代表{LINE_CUT}武愚-作业科长{LINE_CUT}柳塘-电炉工人甲{LINE_CUT}王春英-电炉工人乙{LINE_CUT}孙笑非-电炉工人丙{LINE_CUT}张敬平-铆工人甲{LINE_CUT}梁音-铆工人乙{LINE_CUT}苗灵-铆工人丙{LINE_CUT}于致中-铆工人丁{LINE_CUT}蔺娜-广播员,一九四七年冬，东北某铁路工厂为支援解放战争，接受了抢修松花江铁桥的任务。总工程师看不到群众的力量，对完成任务缺乏信心。少数工人当中也存在着雇佣思想。为制造修复铁桥需要的桥座和铆钉，首先必须修复炼钢炉.为此，工人梁日升创造了以耐火砖代替白云石的办法，试验成功。之后，他们又克服一系列困难，制出修复铁桥需要的桥座和铆钉。为了赶修铁桥，铁路工厂的工人们又响应上级号召，参加了修桥工作，终于在江水解冻之前，将大桥修复。,,,,,,,,
回到自己队伍来,东北电影制片厂摄制,黑白 8本,编剧：成荫{LINE_CUT}导演：成荫{LINE_CUT}摄影：李光惠{LINE_CUT}布景：朱革{LINE_CUT}作曲：吴因、巩志伟、张棣昌{LINE_CUT}录音：陈文渊{LINE_CUT}照明：陈田{LINE_CUT}特技：世为{LINE_CUT}洗印：李存邦、唐顺{LINE_CUT}剪接：贾文锦{LINE_CUT}剧务主任：王光彦{LINE_CUT}场记：郭奕{LINE_CUT}化妆：罗泰{LINE_CUT}演奏：东影乐队{LINE_CUT}演出：东北军政大学宣传队全体,林克-吴大刚{LINE_CUT}关贵祥-吴根生{LINE_CUT}武兆堤-吴父{LINE_CUT}塞声-吴母{LINE_CUT}孙辉-指导员{LINE_CUT}曹瑞-陈勇{LINE_CUT}王冰-王大和{LINE_CUT}李司野-张龙{LINE_CUT}苏里-匪连长{LINE_CUT}李维新-匪排长{LINE_CUT}李蒙-匪排长{LINE_CUT}马学海-李贵{LINE_CUT}于钟黎-我军战士甲{LINE_CUT}文友-我军战士乙{LINE_CUT}黎光-我军战士丙{LINE_CUT}王祖述-我军战士丁{LINE_CUT}张玉昆-我军战士戊{LINE_CUT}邹继才-我军战士己{LINE_CUT}王少梅-我军战士庚{LINE_CUT}李锦富-我军战士辛{LINE_CUT}艾云鹏-我军战士壬{LINE_CUT}马玺林-匪兵甲{LINE_CUT}吴伯仁-匪兵乙{LINE_CUT}刘增文-匪兵丙{LINE_CUT}乔传荣-匪兵丁{LINE_CUT}周献-匪兵戊{LINE_CUT}丁克明-逃兵甲{LINE_CUT}王玉湖-逃兵乙{LINE_CUT}孟庆祥-传令兵{LINE_CUT}吴长龙-骑兵传令兵{LINE_CUT}成立业-老乡甲{LINE_CUT}周顺礼-老乡乙{LINE_CUT}李白水-老乡丙,解放战争时期，蒋军士兵吴大刚的家被蒋军抢掠，吴大刚的父亲也遭到蒋军毒打。解放军围攻吴城时；指导员对吴大刚的父亲进行宣传教育，使吴父深受感动，于是他前往城里说服儿子，并和儿子一道，鼓动其他被迫当兵的蒋军士兵投诚。在战斗中，吴大刚和别的蒋军士兵联合起来，抓起了经常欺压他们的蒋军连长，向解放军投诚。,,,,,,,,
光芒万丈,东北电影制片厂摄制,黑白  10本,编剧：陈波儿{LINE_CUT}导演：许珂{LINE_CUT}摄影：傅宏{LINE_CUT}布景：徐渭{LINE_CUT}作曲：何士德、苏民{LINE_CUT}录音：隋锡忠{LINE_CUT}摄影助理：包万伶{LINE_CUT}录音助理：于方{LINE_CUT}特技：世为、庞贵{LINE_CUT}照明：曾希忠{LINE_CUT}剪接：安芙梅{LINE_CUT}洗印：唐顺、李存邦{LINE_CUT}剧务主任：于彦夫{LINE_CUT}场务：张朴实{LINE_CUT}场记：李慧颖{LINE_CUT}化妆：李影{LINE_CUT}服装：薛雁{LINE_CUT}演奏：东影乐队,张平-周明英{LINE_CUT}王潍潍-周小子{LINE_CUT}欧阳如秋-周妻{LINE_CUT}张琪-李海{LINE_CUT}于彦夫-王敬生{LINE_CUT}张莹-老宋{LINE_CUT}秋晨-小林{LINE_CUT}王炎-厂长{LINE_CUT}陈克-孙师傅{LINE_CUT}王家乙-某特{LINE_CUT}荆杰-修机工人{LINE_CUT}必克-修机工人{LINE_CUT}梁音-参演{LINE_CUT}孙笑非-参演{LINE_CUT}崔斌-参演{LINE_CUT}柳唐-参演{LINE_CUT}于洋-参演{LINE_CUT}蓝旅-参演,东北某发电厂在蒋军逃窜前遭到破坏，老工人周明英也因此失业。解放后，人民政府准备修复发电厂.周明英首先响应号召，在党的领导下，他团结群众，积极工作。因发电机的固定磁铁受腐蚀，周明英提议想办法克服，而技术人员赵股长和方师傅怕负责任，主张换新的。周明英在厂长的鼓励和工友们的合作下，克服困难，修好了发电机，不料又被潜伏的特务王敬生所破坏。周明英并不气馁，他去找赵股长和方师傅商量解决的办法。赵股长和方师傅很受感动，他们和周明英一道，再次将发电机修复好，保证了全市供电。,,,,,,,,
中华女儿,东北电影制片厂摄制,黑白  10本,编剧：颜一烟{LINE_CUT}导演：凌子风、翟强{LINE_CUT}摄影：钱江{LINE_CUT}布景设计：朱革{LINE_CUT}作曲：葛炎{LINE_CUT}录音：吕宪昌{LINE_CUT}剧务主任：江浩、唐远之{LINE_CUT}场记：刘力{LINE_CUT}场务：武愚{LINE_CUT}特技：蔡光{LINE_CUT}道具：苏云鹏{LINE_CUT}照明：李延江、王文起{LINE_CUT}洗印：李存邦、汲永源{LINE_CUT}剪接：明伟、李玉英{LINE_CUT}演奏：东影乐队,张铮-胡秀芝{LINE_CUT}岳慎-冷云{LINE_CUT}柏李-安大姐{LINE_CUT}秦布华-杨淑贞{LINE_CUT}薛雁-黄桂芬{LINE_CUT}周苏菲-小王{LINE_CUT}孙月枝-小金{LINE_CUT}周莹箴-小于{LINE_CUT}于洋-张勇{LINE_CUT}翟强-王大队长{LINE_CUT}李超-陈小队长{LINE_CUT}金风-周小队长{LINE_CUT}杜德夫-老乡{LINE_CUT}华永庄-十家长{LINE_CUT}武愚-警察{LINE_CUT}王英-刘昌{LINE_CUT}李先觉-抗联战士{LINE_CUT}岳忠华-抗联战士{LINE_CUT}刘武县-抗联战士{LINE_CUT}牛景纯-抗联战士{LINE_CUT}张有慧-抗联战士{LINE_CUT}杜凤侠-抗联战士{LINE_CUT}刘晶昆-抗联战士{LINE_CUT}关航-抗联战士,根据《八女投江》故事编写。{LINE_CUT}一九三六年，东北人民不堪忍受日寇的残暴统治，他们纷纷投奔抗日联军，打击日寇。被日本鬼子烧死了丈夫的胡秀芝，为了报仇，参加了抗日联军。女战士冷云的丈夫周小队长，在敌人占领的城里做秘密工作，不幸被捕牺牲。消息传来，冷云虽然很悲痛，但她仍然刚毅地接受了炸毁敌人军车的任务。在她们完成任务回队的路上，发现大批敌人正在向抗联大队驻地进攻。冷云一面派人给大队送信，让大队转移；一面率领十几名战士把敌军引到牡丹江边。在战斗中，许多同志牺牲了，最后只剩下冷云、胡秀芝等八个女战士，她们在弹尽粮绝的情况下，视死如归地投入江中。,,,,,,,,
白衣战士,东北电影制片厂摄制,黑白  9 本,编剧：王震之{LINE_CUT}导演：冯白鲁{LINE_CUT}摄影：马守清{LINE_CUT}美术设计：刘学尧{LINE_CUT}作曲：高田{LINE_CUT}录音：赵鸿钧{LINE_CUT}照明：曾希忠{LINE_CUT}照明助理：郑国恩{LINE_CUT}录音助理：傅英杰、高振环{LINE_CUT}置景：王永瑞{LINE_CUT}特技：织田、阎永三{LINE_CUT}洗印：李存邦、钱仲选{LINE_CUT}剪接：明伟、贾文锦{LINE_CUT}道具：贾益三{LINE_CUT}场记：孙晓文{LINE_CUT}场务：王岚、潘英、董士忠{LINE_CUT}医务顾问：段明慨{LINE_CUT}演奏：东影乐队{LINE_CUT}指挥：尹升山,于蓝-庄毅{LINE_CUT}安琪-郑元屏{LINE_CUT}鲁非-协理员{LINE_CUT}苏苓-朱连长{LINE_CUT}张平-院部政委{LINE_CUT}高均-血胸患者{LINE_CUT}黄玲-唐维贞{LINE_CUT}张敬平-大龙{LINE_CUT}陈强-杨明清{LINE_CUT}刘儒-指导员{LINE_CUT}罗泰-解放战士{LINE_CUT}苗灵-血胸患者{LINE_CUT},在解放战争中，解放军某野战医疗队女队长庄毅，奉命护送伤员转移。途中，遇到敌机轰炸，庄在掩护伤员时负伤。她在身体还没有恢复健康的情况下，就给伤员做手术，使伤员们很受感动。伤员们在医护人员的精心护理下，很快恢复了健康，重上战场。在庆功会上，庄毅和她曾经护理过的伤员朱连长及因受伤失掉一只胳膊的杨明清又见面了，他们互相勉励，准备迎接新的战斗。,,,,,,,,
无形的战线,东北电影制片厂摄制,黑白 10本,编剧：伊明{LINE_CUT}导演：伊明{LINE_CUT}摄影：傅宏、陈民魂{LINE_CUT}录音：陈文渊{LINE_CUT}副导演：吕班、张平{LINE_CUT}剧务：敬然、董志围{LINE_CUT}场记：宋杰{LINE_CUT}照明：马天文{LINE_CUT}置景：俞翼如,张平-张永{LINE_CUT}吕班-周少梅{LINE_CUT}姚向黎-崔国芳{LINE_CUT}刘西林-修表老头{LINE_CUT}梁音-刻字青年{LINE_CUT}孙笑非-孙飞{LINE_CUT}罗泰-王春荣{LINE_CUT}周克-李天民{LINE_CUT}孙凤琴-小玲{LINE_CUT}张路-刘英华{LINE_CUT}王岚-马秘书,东北解放以后，潜伏在某城市的国民党特务伺机进行破坏。特务李天民被我公安机关逮捕后，特务头目周少梅又指使崔国芳打入某工厂，窃取我军工生产情报。崔国芳在与另一特务接头的时候，被我公安人员发现。崔在我公安机关的教育和感化下，主动坦白交待了他们的阴谋。我公安机关根据崔国芳提供的线索，将特务一网打尽。崔国芳也获得了自新的机会。,,,,,,,,
表,文华影业公司摄制,黑白 11本,编剧：佐临{LINE_CUT}导演：佐临{LINE_CUT}摄影：许琦,赵钱孙-小牛{LINE_CUT}程之-殷小臣{LINE_CUT}沈扬-雷春华{LINE_CUT}俞仲英-万老头{LINE_CUT}田振东-胡德魁{LINE_CUT}崔超明-巡官{LINE_CUT}杨文龙-大猫{LINE_CUT}蔡元元-小耗子{LINE_CUT}李春英-翠翠{LINE_CUT}蔡松龄-高院长{LINE_CUT}黎频-王妈{LINE_CUT}杨肇文-何太太{LINE_CUT}李煊-何老爷{LINE_CUT}周瑞德-小胖{LINE_CUT}苏曼-尤仲成{LINE_CUT}李保罗-董事长{LINE_CUT}石灵-庶务{LINE_CUT}韩明德-陶先生{LINE_CUT}张劭-邻妇{LINE_CUT}王敏-邻妇{LINE_CUT}李家-代表A{LINE_CUT}钟高年-代表C{LINE_CUT}薛容-代表B{LINE_CUT}罗森-代表D,脱胎于苏联作家安德莱耶夫的同名小说。{LINE_CUT}在十里洋场的上海街头，流浪孤儿小牛为生活所迫，从万老头的修表铺偷了一块金表，因与小伙伴大猫和小耗子分赃不均打了起来，三人因此被警察拘留，他们凭江湖义气保住了金表的秘密。可是，小牛却因抢馒头和出手伤人两件罪名，被送进了{QUOTE}儿童教养院{QUOTE}。在{QUOTE}教养院{QUOTE}中，小牛偷金表的秘密被院里的训导主任殷小臣发现。殷乘机要挟，令小牛替他盗卖公物，此事被院里的儿童小胖发现。事情发生后，{QUOTE}教养院{QUOTE}的指导员雷春华进行调查，殷却说院子里闹了贼，小牛也拒不承认。小胖联合孩子们准备控告殷做的坏事，小牛得知后又向殷告密，使小胖遭到一顿毒打。最后，小牛得知万老头因丢失顾客修理的金表，被判坐牢三个月，使得万老头的孙女、与自己要好的小伙伴翠翠无家可归。在事实的教育和雷春华的感化下，小牛揭发了殷盗卖公物的罪行，坦白了自己偷表的过错。,,,,,,,,
二百五小传,大同影业公司摄制,黑白 11本,编剧：田汉{LINE_CUT}导演：郑小秋{LINE_CUT}摄影：罗从周{LINE_CUT}布景：董萍{LINE_CUT}音乐：祁次欣{LINE_CUT}录音：袁庆余、姚守清{LINE_CUT}副导演：谢晋{LINE_CUT}监制：柳中亮{LINE_CUT}制片：张石川{LINE_CUT}评剧指导：陈月楼{LINE_CUT}摄影助理：查祥康{LINE_CUT}录音助理：刘永昌{LINE_CUT}布景助理：童景文{LINE_CUT}绘景：张曦白{LINE_CUT}剪接：陈瑞和、赵家树{LINE_CUT}洗印：严兆德、杭子玉{LINE_CUT}剧务：陈重{LINE_CUT}道具：何品芳{LINE_CUT}服装：金鹤良{LINE_CUT}化妆：陈焰{LINE_CUT}场记：颜碧丽{LINE_CUT}场务：徐应生{LINE_CUT}陈设：薛根宝,吕玉堃-袁少楼{LINE_CUT}陈正薇-柳艳云{LINE_CUT}罗静宜-章艳霞{LINE_CUT}强明-警察{LINE_CUT}朱琳-赵慧芸{LINE_CUT}周刍-王少泉{LINE_CUT}姜修-黄月楼{LINE_CUT}陈焰-陈凤卿{LINE_CUT}潘锐-郑荣{LINE_CUT}田振东-师傅{LINE_CUT}程又林-唐又卿{LINE_CUT}于冲-经理{LINE_CUT}姚思诚-周小石{LINE_CUT}冯奇-程胡民{LINE_CUT}许垦-陶正芳{LINE_CUT}唐葭村-小铁担{LINE_CUT}陈月楼-赵廉{LINE_CUT}虞禹方-后台主任{LINE_CUT}吴涛-刘牧{LINE_CUT}夏冬-君樵{LINE_CUT}钱麟童-汪精卫{LINE_CUT}梁怨-喊口号者{LINE_CUT}朱少泉-胡警务长{LINE_CUT}高扬-余鸿声{LINE_CUT}李季-副经理{LINE_CUT}黄芳-袁母{LINE_CUT}黄耐霜-柳母{LINE_CUT}胡德龙-传令兵{LINE_CUT}田恺-日宪兵队长{LINE_CUT}肖凡-欧阳先生{LINE_CUT}吕荣康-琴师{LINE_CUT}曹龄青-李厚基{LINE_CUT}徐剑豪-庄子{LINE_CUT}尚华-黄秋山,抗日战争时期，评剧艺人袁少楼和柳艳云，走南闯北，去各地演剧号召抗日，并讽刺汉奸卖国贼。伪警务局长郑荣勾结日警将少楼拘留，乘机向艳云要挟。少楼获释后，向艳云求婚，艳云有苦难言而婉拒。班主因恐有意外，将少楼遣返。少楼返回北平后，受到中学时同学的盛大欢迎。不久，艳云也来到北平。因北平旧势力太大，他们又同去上海，改革旧评剧，演出《岳飞》、《文天祥》、《史可法》等进步戏，批判卖国主义，深受群众欢迎。少楼也因不计较角色名次，好打抱不平，人家便给他起了一个{QUOTE}二百五{QUOTE}的绰号。后艳云被逼出嫁，少楼经此打击，饮酒过量以致倒嗓，但他仍努力进行评剧改革。继之，艳云母病危，少楼陪艳云回上海。戏院老板为争取观众，要艳云演因果报应的色情戏《大劈棺》，艳云不愿。少楼献计对原戏进行改造，自己主动扮演戏中{QUOTE}二百五{QUOTE}这一角色，观众看后拍手叫好。汉奸汪精卫成立了伪政权后，要少楼和艳云上演献媚汪政权的汉奸戏，他们称病请假，拒绝演出。汪政府便另组织人马演出。当汉奸戏上演时，观众群情激愤，少楼在台下大声疾呼，阻止演出，结果遭到敌特杀害。,,,,,,,,
乌鸦与麻雀,昆仑影业公司摄制,黑白 12本,编剧：沈浮、王林谷、徐韬、赵丹、郑君里、陈白尘{LINE_CUT}导演：郑君里{LINE_CUT}摄影：苗振华、胡振华{LINE_CUT}美术：牛葆荣、徐子诚{LINE_CUT}音乐：王云阶{LINE_CUT}录音：李烈鸿{LINE_CUT}制片主任：王林谷{LINE_CUT}剪辑：邬延芳,赵丹-肖老板{LINE_CUT}魏鹤龄-孔有文{LINE_CUT}黄宗英-余小英{LINE_CUT}上官云珠-华太太{LINE_CUT}孙道临-华洁之{LINE_CUT}李天济-侯义伯{LINE_CUT}王蓓-小阿妹{LINE_CUT}吴茵-肖太太,一九四八年冬，上海解放前夕，国民党国防部某科长侯义伯，以某报馆老校对孔有文的儿子参加新四军为由，将孔的一幢民房强行霸占。在国民党政权摇摇欲坠的当时，侯为准备逃命，决定把房子顶出去，捞几个钱。租住房子的中学教员华洁之夫妇、美货摊贩外号{QUOTE}小广播{QUOTE}的肖老板夫妇和原房主孔有文，他们各保自己，不敢斗争。孔想在报馆里找一个铺位，没有成功，他住的房间也被侯买通流氓给捣毁了。华洁之想搬到学校去住，这时正赶上学生罢课，特务校长想利用房子收买他，被他拒绝，搬家的希望落空了。华本人也在{QUOTE}鼓动学潮{QUOTE}的罪名下被捕入狱。侯又借机来调戏华太太。肖老板夫妇自作聪明，把仅有的一点金首饰和贵重药品{QUOTE}盘尼西林{QUOTE}押给侯，借钱去做黄金投机生意，想赚到钱好顶下房子，不料美梦没做成，反被流氓打伤。肖决定把金首饰等物赎回来，侯却借故把他的抵押品吞没了。最后，几户房客在被侯逼得走投无路的情况下，终于和侯面对面地冲突起来。由于大家团结一致，侯使尽了威严仍无济于事。侯正想打电话叫伪警察局来抓人时，却不料南京的长途电话里传来国民党政权土崩瓦解的消息。侯义伯带着老婆狼狈逃跑。这时，华洁之也被当作假和平的点缀释放。经过狱中的磨炼，这位性格软弱的华先生变得坚强多了。旧历除夕的晚上，孔有文搬进了曾被侯霸占的房子。居住在这里的几户人家欢聚在一起吃年夜饭，在爆竹声中，大家愉快地感到，黑暗的时代终于一去不复返了。,,,,,,,,
三毛流浪记,昆仑影业公司摄制,黑白  9 本,改编：阳翰笙{LINE_CUT}导演：赵明、严恭{LINE_CUT}摄影：韩仲良、裘葛{LINE_CUT}布景：张汉臣{LINE_CUT}音乐：王云阶{LINE_CUT}录音：林秉生{LINE_CUT}制片主任：韦布{LINE_CUT}摄影顾问：朱今明{LINE_CUT}摄影助理：郭弈辉{LINE_CUT}造型设计：辛汉文{LINE_CUT}布景助理：罗雨秋{LINE_CUT}录音助理：刘广阶、薛慎行{LINE_CUT}配音：丁伯和{LINE_CUT}儿童辅导：岳勋烈{LINE_CUT}剧务：方徨{LINE_CUT}场记：徐少文{LINE_CUT}场务：毅华{LINE_CUT}化妆：姚永福、乐羽侯{LINE_CUT}道具：庄凯卢{LINE_CUT}服装：陆伯勤{LINE_CUT}剪接：傅正义{LINE_CUT}洗印：周教大、徐而前、吴增荣,王龙基-三毛{LINE_CUT}林榛-贵妇{LINE_CUT}关宏达-爷叔{LINE_CUT}杜雷-贵夫{LINE_CUT}黄晨-阿姨{LINE_CUT}程漠-清道夫{LINE_CUT}马飞-玩狗的{LINE_CUT}孟树范-癞痢头{LINE_CUT}钱风-小贩{LINE_CUT}陈光复-流浪汉{LINE_CUT}冯继雄-小狗子{LINE_CUT}陈重-大胖子{LINE_CUT}石炎-警察{LINE_CUT}岳勋烈-公务员{LINE_CUT}田振东-门警{LINE_CUT}陈家松-卖孩子的{LINE_CUT}小涵-丫头{LINE_CUT}薛敏-男仆{LINE_CUT}洪骏-卫士{LINE_CUT}姚姚-玛丽{LINE_CUT}王云阶-老乐师{LINE_CUT}陶冶-阿根{LINE_CUT}龚伯安-司机{LINE_CUT}苏鸿-贴标语的{LINE_CUT}宋衍万-小胖子{LINE_CUT}杨小乔-老三{LINE_CUT}王公序-小牛儿{LINE_CUT}丁然-小老大{LINE_CUT}刁光覃-门房{LINE_CUT}方伯-童子军教练{LINE_CUT}顾鍪-店员{LINE_CUT}何学初-司机{LINE_CUT}孙仪-女佣{LINE_CUT}莫愁-吴小姐{LINE_CUT}柳杰-女仆{LINE_CUT}马中婴-卫士{LINE_CUT}钱理群-笨孩子{LINE_CUT}上官云珠-男女贵客{LINE_CUT}中叔皇-男女贵客{LINE_CUT}王静安-男女贵客{LINE_CUT}朱莎-男女贵客{LINE_CUT}朱琳-男女贵客{LINE_CUT}沙莉-男女贵客{LINE_CUT}阮斐-男女贵客{LINE_CUT}林子丹-男女贵客{LINE_CUT}金淑芝-男女贵客{LINE_CUT}吴茵-男女贵客{LINE_CUT}林默予-男女贵客{LINE_CUT}奇梦石-男女贵客{LINE_CUT}徐曼-男女贵客{LINE_CUT}徐缓-男女贵客{LINE_CUT}袁蓉-男女贵客{LINE_CUT}孙道临-男女贵客{LINE_CUT}高正-男女贵客{LINE_CUT}郭玲-男女贵客{LINE_CUT}黄宗英-男女贵客{LINE_CUT}黄温如-男女贵客{LINE_CUT}梁明-男女贵客{LINE_CUT}高依云-男女贵客{LINE_CUT}许蓝-男女贵客{LINE_CUT}章曼苹-男女贵客{LINE_CUT}张劭-男女贵客{LINE_CUT}张乾-男女贵客{LINE_CUT}张婉-男女贵客{LINE_CUT}张逸生-男女贵客{LINE_CUT}傅惠珍-男女贵客{LINE_CUT}张庆芬-男女贵客{LINE_CUT}程梦莲-男女贵客{LINE_CUT}农中南-男女贵客{LINE_CUT}赵丹-男女贵客{LINE_CUT}汪漪-男女贵客{LINE_CUT}熊伟-男女贵客{LINE_CUT}关鹏-男女贵客{LINE_CUT}应萱-男女贵客{LINE_CUT}蓝优心-男女贵客{LINE_CUT}苏英-男女贵客{LINE_CUT}苏茵-男女贵客{LINE_CUT}苏曼意-男女贵客{LINE_CUT}谭云-男女贵客{LINE_CUT},根据张乐平漫画改编。{LINE_CUT}在解放前的上海，流浪儿童三毛无家可归，睡在垃圾车里，吃别人贴广告用的浆糊，天冷了把麻袋披在身上挡寒。为了生存，他卖过报，拾过烟头，帮别人推过三轮车。在路旁拾到钱夹，他好心地交给了行人，可是行人反说他是扒手，狠狠打了他一顿。他年纪小不懂事，被流氓爷叔骗去做坏事，但当他知道受骗后，却宁愿饿肚子也不肯去偷窃东西。后来被一个有钱的贵妇人收为养子，对他严加管教。贵妇人为三毛举行一次鸡尾酒会。三毛不愿过富贵人家的寄生生活，在酒会进行期间纠合一群讨饭的小伙伴，捣乱了酒会，然后脱下了华丽的衣服，披上了破麻袋，迎着漫天纷飞的大雪，回到流浪的队伍。解放后，他才结束了流浪生活。{LINE_CUT},,,,,,,,
