暴风雨中的雄鹰,,,编剧：石鲁{LINE_CUT}导演：王逸{LINE_CUT}摄影：包杰{LINE_CUT}美术设计：王桂枝{LINE_CUT}作曲：徐辉才{LINE_CUT}录音：林秉成{LINE_CUT}副导演：雷铿{LINE_CUT}剧务主任：郝伟光{LINE_CUT}特技摄影：宋国毅{LINE_CUT}特技设计：梁树魁{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：马琳,白德彰-刘指导员{LINE_CUT}梁音-张大顺{LINE_CUT}霍德集-小武{LINE_CUT}郭振清-华尔丹{LINE_CUT}邱祁-阿妈{LINE_CUT}杨培松-多汤{LINE_CUT}刘振中-德木怯{LINE_CUT}吴必克-野狐狸{LINE_CUT}孙羽-火 娃{LINE_CUT}宋保义-周黑蛋{LINE_CUT}金焰-老巴尔{LINE_CUT}林汝为-丹果{LINE_CUT}孙敖-索甲{LINE_CUT}刘宝德-加木错{LINE_CUT}安震江-匪狗营长,一九三六年，红军长征后续部队的部分战士为马步芳的军队所俘。红小鬼火娃及战士张大顺、小武等逃出，得到藏族老猎人老巴尔的保护。藏族中的富户多汤父子，主张把红军交给马步芳的军队。为此，老巴尔与多汤父子展开了争论，头人百户不得不同意将火娃等放走。这时，马步芳的军队来搜捕红军。老巴尔协同红军打死了搜捕的三个敌人。敌军狗营长要活埋被俘的红军刘指导员等，老巴尔父子及火娃等救出刘指导员。敌人把老巴尔的儿子华尔丹等抓进牢里，百户也责怪老巴尔不该留下红军。刘指导员及火娃为不连累部落，要求交出自己换回华尔丹。百户很受感动，前往狗营长处交涉，反遭诬蔑，回来后准备和红军一道与敌人打仗。刘指导员带领火娃、张大顺混入敌营，救出华尔丹等。狗营长率兵抢劫部落，杀死了百户，并调来更大的兵力，企图围歼红军。红军战士与藏民联合起来打击敌人。战斗中，为掩护藏民安全转移，红军战士全部牺牲。
寂静的山林,,,编剧：赵明{LINE_CUT}导演：朱文顺{LINE_CUT}摄影：包杰{LINE_CUT}美术：王桂枝{LINE_CUT}作曲：全如玢{LINE_CUT}录音：林秉成{LINE_CUT}副导演：广道{LINE_CUT}剧务主任：郝伟光{LINE_CUT}特技摄影：王玉如{LINE_CUT}特技设计：蔡光{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：马琳,王心刚-冯广发{LINE_CUT}浦克-孙威廉{LINE_CUT}车轩-皮斯利{LINE_CUT}陈汝斌-金翻译{LINE_CUT}郑晓君-任大嫂{LINE_CUT}柏瑞桐-效平{LINE_CUT}王金荣-梁素珍{LINE_CUT}王阿美-秀云{LINE_CUT}朱晴-二楞{LINE_CUT}白玫-李文英{LINE_CUT}高平-郭执权{LINE_CUT}王景芳-张处长{LINE_CUT}任颐-任敬勤{LINE_CUT}黄世光-郭大用{LINE_CUT}李亚林-假军官{LINE_CUT}夏佩杰-李大婶{LINE_CUT}吴宁-士新,美国间谍组织派遣女特务李文英，借还乡照顾子女为掩护，从香港潜入东北，利用金钱物质和媚态诱惑拉拢一些人，准备迎接美国的空投特务。我侦察人员史永光得知敌人的阴谋后，冒充跑行商的商人冯广发，通过女特务李文英，深入香港的敌特巢穴，经受种种考验，博得美帝特务头子皮斯利的信任，掌握了敌人的全部阴谋，还把一个对敌持有反感情绪的特务训练生郭大用争取到自己一边。最后，冯广发利用敌人派他执行空投任务之机， 配合公安部队和民兵，逮捕了全部美蒋空投特务。
未完成的喜剧,,,编剧：罗泰、吕班{LINE_CUT}摄影：张犟{LINE_CUT}作曲：马琳、张禹田{LINE_CUT}副导演：罗泰{LINE_CUT}剧务主任：敬然{LINE_CUT}导演：吕班{LINE_CUT}美术设计：徐渭{LINE_CUT}录音：张剑平{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：马琳,方化-易浜紫(批评家){LINE_CUT}陈衷-李导演{LINE_CUT}张勤珍-小妹{LINE_CUT}严皇-二嫂{LINE_CUT}马玉玲-女记者{LINE_CUT}蓝兰-女同学甲{LINE_CUT}卢敏-女同学丙{LINE_CUT}苏曼惹-兰燕{LINE_CUT}宁嘉萍-母亲{LINE_CUT}白玫-大嫂{LINE_CUT}武豫梅-报幕员、女护士{LINE_CUT}阎杰-胖旅客{LINE_CUT}杜凤侠-女同学乙{LINE_CUT},两个全国闻名的喜剧演员到长春电影制片厂参观学习，观看了三个讽刺剧：第一个小故事讽刺一个好逸恶劳、铺张浪费的领导干部朱经理和溜须拍马的杨秘书；第二个小故事讽刺吹牛夸张的人；第三个小故事讽刺一对抛弃老母不管的兄弟。陪同看戏的批评家对这三个讽刺剧打棍子、扣帽子。
复试,,,改编：林杉、花荪、董吉深{LINE_CUT}导演：花荪{LINE_CUT}摄影：舒笑言{LINE_CUT}美术设计：王崇{LINE_CUT}作曲：娄彰后{LINE_CUT}录音：袁明达{LINE_CUT}副导演：赵心水{LINE_CUT}剧务主任：刘玉河{LINE_CUT}艺术指导：沙蒙{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：尹升山,车轩-严教授{LINE_CUT}贺小书-陆小梅{LINE_CUT}张凤翔-老朋友{LINE_CUT}白玫-学院院长{LINE_CUT}孟舜-医院院长,根据何为小说《第二次考试》改编。{LINE_CUT}音乐学院严教授在招考时，发现应试的考生陆小梅很有歌唱天才，但复试时，陆小梅却因嗓子哑而未被录取。严教授深入到 陆小梅的家和所在工作单位进行调查了解，原来在复试的前一天，陆小梅为抢救受台风袭击的受难者，彻夜未眠，使嗓子受到影响。 最后，严教授录取了她。
青春的脚步,,,编剧：薛彦东{LINE_CUT}导演：严恭、苏里{LINE_CUT}摄影：李光惠{LINE_CUT}美术设计：童景文{LINE_CUT}作曲：全如玢{LINE_CUT}录音：阙敬修{LINE_CUT}作词：乔羽{LINE_CUT}副导演：华永庄{LINE_CUT}剧务主任：杨文岩{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：尹升山,袁玫-林美兰{LINE_CUT}刘增庆-肖平{LINE_CUT}赵尚英-彭母{LINE_CUT}李景波-高院长{LINE_CUT}崔照升-小丁{LINE_CUT}李东东-小芳{LINE_CUT}陈颖-彭珂{LINE_CUT}王人美-淑芳{LINE_CUT}林东升-陈静文{LINE_CUT}彭勃-老张{LINE_CUT}柏瑞桐-小陈{LINE_CUT}吴克坚-小珂,某民用建筑设计院的技术员林美兰与肖平相爱，由于工人住宅设计意见的分歧，两人闹了一点小意见。肖平的表哥彭珂借帮助之名向美兰求爱。美兰知道彭珂已有妻子儿女，拒绝了彭珂而与肖平和好了。后来因为肖平批评了她，伤了她的虚荣心，她再度与肖平疏远。彭珂乘机占有了美兰，并逼迫妻子淑芳离婚。不久，美兰怀孕，彭珂为了顾全自己的名誉和地位，逃避在道德上应负的责任，竟让美兰服药打胎，幸被及早发现，才免于生命的危险。最后，彭珂的道德败坏行为受到法律惩处，美兰也认识到自己严重的资产阶级思想，决心改正错误，振作起来。
寻爱记,,,编剧：王炎{LINE_CUT}导演：王炎{LINE_CUT}摄影：方为策{LINE_CUT}美术设计：史维钩{LINE_CUT}作曲：车明{LINE_CUT}录音：陈于旦{LINE_CUT}副导演：张普人{LINE_CUT}剧务主任：潘英{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：尹升山,李雨农-李勇{LINE_CUT}任伟民-张士禄{LINE_CUT}高平-张科长{LINE_CUT}安琪-赵惠{LINE_CUT}苏剑峰-马美娜,零售公司的售货员李勇和百货公司的收款员赵惠，在去参加 先进工作者会议的途中发生撞车事故。意外的事故使他们俩相识， 并产生了爱情，经过曲折的了解后，结成美满夫妻。赵惠的同事马美娜和李勇的同事张士禄都不安心商业工作，认为售货员是低三下四伺候人的工作，没有出息。马美娜一心想找一个理想中的爱人，好借此调动工作。在一次舞会上，她认识了自称人事科长的张士禄，他们很快地由恋爱而结婚。在结婚典礼上，马美娜终于发现张士禄不是人事科长，而是她认为没有出息的售货员，她非常懊悔。经过李勇和赵惠诚恳地批评和劝导，两人最后都认清了自己的错误思想，并且美满的生活下去。
地下尖兵,,,编剧：刘致祥{LINE_CUT}导演：武兆堤{LINE_CUT}摄影：陈民魂{LINE_CUT}美术设计：董萍{LINE_CUT}作曲：李凝{LINE_CUT}录音：姜峻峰{LINE_CUT}特技设计：刘仕儒{LINE_CUT}特技摄影：陈晨{LINE_CUT}副导演：尹一青{LINE_CUT}剧务主任：刘力{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：马琳,浦克-陶 干{LINE_CUT}张园-孙 莹{LINE_CUT}张巨光-宋 欣{LINE_CUT}张凤翔-沙振武{LINE_CUT}夏佩杰-孙大妈{LINE_CUT}蒙纳-宋太太{LINE_CUT}朱林-孙思义{LINE_CUT}刘宝德-赵永祥{LINE_CUT}李林邹-至甫{LINE_CUT}陈汝斌-艾永伯{LINE_CUT}李孟尧-田队长{LINE_CUT}安震江-张德发{LINE_CUT}吴必克-王守忠{LINE_CUT}王培力-宋曼莉{LINE_CUT}孟宪英-沙太太{LINE_CUT}刘嘉宾-小梅,北平解放前夕，我地下组织{QUOTE}红松组{QUOTE}领导人陶干，为弄清由南京特派的国民党军统特务专员邹至甫从美军顾问所带来的重要军事情报，化名钱铸久，以{QUOTE}永裕贸易行{QUOTE}经理职业为掩护打入敌人内部。陶干以给敌十一战区副参谋长宋欣倒卖黄金为名去宋家，见到化名刘国栋的特务专员邹至甫，企图探听一些情况，但由于邹至甫的老练阴险，使陶干的计划落空。邹至甫为避免军事计划被共产党弄去，叫国民党嫡系部队第六军军长沙振武亲自来北平面授任务。与此同时，为了计划的顺利执行，他一面叫特务田队长搜查我地下秘密电台， 一面叫叛徒王守忠用假军事计划来吸 引我们、给我地下组织造成了损失。陶干通过我打入敌长官部的艾永伯探听到敌人制定军事计划的助手是孙思义，便略施小计， 让宋欣撤掉了孙思义，使艾永伯取而代之。艾永伯把敌六军撤退的日期告诉了陶干。不久，艾永伯引起邹至甫的猜疑，邹至甫为了破坏我地下组织和迷惑我们，便制造假情况，佯言六军撤退的日期后延。为了证实撤退日期后延的情报，陶干冒险去舞场找艾永伯，并巧妙地通过沙军长小老婆之口，了解到敌人改变计划是假的。这时，邹至甫率特务来抓陶干，艾永伯为掩护陶干送出情报，破坏了舞场的电闸，负伤被捕，光荣牺牲。我军根据陶干的 情报，将敌六军歼灭在调防途中。
芦笙恋歌,,,编剧：彭荆风、陈希平{LINE_CUT}导演：于彦夫{LINE_CUT}摄影：王启民{LINE_CUT}美术设计：汪滔{LINE_CUT}作曲：雷振邦{LINE_CUT}录音：洪嘉惠{LINE_CUT}副导演 ： 竞痕{LINE_CUT}剧务主任：水航{LINE_CUT}特技设计：陈秉中{LINE_CUT}特技摄影：彭守仁{LINE_CUT}作词：雷振邦、周良沛、于彦夫、林予{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：马琳,汪杰-扎妥{LINE_CUT}宋雪娟-娜娃{LINE_CUT}李景波-阿七{LINE_CUT}陈光廷-双宝{LINE_CUT}孙羽-扎木{LINE_CUT}夏佩杰-娜娃母{LINE_CUT}白英宽-王排长{LINE_CUT}李亚林-匪排长{LINE_CUT}梁音-战士甲{LINE_CUT}吴必克-刘队长{LINE_CUT}刘儒-匪营长{LINE_CUT}马世达-战士乙{LINE_CUT}王亚彪-战士丙,在我国云南省澜沧江流域居住的拉祜族人民，解放前受尽了国民党军队的欺凌压迫。拉祜族的青年猎手扎妥和美丽的姑娘娜娃相爱。国民党军队的烧杀抢掠，激起拉祜族青年的反抗，但是土枪弓箭怎能抵挡得住美式装备的蒋军呢？结果，寨子被烧，人遭屠杀。阿七爹带领着娜娃和寨子里的老幼妇孺离乡背井，另觅安身之处。年青力壮的拉祜族青年被赶进原始老林。国民党军队又乔装成拉祜族的难民来偷袭。除了扎妥侥幸逃脱外，其他的青年全被杀死。扎妥为了报仇，在老林深处过了两年茹毛饮血的原始生活。解放后， 一支地质勘探队来到此地寻找矿藏，发现了一个行踪诡秘、来历不明的野人。他们跟踪到老林深处，在棚屋里发现一个芦笙和勘探队正在寻找的一块矿石，带路的阿七爹证明这个野人正是两年前失踪的扎妥。但扎妥却梦想不到来找他的是自己的亲人，他不断地射箭抵抗，对乡亲们的喊声也置若罔闻。 这时，娜娃拿起芦笙吹奏起当年他们相爱时的恋歌，扎妥闻声如梦初醒，悲喜交集。这一对饱经艰难的情侣，终于幸福地团聚了。
边寨烽火,,,编剧：林予、姚冷、彭荆风{LINE_CUT}导演：林农{LINE_CUT}摄影：聂晶{LINE_CUT}美术设计：刘学尧{LINE_CUT}作曲：张棣昌{LINE_CUT}录音：陈文渊{LINE_CUT}剧务主任：武愚{LINE_CUT}副导演：周兴华{LINE_CUT}特技摄影：宋国毅{LINE_CUT}特技设计：卢锡鹏{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：尹升山、马琳,达奇-多隆{LINE_CUT}田烈-梅普山官{LINE_CUT}庞学勒-指导员{LINE_CUT}任颐-连长{LINE_CUT}尉骞-戈当妻{LINE_CUT}高平-老汉{LINE_CUT}王晓棠-玛诺{LINE_CUT}李壬林-戈当{LINE_CUT}刘惠明-医生{LINE_CUT}周文彬-匪团长{LINE_CUT}宋保义-田埃可,在我国西南边境居住的景颇族人，由于长期受国民党的统治和压迫，对汉族人抱有很深的怀疑和仇恨。我边防军某连为帮助景颇族弟兄改变刀耕火种的原始生产方式，提出修建水闸引水开田的计划。头人梅普山官的儿子多隆受特务戈当的挑唆，对我边防军采取敌对行动。戈当借我军医务人员李医生为多隆的儿子治病之机，暗中下毒，以嫁祸于人。多隆不明真象，更加仇恨我军，因企图杀害李医生未遂，竟过河投敌。后来，多隆的儿子被李医生救活。梅普山官很感激，当即表示愿意共修水闸。多隆潜回家乡进行破坏时，始知真情，立誓带罪立功。戈当得知多隆回寨后的活动，企图炸水闸，梅普山官识破了他的诡计。最后，多隆将数百名国民党兵带进我军布下的包围圈，将其全部歼灭。
母女教师,,,编剧：纪叶{LINE_CUT}导演：冯白鲁{LINE_CUT}摄影：王玉如{LINE_CUT}美术设计：张井南{LINE_CUT}作曲：李曦{LINE_CUT}录音：洪堤{LINE_CUT}副摄影：傅金城{LINE_CUT}副导演：周予{LINE_CUT}剧务主任：陈致远{LINE_CUT}演奏：长影乐团{LINE_CUT}指挥：尹升山,林默予-沈淑严{LINE_CUT}张辉-陈伟{LINE_CUT}刘宝树-王大毛{LINE_CUT}马明-大毛妈{LINE_CUT}马陋夫-老范{LINE_CUT}尉骞-教员乙{LINE_CUT}紫千-林月英{LINE_CUT}李亚林-张志高{LINE_CUT}张巨光-吴主任{LINE_CUT}王勉之-梁振荣{LINE_CUT}苑小君-教员甲,沈淑严和林月英母女都是乡村的小学教师。母亲沈淑严三十年来把自己的全部力量都献给了乡村的教育事业，她现在已是满头白发的老校长了。女儿林月英初出茅庐，怀着极大的热情走上这个神圣的工作岗位。在教育学生的问题上，当校长的母亲主张对学生要严，认为{QUOTE}不严则不成器{QUOTE}.当教员的女儿则主张谆谆善诱和热情帮助。为此，母女之间发生了矛盾。后来，母亲因错误地开除学生王大毛感到内疚而提出辞职。在党和政府的信任、鼓励与同事们诚意的挽留下，沈校长认识到自己的错误，母女之间也获得了谅解。
