qiao	Wang Bin! Yu Min? Wang Jiayi, Lu Ban, Jiang Hao, Chen Qiang, Du Defu, Yu Yang, Lu Fei, Fu Jie, Yuan Yuehua, Gao Jun, Wang Lifu, Jin Feng, Wu Yu, Liu Tang, Wang Chunying, Sun Xiaofei, Zhang Jingping, Liang Yin, Miao Ling, Yu Zhizhong, Lin Na! Bao Jie (photography), Liu Xueyao (art), He Shide (composition), Lu Xianchang (recording), Ma Tianwen (lighting), Shi Wei (special effects), Jiang Hao (drama management) ), Song Jie (Stage Story), Pan Ying (Stage Manager), Dong Zhiguo (Stage Manager), Mou Hua (Costume), Lin Na (Costume), Bi Zepu (Makeup), Jia Yisan (Props), Lu Wei (Print Printing) , An Fumei (editing), Zu Shuzhi (editing), Dongying Band (performance).
hui dao zi ji dui wu lai	Cheng Yin! Cheng Yin? Link, Guan Guixiang, Wu Zhaodi, Sai Sheng, Sun Hui, Cao Rui, Wang Bing, Li Siye, Su Li, Li Weixin, Li Meng, Ma Xuehai, Yu Zhongli, Wen You, Li Guang, Wang Zushu, Zhang Yukun, Zou Jicai, Wang Shaomei, Li Jinfu, Ai Yunpeng, Ma Xilin, Wu Boren, Liu Zengwen, Qiao Chuanrong, Zhou Xian, Ding Keming, Wang Yuhu, Meng Qingxiang, Wu Changlong, Cheng Ye, Zhou Shunli, Li Baishui! Li Guanghui (photographer), Zhu Ge (set scene), Wu Yin (composition), Gong Zhiwei (composition), Zhang Dichang (composition), Chen Wenyuan (recording), Chen Tian (lighting), Shi Wei (special effects), Li Cunbang (print printing), Tang Shun (print printing), Jia Wenjin (editing), Wang Guangyan (theatre director), Guo Yi (scene record), Luo Tai (makeup), Dongying Band (playing), the entire publicity team of Northeast Military and Political University (performance).
guang mang wan zhang	Xu Ke! Chen Boer? Zhang Ping, Wang Weiwei, Ouyang Ruqiu, Zhang Qi, Yu Yanfu, Zhang Ying, Qiu Chen, Wang Yan, Chen Ke, Wang Jiayi, Jing Jie, Bi Ke, Liang Yin, Sun Xiaofei , Cui Bin, Liu Tang, Yu Yang, Blue Lv! Fu Hong (photography), Xu Wei (set decoration), He Shide (composition), Su Min (composition), Sui Xizhong (recording), Bao Wanling (camera assistant), Yu Fang ( recording assistant), Shi Wei (stunt effects), Pang Gui (stunt effects), Zeng Xizhong (lighting), An Fumei (editing), Tang Shun (printing), Li Cunbang (printing), Yu Yanfu (play director), Zhang Pushi ( Scene Manager), Li Huiying (Scene Record), Li Ying (Makeup), Xue Yan (Costume), Dong Ying Band (Performance).
zhong hua nv er	Ling Zifeng, Zhai Qiang, Yan Yiyan? Zhang Zheng, Yue Shen, Bo Li, Qin Buhua, Xue Yan, Zhou Sufei, Sun Yuezhi, Zhou Yingzhen, Yu Yang, Zhai Qiang, Li Chao, Jin Feng, Du Defu, Hua Yongzhuang, Wu Yu , Wang Ying, Li Xianjue, Yue Zhonghua, Liu Wuxian, Niu Jingchun, Zhang Youhui, Du Fengxia, Liu Jingkun, Guan Hang! Qian Jiang (photography), Zhu Ge (set design), Ge Yan (composition), Lu Xianchang (recording), Jiang Hao (Stage Manager), Tang Yuanzhi (Stage Manager), Liu Li (Scene), Wu Yu (Stage Manager), Cai Guang (Stunt Effect), Su Yunpeng (Props), Li Yanjiang (Lighting), Wang Wenqi (Lighting), Li Cunbang (Printing) , Ji Yongyuan (print printing), Ming Wei (editing), Li Yuying (editing), Dongying Band (performance).
bai yi zhan shi	Feng Bailu! Wang Zhenzhi? Yu Lan, An Qi, Lu Fei, Su Ling, Zhang Ping, Gao Jun, Huang Ling, Zhang Jingping, Chen Qiang, Liu Ru, Luo Tai, Miao Ling! Ma Shouqing (photography), Liu Xueyao (art design), Gao Tian (composition), Zhao Hongjun (recording), Zeng Xizhong (lighting), Adrian Cheng (lighting assistant), Fu Yingjie (recording assistant), Gao Zhenhuan (recording assistant), Wang Yongrui (setup), Oda (stunt effects), Yan Yongsan (stunt effects), Li Cunbang (print printing), Qian Zhongxuan (print printing), Ming Wei (editing), Jia Wenjin (editing), Jia Yisan (props), Sun Xiaowen (scene), Wang Lan (scene management), Pan Ying (scene management), Dong Shizhong (Stage Manager), Duan Minggai (Medical Consultant), Dongying Band (Performer), Yin Shengshan (Conductor).
wu xing de zhan xian	Yiming! Yiming? Zhang Ping, Lu Ban, Yao Xiangli, Liu Xilin, Liang Yin, Sun Xiaofei, Luo Tai, Zhou Ke, Sun Fengqin, Zhang Lu, Wang Lan! Fu Hong (photography), Chen Minhun (photography), Chen Wenyuan (Recording), Lu Ban (Associate Director), Zhang Ping (Associate Director), Jing Ran (Story Manager), Dong Zhiwei (Stage Manager), Song Jie (Scene), Ma Tianwen (Lighting), Yu Yiru (Setting).
biao	Zuolin! Zuolin? Zhao Qiansun, Cheng Zhi, Shen Yang, Yu Zhongying, Tian Zhendong, Cui Chaoming, Yang Wenlong, Cai Yuanyuan, Li Chunying, Cai Songling, Li Pin, Yang Zhaowen, Li Xuan, Zhou Ruide, Su Man, Li Paulo, Shi Ling, Han Mingde, Zhang Shao, Wang Min, Li Jia, Zhong Gaonian, Xue Rong, Luo Sen! Xu Qi (Photography).
er bai wu xiao zhuan	Zheng Xiaoqiu! Tian Han? Lu Yukun, Chen Zhengwei, Luo Jingyi, Qiang Ming, Zhu Lin, Zhou Chu, Jiang Xiu, Chen Yan, Pan Rui, Tian Zhendong, Cheng Youlin, Yu Chong, Yao Sicheng, Feng Qi, Xu Ken, Tang Jiacun, Chen Yuelou , Yu Yufang, Wu Tao, Xia Dong, Qian Lintong, Liang Yuan, Zhu Shaoquan, Gao Yang, Li Ji, Huang Fang, Huang Naishuang, Hu Delong, Tian Kai, Xiao Fan, Lu Rongkang, Cao Lingqing, Xu Jianhao, Shang Hua! Luo Congzhou (Photography ), Dong Ping (set scene), Qi Cixin (music), Yuan Qingyu (recording), Yao Shouqing (recording), Xie Jin (associate director), Liu Zhongliang (producer), Zhang Shichuan (producer), Chen Yuelou (director of drama review) , Cha Xiangkang (camera assistant), Liu Yongchang (recording assistant), Tong Jingwen (set assistant), Zhang Xibai (painting), Chen Ruihe (editing), Zhao Jiashu (editing), Yan Zhaode (printing), Hang Ziyu (printing) , Chen Zhong (Stage Manager), He Pinfang (Props), Jin Heliang (Costume), Chen Yan (Makeup), Yan Bili (Scene Record), Xu Yingsheng (Scene Manager), Xue Genbao (furniture).
wu ya yu ma que	Zheng Junli! Ups and downs, Wang Lingu, Xu Tao, Zhao Dan, Zheng Junli, Chen Baichen? Zhao Dan, Wei Heling, Huang Zongying, Shangguan Yunzhu, Sun Daolin, Li Tianji, Wang Bei, Wu Yin! Miao Zhenhua (photography), Hu Zhenhua (photography), Niu Baorong (art), Xu Zicheng (art), Wang Yunjie (music), Li Liehong (recording), Wang Lingu (producer), Wu Yanfang (editing).
san mao liu lang ji	Zhao Ming, Yan Gong! Yang Hansheng? Wang Longji, Lin Zhen, Guan Hongda, Du Lei, Huang Chen, Cheng Mo, Ma Fei, Meng Shufan, Qian Feng, Chen Guangfu, Feng Jixiong, Chen Chong, Shi Yan, Yue Xunlie, Tian Zhendong, Chen Jiasong, Xiao Han, Xue Min, Hong Jun, Yao Yao, Wang Yunjie, Tao Ye, Gong Boan, Su Hong, Song Yanwan, Yang Xiaoqiao, Wang Gongxu, Ding Ran, Diao Guangtan, Fang Bo, Gu Wei, He Xuechu, Sun Yi, Mo Chou , Liu Jie, Ma Zhongying, Qian Liqun, Shangguan Yunzhu, Zhong Shuhuang, Wang Jingan, Zhu Sha, Zhu Lin, Sha Li, Ruan Fei, Lin Zidan, Jin Shuzhi, Wu Yin, Lin Moyu, Qi Mengshi, Xu Man, Xu Huan, Yuan Rong, Sun Daolin, Gao Zheng, Guo Ling, Huang Zongying, Huang Wenru, Liang Ming, Gao Yiyun, Xu Lan, Zhang Manping, Zhang Shao, Zhang Gan, Zhang Wan, Zhang Yisheng, Fu Huizhen, Zhang Qingfen, Cheng Menglian, Nong Zhongnan, Zhao Dan, Wang Yi, Xiong Wei, Guan Peng, Ying Xuan, Lan Youxin, Su Ying, Su Yin, Su Manyi, Tan Yun! Han Zhongliang (photography), Qiu Ge (photography), Zhang Hanchen (set decoration), Wang Yunjie (music) , Lin Bingsheng (recording), Webb (producer), Zhu Jinming (camera consultant), Guo Yihui (camera assistant), Xin Hanwen (modeling design), Luo Yuqiu (set assistant), Liu Guangjie (recording assistant), Xue Shenxing (recording assistant ), Ding Bohe (dubbing), Yue Xunlie (child counseling), Fang Yu (drama), Xu Shaowen (scene), Yihua (scene), Yao Yongfu (makeup), Le Yuhou (makeup), Zhuang Kailu ( Props), Lu Boqin (clothing), Fu Zhengyi (editing), Zhou Jiaoda (printing), Xu Erqian (printing), Wu Zengrong (printing).
