qiao;Wang Bin;Yu Min;Wang Jiayi, Lv Ban, Jiang Hao, Chen Qiang, Du Defu, Yu Yang, Lu Fei, Fu Jie, Yuan Yuehua, Gao Jun, Wang Lifu, Jin Feng, Wu Yu, Liu Tang, Wang Chunying, Sun Xiaofei, Zhang Jingping, Liang Yin, Miao Ling, Yu Zhizhong, Lin Na;Bao Jie (photography), Mou Hua (clothing), Ma Tianwen (illumination), Bi Zepu (make up), Zu Shuzhi (editing), Liu Xueyao (art), Jiang Hao (stage manager), Shi Wei (trick), Song Jie (log), Lv Xianchang (recording), Lin Na (clothing), An Fumei (editing), Pan Ying (field service), He Shide (composing), Dong Zhiguo (field service), Dong Yingledui (band play), Jia Yisan (props), Lu Wei (film development)
hui dao zi ji dui wu lai;Cheng Yin;Cheng Yin;Lin Ke, Guan Guixiang, Wu Zhaodi, Sai Sheng, Sun Hui, Cao Rui, Wang Bing, Li Siye, Su Li, Li Weixin, Li Meng, Ma Xuehai, Yu Zhongli, Wen You, Li Guang, Wang Zushu, Zhang Yukun, Zou Jicai, Wang Shaomei, Li Jinfu, Ai Yunpeng, Ma Xilin, Wu Boren, Liu Zengwen, Qiao Chuanrong, Zhou Xian, Ding Keming, Wang Yuhu, Meng Qingxiang, Wu Zhanglong, Cheng Liye, Zhou Shunli, Li Baishui;Tang Shun (film development), Jia Wenjin (editing), Wu Yin (composing), Li Guanghui (photography), Chen Wenyuan (recording), Shi Wei (trick), Li Cunbang (film development), Wang Guangyan (theater director), Zhu Ge (scenery), Luo Tai (make up), Dong Yingledui (band play), Guo Yi (log), Chen Tian (illumination), Zhang Dichang (composing), Gong Zhiwei (composing), Dong Beijunzhengdaxuexuanchuanduiquanti (appearing)
guang mang wan zhang;Xu Ke;Chen Boer;Zhang Ping, Wang Weiwei, Ouyang Ruqiu, Zhang Qi, Yu Yanfu, Zhang Ying, Qiu Chen, Wang Yan, Chen Ke, Wang Jiayi, Jing Jie, Bi Ke, Liang Yin, Sun Xiaofei, Cui Bin, Liu Tang, Yu Yang, Lan Lv;Fu Hong (photography), Tang Shun (film development), Yu Yanfu (theater director), Yu Fang (recording assistant), Sui Xizhong (recording), Shi Wei (trick), Li Huiying (log), Li Ying (make up), Xu Wei (scenery), Su Min (composing), An Fumei (editing), Li Cunbang (film development), He Shide (composing), Bao Wanling (photography assistant), Xue Yan (clothing), Dong Yingledui (band play), Pang Gui (trick), Zhang Poshi (field service), Ceng Xizhong (illumination)
zhong hua nv er;Ling Zifeng, Zhai Qiang;Yan Yiyan;Zhang Zheng, Yue Shen, Bo Li, Qin Buhua, Xue Yan, Zhou Sufei, Sun Yuezhi, Zhou Yingzhen, Yu Yang, Zhai Qiang, Li Chao, Jin Feng, Du Defu, Hua Yongzhuang, Wu Yu, Wang Ying, Li Xianjue, Yue Zhonghua, Liu Wuxian, Niu Jingchun, Zhang Youhui, Du Fengxia, Liu Jingkun, Guan Hang;Ge Yan (composing), Li Yuying (editing), Wang Wenqi (illumination), Jiang Hao (theater director), Liu Li (log), Tang Yuanzhi (theater director), Ji Yongyuan (film development), Lv Xianchang (recording), Li Cunbang (film development), Zhu Ge (set design), Dong Yingledui (band play), Cai Guang (trick), Su Yunpeng (props), Li Yanjiang (illumination), Wu Yu (field service), Qian Jiang (photography), Ming Wei (editing)
bai yi zhan shi;Feng Bailu;Wang Zhenzhi;Yu Lan, An Qi, Lu Fei, Su Ling, Zhang Ping, Gao Jun, Huang Ling, Zhang Jingping, Chen Qiang, Liu Ru, Luo Tai, Miao Ling;Wang Lan (field service), Jia Wenjin (editing), Dong Shizhong (field service), Ma Shouqing (photography), Liu Xueyao (art design), Zhi Tian (trick), Yin Shengshan (conductor), Gao Zhenhuan (recording assistant), Gao Tian (composing), Wang Yongrui (scenery), Sun Xiaowen (log), Duan Mingkai (medical consultant), Qian Zhongxuan (film development), Li Cunbang (film development), Pan Ying (field service), Dong Yingledui (band play), Zheng Guoen (lighting assistant), Fu Yingjie (recording assistant), Zhao Hongjun (recording), Ceng Xizhong (illumination), Ming Wei (editing), Jia Yisan (props), Yan Yongsan (trick)
wu xing de zhan xian;Yi Ming;Yi Ming;Zhang Ping, Lv Ban, Yao Xiangli, Liu Xilin, Liang Yin, Sun Xiaofei, Luo Tai, Zhou Ke, Sun Fengqin, Zhang Lu, Wang Lan;Fu Hong (photography), Lv Ban (deputy director), Ma Tianwen (illumination), Jing Ran (stage manager), Chen Minhun (photography), Zhang Ping (deputy director), Chen Wenyuan (recording), Dong Zhiwei (stage manager), Song Jie (log), Yu Yiru (scenery)
biao;Zuo Lin;Zuo Lin;Zhao Qiansun, Cheng Zhi, Shen Yang, Yu Zhongying, Tian Zhendong, Cui Chaoming, Yang Wenlong, Cai Yuanyuan, Li Chunying, Cai Songling, Li Pin, Yang Zhaowen, Li Xuan, Zhou Ruide, Su Man, Li Baoluo, Shi Ling, Han Mingde, Zhang Shao, Wang Min, Li Jia, Zhong Gaonian, Xue Rong, Luo Sen;Xu Qi (photography)
er bai wu xiao zhuan;Zheng Xiaoqiu;Tian Han;Lv Yukun, Chen Zhengwei, Luo Jingyi, Qiang Ming, Zhu Lin, Zhou Chu, Jiang Xiu, Chen Yan, Pan Rui, Tian Zhendong, Cheng Youlin, Yu Chong, Yao Sicheng, Feng Qi, Xu Ken, Tang Jiacun, Chen Yuelou, Yu Yufang, Wu Tao, Xia Dong, Qian Lintong, Liang Yuan, Zhu Shaoquan, Gao Yang, Li Ji, Huang Fang, Huang Naishuang, Hu Delong, Tian Kai, Xiao Fan, Lv Rongkang, Cao Lingqing, Xu Jianhao, Shang Hua;Cha Xiangkang (photography assistant), Zhang Xibai (matte), Tong Jingwen (scenery assistant), Hang Ziyu (film development), Xu Yingsheng (field service), Yao Shouqing (recording), Jin Heliang (clothing), Liu Yongchang (recording assistant), Zhao Jiashu (editing), He Pinfang (props), Chen Ruihe (editing), Luo Congzhou (photography), Qi Cixin (music), Chen Zhong (stage manager), Yuan Qingyu (recording), Xie Jin (deputy director), Zhang Shichuan (executive-producer), Yan Zhaode (film development), Yan Bili (log), Dong Ping (scenery), Chen Yan (make up), Liu Zhongliang (executive-producer), Chen Yuelou (Ping-Opera guide), Xue Genbao (furnishing)
wu ya yu ma que;Zheng Junli;Shen Fu, Wang Lingu, Xu Tao, Zhao Dan, Zheng Junli, Chen Baichen;Zhao Dan, Wei Heling, Huang Zongying, Shangguan Yunzhu (French), Sun Daolin, Li Tianji, Wang Bei, Wu Yin;Hu Zhenhua (photography), Miao Zhenhua (photography), Wu Yanfang (clip), Niu Baorong (art), Wang Lingu (production manager), Li Liehong (recording), Xu Zicheng (art), Wang Yunjie (music)
san mao liu lang ji;Zhao Ming, Yan Gong;Yang Hansheng;Wang Longji, Lin Zhen, Guan Hongda, Du Lei, Huang Chen, Cheng Mo, Ma Fei, Meng Shufan, Qian Feng, Chen Guangfu, Feng Jixiong, Chen Zhong, Shi Yan, Yue Xunlie, Tian Zhendong, Chen Jiasong, Xiao Han, Xue Min, Hong Jun, Yao Yao, Wang Yunjie, Tao Ye, Gong Boan, Su Hong, Song Yanwan, Yang Xiaoqiao, Wang Gongxu, Ding Ran, Diao Guangtan, Fang Bo, Gu Mou, He Xuechu, Sun Yi, Mo Chou, Liu Jie, Ma Zhongying, Qian Liqun, Shangguan Yunzhu (French), Zhong Shuhuang, Wang Jingan, Zhu Sha, Zhu Lin, Sha Li, Ruan Fei, Lin Zidan, Jin Shuzhi, Wu Yin, Lin Moyu, Qi Mengshi, Xu Man, Xu Huan, Yuan Rong, Sun Daolin, Gao Zheng, Guo Ling, Huang Zongying, Huang Wenru, Liang Ming, Gao Yiyun, Xu Lan, Zhang Manping, Zhang Shao, Zhang Qian, Zhang Wan, Zhang Yisheng, Fu Huizhen, Zhang Qingfen, Cheng Menglian, Nong Zhongnan, Zhao Dan, Wang Yi, Xiong Wei, Guan Peng, Ying Xuan, Lan Youxin, Su Ying, Su Yin, Su Manyi, Tan Yun;Guo Yihui (photography assistant), Fang Huang (stage manager), Luo Yuqiu (scenery assistant), Wei Bu (production manager), Ding Bohe (dubbing), Xin Hanwen (Design), Qiu Ge (photography), Xu Shaowen (log), Le Yuhou (make up), Xue Shenxing (recording assistant), Lin Bingsheng (recording), Zhou Jiaoda (film development), Han Zhongliang (photography), Yi Hua (field service), Lu Boqin (clothing), Xu Erqian (film development), Zhang Hanchen (scenery), Wang Yunjie (music), Liu Guangjie (recording assistant), Yao Yongfu (make up), Fu Zhengyi (editing), Yue Xunlie (child counseling), Zhu Jinming (photography consultant), Zhuang Kailu (props), Wu Zengrong (film development)
