Source,Target,Weight
Beijing,四川,1
Beijing,重庆,2
Shanghai,浙江,7
Canton,湖南,1
Beijing,陕西,3
Northeast,山西,2
Beijing,海南,1
Beijing,湖南,1
Shanghai,云南,3
Northeast,黑龙江,2
Northeast,北京,6
Beijing,内蒙古,2
Shanghai,四川,3
Northeast,江苏,2
Beijing,新疆,1
Northeast,云南,4
Shanghai,江苏,6
Beijing,云南,3
Northeast,江西,2
Canton,湖北,1
Beijing,西藏,3
Shanghai,新疆,7
Shanghai,山西,1
Beijing,福建,3
Xi'an,甘肃,2
Beijing,江苏,1
Beijing,河南,3
Shanghai,天津,1
Canton,江苏,1
Northeast,吉林,4
Canton,广东,5
Beijing,上海,7
Northeast,湖南,2
Shanghai,海南,5
Beijing,辽宁,1
Northeast,内蒙古,1
Shanghai,辽宁,1
Beijing,北京,12
Beijing,河北,1
Beijing,浙江,1
Shanghai,青海,8
Beijing,广东,3
Northeast,新疆,1
Canton,山东,1
Shanghai,湖北,1
Beijing,山东,2
Northeast,安徽,1
Shanghai,西藏,1
Beijing,青海,1
Shanghai,江西,5
Shanghai,安徽,1
Canton,上海,1
Shanghai,上海,66
Xi'an,新疆,3
Canton,北京,1
Shanghai,陕西,2
Northeast,河南,1
Xi'an,江苏,1
Beijing,广西,3
Shanghai,北京,6
Shanghai,重庆,2
Northeast,辽宁,2
Northeast,上海,1
Northeast,山东,4
Shanghai,河北,1
Shanghai,广东,2
Shanghai,福建,3
Beijing,山西,5
Northeast,河北,1
Northeast,广东,2
Xi'an,陕西,1
Shanghai,山东,6
Beijing,天津,2
Beijing,贵州,1
