Region,Topic,Count
Xi'an,0,5
Xi'an,5,1
Xi'an,7,3
Xi'an,1,2
Western Europe,8,1
Xi'an,2,3
Northeast,0,49
Canton,0,6
Shanghai (private),0,19
Northeast,1,24
Shanghai (private),1,4
Shanghai (private),2,4
Xi'an,9,1
Northeast,8,5
Canton,8,1
Northeast,9,11
Canton,7,1
Northeast,6,2
Northeast,7,4
Northeast,4,7
Canton,4,1
Northeast,5,9
Inner Mongolia,13,1
Canton,3,2
Northeast,2,15
Canton,2,1
Northeast,3,5
Canton,1,6
Soviet Union,10,1
Xinjiang,11,2
Sichuan,0,1
Anhui,5,1
Sichuan,1,2
Anhui,0,3
Anhui,3,1
Tianjin,7,1
Anhui,15,1
Tianjin,0,1
Qinghai,0,1
Beijing,4,7
Xi'an,14,1
Beijing,5,7
Xi'an,15,2
Beijing,2,17
Beijing,3,1
Beijing,0,52
Xi'an,10,1
Beijing,1,20
Xi'an,11,2
Shanghai (state),9,10
Xi'an,13,1
Shanghai (private),7,16
Shanghai (state),8,9
Shanghai (private),8,9
Shanghai (state),7,14
Shanghai (state),6,3
Shanghai (private),9,1
Shanghai (state),5,12
Beijing,8,9
Shanghai (state),4,9
Shanghai (private),3,5
Shanghai (private),4,6
Shanghai (state),3,6
Beijing,9,4
Shanghai (private),5,1
Beijing,6,3
Shanghai (state),2,24
Shanghai (state),1,26
Beijing,7,4
Shanghai (private),6,1
Shanghai (state),0,45
Hunan,1,1
Hubei,0,2
Hong Kong,14,1
Shanghai (state),15,13
Shanghai (state),14,5
Shanghai (state),13,17
Shanghai (state),12,3
Shanghai (state),11,16
Shanghai (state),10,12
Hong Kong,11,2
Gansu,10,1
Inner Mongolia,0,1
Canton,11,3
Canton,10,1
Canton,13,1
Canton,12,1
Canton,15,1
Hong Kong,8,1
Hong Kong,7,1
Hong Kong,4,3
Hong Kong,3,1
Hong Kong,0,3
Hong Kong,1,4
Northeast,10,15
Northeast,11,11
Northeast,12,6
Northeast,13,14
Northeast,14,3
Northeast,15,9
Zhejiang,9,1
Shanghai (roc),7,1
Shanghai (roc),8,1
Shanghai (roc),5,1
Beijing,10,9
Shandong,12,1
Beijing,12,5
Beijing,11,12
Shanghai (roc),1,1
Shanghai (private),12,3
Shandong,13,1
Shanghai (private),13,3
Shanghai (private),14,1
Shanghai (private),15,4
Shanghai (private),10,7
Shanghai (private),11,2
Jiangsu,1,1
Jiangsu,0,1
Beijing,14,4
Beijing,13,5
Beijing,15,13
Hubei,11,1
Hubei,12,1
Xinjiang,0,3
Hubei,15,1
