Region,Topic,Probability
Beijing,5,7.0133772604099995
Qinghai,13,0.990127
Beijing,6,8.019986699029998
Qinghai,14,6.582002E-4
Beijing,3,4.129275448039999
Qinghai,15,6.582002E-4
Beijing,4,7.992698876649999
Beijing,1,17.346592763789996
Beijing,2,10.69687757314
Beijing,0,14.660735769970001
Shanghai (state),9,14.913765972060004
Shanghai (state),8,14.039497410790005
Northeast,10,11.984425692270005
Shanghai (state),7,11.02087385562001
Northeast,11,11.755461908360003
Shanghai (state),6,8.13696256653
Northeast,12,14.557200273989999
Beijing,9,2.3507370440400006
Shanghai (state),5,11.97305980250001
Northeast,13,12.0330076259
Shanghai (state),4,13.995722489630014
Northeast,14,8.4371229497
Beijing,7,5.100920740609999
Shanghai (state),3,7.119766843759996
Northeast,15,10.094018707559997
Beijing,8,15.934352387830007
Shanghai (state),2,15.732189021840004
Shanghai (state),1,24.571559852719993
Shanghai (state),0,13.852315711030004
Anhui,15,0.004664657070000001
Anhui,14,0.9882645493600001
Anhui,13,0.9819265758000001
Qinghai,10,6.5820024E-4
Qinghai,11,6.582004E-4
Qinghai,12,6.582004E-4
Anhui,12,0.004664657030000001
Anhui,11,0.0046646572
Anhui,10,0.99925686911
Soviet Union,9,0.0010779372
Soviet Union,8,0.0010779371
Soviet Union,3,0.9838309
Soviet Union,2,0.0010779374
Soviet Union,1,0.0010779372
Soviet Union,0,0.0010779372
Soviet Union,7,0.0010779374
Soviet Union,6,0.0010779371
Soviet Union,5,0.0010779372
Soviet Union,4,0.0010779374
Hunan,12,5.789288E-4
Hunan,13,5.7892874E-4
Hunan,14,5.789288E-4
Hunan,15,5.7892874E-4
Hunan,2,5.789288E-4
Shanghai (state),15,21.759304185160012
Hunan,1,5.789289E-4
Shanghai (state),14,11.013839812070014
Hunan,0,5.7892874E-4
Shanghai (state),13,7.716281356889996
Shanghai (state),12,11.742000696060012
Hunan,6,0.9913161
Shanghai (state),11,21.804795538550014
Hunan,5,5.789288E-4
Shanghai (state),10,14.608066539790011
Hunan,4,5.789288E-4
Hunan,3,5.789288E-4
Hubei,8,0.0066762471
Hunan,9,5.7892874E-4
Hubei,9,0.98625871264
Hunan,8,5.789288E-4
Hunan,7,5.789288E-4
Hubei,4,0.99196446117
Hubei,5,0.0066762481
Hubei,6,0.0066762473
Hubei,7,0.9953071168
Zhejiang,13,0.0029785852
Hubei,0,0.0066762517
Zhejiang,12,0.0029785843
Hubei,1,0.9590222229400001
Xi'an,0,1.01290231313
Zhejiang,11,0.0029785845
Hubei,2,0.0066762478
Xi'an,1,1.00922246353
Zhejiang,10,0.0029785845
Hubei,3,0.00667624757
Zhejiang,15,0.002978586
Zhejiang,14,0.0029785866
Xi'an,6,1.01001693161
Xi'an,7,1.9661564885999998
Xi'an,8,0.025898150710000005
Xi'an,9,0.9964714538900002
Xi'an,2,2.95550508844
Xi'an,3,1.01776438916
Xi'an,4,0.9973141170500002
Xi'an,5,1.9988922859999998
Tianjin,8,0.00185794257
Tianjin,9,0.00185794215
Tianjin,0,0.00185794405
Tianjin,1,0.0018579423699999998
Tianjin,2,0.0018579422499999999
Tianjin,3,0.00185794215
Tianjin,4,0.0018579424699999999
Tianjin,5,0.00185794215
Tianjin,6,0.0018579421399999999
Tianjin,7,0.00185794275
Sichuan,0,0.0033631441000000002
Sichuan,1,0.0033631436
Sichuan,4,0.9928317833
Sichuan,5,0.003363143
Sichuan,2,0.9833521973
Sichuan,3,0.0033631432
Hunan,10,5.789288E-4
Hunan,11,5.789288E-4
Sichuan,8,0.0033631436999999997
Sichuan,9,0.0033631432
Sichuan,6,0.003363143
Sichuan,7,0.0033631432999999995
Inner Mongolia,2,0.00149776147
