Year,Topic,Count
1966,11,1
1966,10,1
1953,7,1
1957,3,1
1957,8,3
1953,2,1
1957,0,2
1957,11,2
1957,12,2
1957,15,1
1963,10,1
1964,8,1
1963,14,1
1963,15,1
1963,12,2
1960,2,2
1964,1,3
1960,5,1
1960,4,1
1964,4,1
1960,6,2
1964,2,3
1960,8,1
1960,1,2
1958,9,1
1958,2,2
1960,14,2
1958,1,1
1954,8,1
1958,4,2
1954,7,1
1960,15,1
1958,6,3
1960,10,1
1958,5,2
1960,12,1
1960,11,5
1951,10,2
1950,1,1
1950,4,1
1959,14,3
1959,12,3
1959,11,3
1959,15,1
1965,13,3
1965,11,1
1965,10,2
1965,8,2
1965,15,1
1965,14,2
1954,14,1
1961,1,1
1965,0,1
1961,4,1
1965,4,1
1965,1,3
1965,2,1
1961,0,1
1959,8,2
1959,1,1
1955,4,1
1959,0,2
1962,15,1
1959,3,1
1959,5,1
1955,8,1
1962,11,2
1959,7,2
1959,6,1
1962,13,1
1951,0,1
1959,10,2
1966,9,1
1962,1,3
1962,0,2
1962,3,2
1962,2,1
1962,5,2
1966,1,2
1956,10,1
1956,14,1
1964,11,3
1964,12,1
1952,8,1
1956,6,2
1956,8,2
1964,15,1
1956,7,1
1964,13,2
1952,0,1
1956,0,1
1955,14,1
1961,14,1
1963,8,2
1961,11,1
1961,13,2
1963,1,1
1963,2,1
1963,0,2
1963,5,1
1958,12,1
1958,13,2
1958,10,3
1958,11,4
1950,13,1
1950,10,1
1958,14,1
1950,11,2
1958,15,1
