Year,Topic,Count
1953,6,1
1957,5,4
1953,8,1
1957,7,2
1957,9,1
1957,8,1
1957,0,2
1957,10,3
1957,14,1
1949,7,1
1949,9,1
1964,8,1
1964,9,1
1949,3,1
1963,15,1
1963,12,1
1964,1,1
1949,10,1
1960,5,1
1960,4,1
1960,7,1
1960,6,1
1960,9,2
1964,2,1
1960,8,1
1960,1,3
1960,0,1
1958,9,2
1954,6,1
1958,2,4
1950,9,2
1954,5,1
1958,1,2
1960,13,1
1958,3,2
1960,15,2
1958,6,2
1960,10,1
1954,9,2
1958,5,2
1958,8,2
1958,7,3
1960,11,1
1950,4,1
1954,1,1
1950,8,1
1954,4,1
1958,0,2
1950,7,1
1959,14,1
1959,13,2
1959,12,3
1959,15,3
1965,13,1
1965,12,4
1965,11,1
1965,10,1
1965,8,2
1961,2,1
1961,6,1
1961,8,1
1965,1,2
1965,2,1
1954,10,2
1959,9,1
1959,8,2
1951,8,1
1955,4,1
1959,0,3
1962,15,1
1955,7,1
1959,3,2
1955,6,2
1959,2,1
1959,5,1
1959,4,2
1959,7,3
1959,6,1
1962,13,1
1955,0,4
1953,11,2
1959,10,1
1962,9,1
1962,3,1
1962,5,1
1966,3,2
1956,11,2
1956,12,1
1956,15,1
1964,11,1
1964,12,2
1956,3,2
1952,9,1
1956,5,2
1956,8,2
1949,13,1
1956,7,2
1949,14,1
1964,13,1
1956,9,1
1952,3,1
1956,2,1
1956,1,1
1955,14,2
1961,14,1
1963,8,2
1961,11,1
1961,13,1
1963,1,2
1963,2,2
1963,4,1
1958,12,2
1958,13,4
1950,14,1
1958,10,1
1950,15,1
1958,11,2
1950,12,2
1950,10,2
1958,14,1
1950,11,2
1958,15,1
